Image_1,emotion,Answer,RT_in_ms
13_morph4.jpg,ang60,1,1.347044
13_morph5.jpg,ang80,1,1.325745
33_morph2.jpg,ang20,1,1.668871
13_morph1.jpg,neu,1,1.419219
13_morph2.jpg,ang20,1,1.633055
33_morph6.jpg,ang100,1,2.137014
33_morph2.jpg,ang20,1,0.934236
13_morph4.jpg,ang60,1,1.851216
33_morph6.jpg,ang100,1,0.847124
13_morph3.jpg,ang40,1,0.903988
13_morph2.jpg,ang20,1,1.493590
33_morph1.jpg,neu,0,0.425354
13_morph5.jpg,ang80,1,0.185154
33_morph3.jpg,ang40,1,0.570673
33_morph4.jpg,ang60,1,1.061917
13_morph4.jpg,ang60,1,0.750018
33_morph2.jpg,ang20,NaN,NaN
33_morph3.jpg,ang40,1,0.474034
33_morph6.jpg,ang100,1,0.007014
13_morph2.jpg,ang20,1,0.526203
33_morph1.jpg,neu,1,1.111183
13_morph4.jpg,ang60,1,1.520700
13_morph3.jpg,ang40,1,0.502184
13_morph5.jpg,ang80,1,2.377729
33_morph6.jpg,ang100,1,0.005883
13_morph1.jpg,neu,0,0.006155
33_morph5.jpg,ang80,1,0.016891
13_morph3.jpg,ang40,1,0.006444
33_morph3.jpg,ang40,1,1.835230
33_morph5.jpg,ang80,1,0.006850
13_morph6.jpg,ang100,1,0.017510
13_morph3.jpg,ang40,NaN,NaN
33_morph5.jpg,ang80,1,1.203702
13_morph1.jpg,neu,0,0.817185
33_morph4.jpg,ang60,1,0.006947
33_morph1.jpg,neu,0,0.006501
13_morph2.jpg,ang20,1,0.006349
33_morph3.jpg,ang40,1,1.385474
13_morph1.jpg,neu,1,0.933359
33_morph2.jpg,ang20,0,1.309759
13_morph5.jpg,ang80,1,1.780235
33_morph6.jpg,ang100,1,0.006962
13_morph6.jpg,ang100,NaN,NaN
33_morph2.jpg,ang20,NaN,NaN
33_morph4.jpg,ang60,NaN,NaN
13_morph4.jpg,ang60,1,0.006836
33_morph5.jpg,ang80,1,1.979403
13_morph2.jpg,ang20,0,1.943930
33_morph3.jpg,ang40,NaN,NaN
13_morph6.jpg,ang100,0,0.006704
33_morph4.jpg,ang60,1,2.382124
33_morph1.jpg,neu,NaN,NaN
13_morph3.jpg,ang40,NaN,NaN
33_morph4.jpg,ang60,NaN,NaN
13_morph5.jpg,ang80,1,0.080800
33_morph1.jpg,neu,1,1.901515
13_morph6.jpg,ang100,1,1.468333
13_morph6.jpg,ang100,1,1.479127
13_morph1.jpg,neu,1,2.060946
33_morph5.jpg,ang80,1,1.087742
12_morph4.jpg,hap60,1,2.408290
12_morph1.jpg,neu,1,2.013371
15_morph2.jpg,hap20,0,2.201707
12_morph6.jpg,hap100,1,2.078281
12_morph5.jpg,hap80,NaN,NaN
15_morph3.jpg,hap40,1,1.498558
12_morph1.jpg,neu,0,2.918522
15_morph6.jpg,hap100,1,1.381799
15_morph6.jpg,hap100,1,1.401864
12_morph4.jpg,hap60,1,1.486256
15_morph6.jpg,hap100,1,1.211241
15_morph5.jpg,hap80,1,1.071342
12_morph5.jpg,hap80,1,1.209156
15_morph4.jpg,hap60,1,0.951647
12_morph1.jpg,neu,1,2.259545
15_morph5.jpg,hap80,0,0.006815
12_morph3.jpg,hap40,1,2.487833
15_morph5.jpg,hap80,1,0.006429
15_morph2.jpg,hap20,0,1.819161
12_morph2.jpg,hap20,0,1.250631
15_morph3.jpg,hap40,1,1.860882
12_morph3.jpg,hap40,1,1.477591
12_morph6.jpg,hap100,1,1.612463
15_morph2.jpg,hap20,0,1.537962
15_morph4.jpg,hap60,1,2.122468
12_morph4.jpg,hap60,1,1.785488
12_morph3.jpg,hap40,1,1.813048
15_morph1.jpg,neu,1,2.697584
12_morph2.jpg,hap20,0,0.006921
12_morph3.jpg,hap40,1,1.588410
15_morph4.jpg,hap60,1,1.325731
15_morph4.jpg,hap60,1,1.618365
12_morph2.jpg,hap20,0,1.637043
15_morph5.jpg,hap80,0,0.006747
12_morph6.jpg,hap100,1,1.613097
15_morph6.jpg,hap100,1,0.006488
12_morph6.jpg,hap100,1,1.328769
15_morph1.jpg,neu,1,1.565435
15_morph1.jpg,neu,1,2.053131
12_morph5.jpg,hap80,1,1.311993
15_morph4.jpg,hap60,1,0.006938
12_morph6.jpg,hap100,1,2.285067
12_morph4.jpg,hap60,1,1.387145
12_morph4.jpg,hap60,1,0.983420
12_morph1.jpg,neu,1,1.406139
15_morph2.jpg,hap20,0,1.863008
15_morph3.jpg,hap40,1,1.616492
15_morph6.jpg,hap100,1,1.995099
15_morph3.jpg,hap40,1,1.381991
15_morph2.jpg,hap20,0,1.281050
12_morph3.jpg,hap40,1,1.552108
15_morph5.jpg,hap80,1,1.498463
12_morph5.jpg,hap80,1,1.723776
12_morph2.jpg,hap20,NaN,NaN
12_morph2.jpg,hap20,1,1.138733
15_morph1.jpg,neu,1,0.045913
15_morph1.jpg,neu,NaN,NaN
15_morph3.jpg,hap40,NaN,NaN
12_morph1.jpg,neu,1,2.300163
12_morph5.jpg,hap80,1,1.184828
