O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
2.376754 -6.61455 -1.580751 0.06815121 2.339895 0.4963707 1.106144 0.8831922 1.768918 0.8319176 0.9719011 264 248 248 264 264 264 264 264 264 264 264 16 1
-2.034613 1.364499 -0.6888775 -1.146526 -1.231173 -1.275096 -1.15119 -2.707498 -1.694444 -2.070137 -3.056799 264 256 264 248 248 248 248 264 264 264 264 17 1
-2.999115 2.16538 -0.7202773 -2.775445 -1.700336 -1.354454 -1.814861 -2.474763 -4.125432 -3.226032 -3.30889 264 256 264 264 264 264 264 264 264 264 264 23 1
-7.627388 -1.2234 -14.7048 -2.868455 -3.774863 -7.160706 2.304747 3.70591 3.66908 2.857685 3.877436 264 248 248 252 264 264 264 264 264 264 264 24 1
-0.5937968 -6.100804 -2.640841 1.755835 1.758524 1.709566 1.873981 -0.8580784 -1.215416 0.5646166 -1.773985 252 248 248 252 252 256 252 252 252 256 248 26 1
-0.2469294 8.10956 3.407231 -0.4032049 -1.408216 -3.896219 0.792757 -1.651397 -1.370818 -3.097484 2.148159 248 256 248 248 248 248 248 248 248 248 252 27 1
-1.994411 -1.704594 -2.108811 -5.58344 -5.959784 -5.605321 -6.04713 -1.27885 -1.358064 -1.372531 -1.381641 260 260 260 264 264 264 264 260 260 260 260 28 1
4.882398 -18.52243 -6.353349 1.174956 5.46739 0.9951891 5.195082 -3.016308 -3.082331 -1.01547 -3.064896 248 248 248 264 264 264 264 248 248 264 248 29 1
-3.835903 9.234919 3.190508 -2.427164 -4.332572 -0.4088531 -9.406742 5.354803 -20.52388 4.7505 -20.6191 264 264 264 264 264 264 260 264 248 264 248 30 1
5.28448 -4.258989 0.2693151 -1.694868 -1.636523 4.783511 -1.360673 1.931834 5.25196 1.933464 0.5436839 264 248 264 264 264 264 248 264 264 264 264 31 1
-2.15425 0.7132518 -0.9133816 -1.647091 0.8763618 -1.116322 0.6868581 -2.262015 -2.228027 -2.19262 -2.202706 248 248 248 260 248 260 248 248 248 248 248 32 1
0.4290923 13.79505 6.084517 -2.916411 -2.152975 -3.004447 -1.27738 0.5470567 0.6403372 0.3079203 0.5292147 264 260 264 248 256 248 264 264 264 264 264 33 1
