O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
1.711329 -3.073731 0.176132 3.47425 1.08329 2.484782 -0.2879492 1.171199 1.21294 1.109492 1.067576 248 256 248 248 248 248 248 248 248 248 248 16 1
2.004978 -6.786208 -1.878298 -0.331804 -0.05906591 0.06946818 0.2389179 4.50696 2.999831 2.085256 1.965182 248 264 248 248 248 248 248 264 264 264 264 17 1
-5.888799 25.36167 7.657366 -5.539831 -4.916474 -0.7422037 -4.775322 -0.6357571 -7.732606 -1.436214 -0.7474167 260 256 256 248 248 264 248 264 248 264 256 23 1
-2.678111 24.16944 6.294414 -8.037696 -2.788356 -9.416277 -5.772419 -0.9576176 -1.227454 -1.568321 -1.270181 264 264 264 264 264 264 264 264 264 264 264 24 1
0.4794838 -7.595952 -2.70432 -0.1116262 0.05361823 0.300448 -0.1258058 1.252764 1.168723 0.9917752 1.116802 252 252 252 252 252 252 252 264 264 264 264 26 1
-4.222369 -2.889878 -3.914477 -6.493994 -3.41008 -3.264596 -6.222549 -1.519974 -2.799554 -2.113199 -2.606398 248 248 248 248 248 264 248 248 248 248 264 27 1
-2.626855 -2.725165 -2.729378 -2.6443 -2.888374 -2.586137 -2.480843 -2.54343 -2.632342 -2.375053 -2.445888 248 248 248 248 248 248 248 248 248 248 248 28 1
-2.739856 -3.90501 -3.129271 2.816108 -0.1153255 2.717716 0.07342704 -3.512285 -3.618936 -0.6854335 -3.659808 264 264 264 252 248 256 248 260 264 264 260 29 1
-2.288562 6.819613 2.385628 1.102085 -0.5372053 1.48213 -1.420326 3.341094 -4.069088 3.187733 -3.936455 260 264 264 264 264 264 248 264 248 264 248 30 1
5.421259 -1.636906 -32.74845 2.835386 2.868186 15.09718 5.337258 4.961534 5.498162 4.99076 -0.04259696 264 248 248 264 264 264 264 264 264 264 264 31 1
-0.6363947 -8.672317 -4.102382 2.264897 -2.68311 -0.07660572 -2.337868 -0.6829425 -0.5153002 -0.670768 -0.4733449 256 264 264 248 248 248 248 248 256 252 248 32 1
-4.926492 -15.94273 -9.082921 2.308573 0.9376169 1.941389 2.774621 -5.14208 -5.136871 -5.285296 -5.04883 264 256 260 248 248 248 248 264 264 264 264 33 1
