O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
-1.422214 2.267756 -0.3304484 -5.144775 -3.644873 -4.886627 -3.486076 -0.5540539 -0.3172221 -0.5594837 -0.6990427 264 252 252 264 264 256 264 264 264 264 264 16 1
3.193724 -8.239628 -8.937083 2.146597 2.127605 2.35826 2.185247 2.468518 0.8311489 3.375696 2.658598 264 264 256 248 248 248 248 264 264 264 264 17 1
-9.012525 0.01521511 -4.730395 -5.458781 -9.975465 -4.117357 -9.947017 -2.592829 -8.155442 -4.777404 -7.372435 264 248 248 264 264 264 264 260 264 256 264 23 1
-1.070629 1.479281 -5.088593 -0.7684407 -0.5996936 -1.997871 -2.334291 -1.702445 -1.66368 -2.056273 2.215707 248 264 248 248 248 248 260 248 248 248 260 24 1
-0.4736151 2.652771 1.237423 2.530758 2.910822 4.296912 0.6794097 0.5217898 0.4559608 2.037265 0.6301409 248 264 248 252 252 248 252 248 248 248 248 26 1
-4.536444 -6.028031 -4.781912 -0.4453927 -2.498521 -1.13055 -1.782676 -2.331782 -2.742211 -2.745725 -0.5807291 248 260 248 264 248 260 248 248 248 248 248 27 1
-2.634558 2.100455 -0.8412922 -4.151165 -3.993387 -4.096873 -3.981345 -2.347099 -2.31567 -2.245764 -2.386526 264 248 248 264 264 264 264 264 264 264 264 28 1
10.29887 -4.340468 1.854376 -1.201377 5.39108 -0.4920181 2.401711 -2.800699 -2.675555 4.678374 -3.05492 248 248 248 248 248 248 248 248 248 252 248 29 1
-1.845634 -0.8923601 -2.086732 -2.43204 -1.255967 -2.971236 -2.020179 -5.524308 -0.8788307 1.280214 -1.034548 252 264 264 264 264 264 264 264 256 264 264 30 1
-1.84014 2.175551 -0.07723918 -3.65352 -3.433694 3.145506 -1.60343 1.239739 -2.021666 1.317742 -2.320811 248 264 248 248 248 248 248 264 248 264 248 31 1
-0.2709708 -3.284616 -1.91292 -1.847202 -1.585519 -1.48063 -1.520724 -0.07981464 -0.02991809 -0.1543412 -0.06650983 252 264 256 248 248 248 248 256 252 256 256 32 1
-3.061944 5.075154 -0.003556162 -2.751305 -4.380983 -2.695925 -4.411191 -2.755665 -2.973933 -2.997418 -2.771785 248 256 248 264 264 260 264 248 248 248 248 33 1
-0.9609553 -0.5542008 -0.7787734 -1.930958 -2.032285 -0.7848698 -1.798528 0.3370808 -0.7987361 0.07245356 -0.6768791 264 264 264 248 248 264 248 256 264 264 264 34 1
2.404126 8.857244 5.371196 2.838781 2.589179 -0.6134124 1.103891 3.72516 3.396221 1.283242 3.690632 264 264 264 260 264 248 260 264 264 264 264 35 1
2.122143 -1.269272 -0.3865992 -3.887585 -1.085052 -2.153462 -0.9147571 -2.28484 -2.056325 -1.880026 0.4723777 264 264 264 264 264 252 264 248 248 248 248 36 1
1.117895 -7.855778 -1.665106 6.766592 -1.482706 7.445646 4.049469 1.600037 1.586522 1.352655 1.688184 248 264 264 248 248 248 252 252 252 252 252 37 1
4.02002 1.962334 -1.494233 -5.500227 -2.531876 -5.216547 -2.539478 3.656848 3.671832 3.726357 3.444731 264 256 264 264 248 264 248 252 252 256 256 38 1
-3.550224 1.66176 -0.7752078 1.470245 -3.393048 1.724402 -3.270577 -1.634175 -2.339664 1.430232 -2.16542 264 252 264 264 264 256 264 264 264 264 264 39 1
0.2648692 -6.923227 -3.384977 -2.371819 -2.134914 -5.543558 -3.888108 -1.136788 0.3938075 -6.039523 -0.9724541 248 260 260 248 248 248 248 260 256 248 260 41 1
9.480211 -3.989754 -1.545628 16.12372 9.642518 16.21621 6.539448 5.045727 4.253449 6.926951 -3.438608 248 248 248 248 248 248 264 248 248 252 248 42 1
2.095767 11.26701 7.241334 8.516365 8.834699 3.252205 9.744197 8.580353 8.385847 3.09334 8.544362 264 248 252 264 264 256 264 264 264 260 264 43 1
2.742706 2.021446 2.113048 2.077689 2.156671 -4.371676 2.222205 -2.030919 2.72705 -1.932093 2.463211 264 264 264 264 264 264 264 248 248 248 248 44 1
0.01003805 -2.054029 -0.9332962 -2.363359 -2.756277 -2.454227 -1.241034 1.666383 2.84053 0.4786846 3.021358 248 264 248 248 248 248 264 248 260 248 260 45 1
1.368917 -1.207558 0.4970036 0.3692169 -0.0594615 0.4994627 -0.02676001 2.448762 2.345115 2.147998 1.698508 264 248 260 264 264 264 264 264 264 264 264 46 1
0.9028866 5.948321 1.37214 -7.420682 0.6895008 -7.358058 0.7372917 -2.009933 -1.588088 -1.982906 -1.48225 264 248 264 264 264 264 264 264 264 264 264 47 1
-1.470807 -2.3188 -1.635654 -2.839955 -2.69733 -1.79278 -2.414519 0.086179 -1.038462 -0.1142315 0.2211374 248 252 248 248 248 248 248 248 248 248 248 48 1
