O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
35.77262 -5.162399 23.47269 46.43696 39.69289 45.112 19.71483 45.58686 41.87222 46.64294 45.03917 16 1
-20.00624 4.117115 -12.57771 -17.10224 -4.50404 -20.67216 -12.42239 -17.88533 -12.80474 -17.95722 -16.16968 16 1
-33.5675 -32.31105 -30.74119 -29.42028 -42.31652 -24.61478 -43.79023 -18.42123 -19.14695 -17.35822 -19.05957 16 1
6.619638 -3.667191 -3.093656 -21.50648 -6.700782 -19.29582 -7.214123 -13.58598 -13.58507 -14.36565 -14.05892 16 1
11.55737 7.21758 10.43558 10.78158 10.81404 12.87224 16.10525 16.17258 17.68536 15.50801 16.23573 16 1
-4.860702 18.87423 4.637917 -10.67117 -11.43871 -12.26814 -5.867671 0.5727739 -0.1217326 0.9494172 0.9728534 16 1
-7.73223 -21.24 -9.361375 24.24797 3.29656 12.20684 7.191672 -5.607622 -6.206178 -6.240208 -5.844307 16 1
20.64532 -12.48103 6.405753 9.684963 19.30581 19.17968 4.094598 15.29685 17.22591 15.42066 15.12295 16 1
-14.0553 -4.788448 -11.01656 -20.55401 -16.00971 -17.90887 -34.69764 -10.30377 -8.779509 -10.02326 -11.37719 16 1
-17.2546 43.58445 8.31016 -23.25912 -24.04255 -24.44353 -17.28742 3.32372 -0.09221222 3.957587 2.600484 16 1
22.69406 -8.769085 4.685414 -14.11701 3.726841 1.322501 9.524655 10.25181 13.28131 9.02599 10.26765 16 1
-18.91176 13.98792 -6.358617 -17.83886 -15.5037 -20.3677 -8.446291 -24.36316 -24.9663 -24.26373 -24.02987 16 1
-4.72738 1.883975 -2.290152 -11.09103 -7.25376 -10.2696 -2.626103 -7.198844 -5.220099 -8.089319 -7.788265 16 1
20.27416 -21.24478 -1.38871 -22.46688 13.42721 -10.00148 -4.655987 16.53133 19.34474 15.91365 16.39608 16 1
-2.591758 1.089631 -3.722129 -15.48169 -16.10958 -4.390648 -18.74269 -9.280018 -11.38245 -10.80097 -10.02068 16 1
6.625473 4.638799 3.162535 0.6335004 3.632999 10.08182 5.250216 -7.169993 -5.461206 -7.100667 -7.149187 16 1
-18.51272 45.06741 7.279376 -24.94314 -33.62991 -25.01965 -30.54822 -11.31812 -12.92722 -10.44136 -10.67773 16 1
-30.79407 -17.43434 -24.19617 -22.83429 -27.86532 -25.0927 -23.77497 -22.41459 -23.10025 -22.11715 -22.51274 16 1
14.31565 14.31519 10.00852 -10.71126 7.465331 -3.910273 11.84887 9.94353 10.72752 8.155996 9.652074 16 1
-27.22273 -9.697111 -16.91895 -7.011111 -22.81945 -21.04882 -17.85905 -20.9815 -25.93796 -21.19721 -21.32564 16 1
-1.937876 50.75834 16.27131 -6.810428 -1.386698 -17.4927 -3.174947 -21.60291 -21.28617 -22.6694 -22.33874 16 1
-50.91719 18.88263 -21.27476 -39.29615 -49.81621 -46.84698 -34.80207 -30.01669 -33.86773 -30.76055 -29.78364 16 1
23.71833 -4.630584 13.62276 23.16079 21.60517 27.29703 24.86703 32.88992 32.91589 32.9009 34.54994 16 1
-8.895609 44.38464 12.9321 -9.846959 -15.55723 -16.97923 11.24166 -5.918517 -6.191711 -5.323133 -6.097083 16 1
11.216 -13.92337 -1.854323 -24.47075 3.971808 -14.19321 5.844106 18.7914 16.02454 18.23695 19.0335 16 1
6.262772 -9.593408 2.737592 25.6476 17.32711 23.83674 14.93708 9.385744 14.09304 9.9853 9.800346 16 1
10.98386 -13.82731 -0.2679053 17.29007 16.02913 18.35355 18.46023 -1.68939 2.318883 -3.557977 0.1431649 16 1
3.257074 -3.018623 1.634728 3.960392 3.020366 6.588637 -14.2682 7.955626 8.798223 8.93974 7.885348 16 1
13.11079 -10.02963 0.1473418 4.085371 8.366588 12.67618 0.2490125 -7.143454 -3.770504 -5.571489 -7.467757 16 1
10.49308 -64.70776 -25.01011 -4.92016 10.24727 -9.243338 25.96368 -1.716298 12.53874 -2.181577 -3.491457 16 1
-7.356524 15.97122 4.31425 3.348552 -7.057044 7.537962 -10.87242 4.771717 2.731565 6.933983 3.560433 16 1
3.691486 29.3407 13.44732 -15.22836 -2.419036 -11.84892 -6.703841 12.56593 12.06863 14.04289 12.28284 16 1
-27.91178 10.80109 -10.57851 -21.4923 -38.89207 -37.7163 -26.27903 -16.06057 -21.29 -16.45659 -15.2718 16 1
2.065593 16.20865 6.747425 -14.80251 1.465503 -8.184979 -7.491838 7.188608 6.780088 7.275115 6.310365 16 1
24.22884 -12.17317 8.846318 19.57428 22.48435 7.302564 22.1545 12.57581 11.86168 12.59525 12.14749 16 1
-11.10986 43.97409 14.71772 -8.171631 -7.440667 -11.92404 -3.685915 6.194261 2.445103 8.155146 6.037442 16 1
9.363497 12.88756 10.33825 16.66364 16.21306 10.94395 15.20256 1.410249 2.101898 0.5293207 1.178654 16 1
-19.15957 -13.12898 -14.55519 0.3363195 -17.23243 -2.581865 -10.75099 -12.4518 -12.23287 -12.42331 -13.36646 16 1
6.868079 -9.960099 -0.3101554 -3.308404 -3.678111 5.147138 -5.375405 2.252352 1.445007 2.451175 2.723589 16 1
