O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
0.01778823 -3.204916 -1.03888 1.790558 0.8582292 0.8180549 0.1237579 -0.2816899 -0.03437655 -0.3960775 -0.3990374 172 188 172 172 172 172 172 172 172 172 172 16 1
1.10333 -3.667212 -1.033108 1.769058 1.874493 1.755684 1.923796 -0.5878586 0.4792368 0.558071 -1.727375 172 172 172 188 176 188 176 172 172 172 172 17 1
-0.5137533 3.288152 1.35902 1.150246 2.056875 0.8333124 2.130612 -0.254826 -0.827006 -1.40108 0.6522009 188 188 188 184 188 188 188 172 184 188 188 23 1
-1.925463 -1.221847 -14.29991 -0.6130508 0.7297262 -0.2992238 1.081293 7.114967 7.00641 6.297106 6.378069 172 172 172 172 172 172 172 172 172 172 172 24 1
-1.243645 -8.053412 -4.20219 2.79383 2.569359 2.109573 2.344126 -3.532459 -3.744111 -1.698214 -4.625523 176 188 184 172 172 172 172 188 188 188 188 26 1
2.673831 7.560134 4.356235 -1.852022 0.9795133 -3.162801 -1.401891 1.210315 1.332799 -0.3283832 2.259958 176 172 172 188 176 188 188 176 180 180 172 27 1
0.6497137 0.8634753 0.7954384 0.2428925 -0.09588441 0.3284451 -0.3531918 0.9232377 0.888685 0.8831789 0.7738537 172 172 172 172 172 172 172 172 172 172 172 28 1
7.317657 -20.051 -5.108186 1.074433 4.434213 1.559242 3.743909 2.666224 2.562999 6.713052 2.683804 184 172 184 188 188 188 188 172 172 172 172 29 1
-1.130647 0.8897355 1.185669 2.835977 0.5975141 1.727008 -1.764015 4.833632 -9.680305 2.593436 -9.762793 176 188 180 180 180 180 172 188 172 180 172 30 1
8.417442 -5.429395 1.871762 6.443994 6.543504 9.546507 2.854978 2.041795 8.674887 1.980016 4.407555 172 188 172 172 172 188 184 172 172 172 172 31 1
1.57315 2.411806 1.689147 -1.514866 -0.5985443 -1.104437 -0.6281707 1.711708 1.665598 1.743559 1.722631 172 184 184 180 180 180 180 172 172 172 172 32 1
2.535422 7.048925 4.449094 0.1932393 0.8435925 0.002343959 -1.140079 2.694513 2.767603 2.812202 2.676081 184 188 188 188 188 188 188 184 184 188 184 33 1
2.022958 -2.886374 -0.1922472 1.287808 1.36852 0.9392926 1.270471 -0.07741557 1.97124 0.2321911 1.80715 188 188 188 184 184 180 184 184 188 184 188 34 1
-6.36386 0.6144664 -3.149624 -5.232574 -6.54052 -3.100782 -4.699994 -1.942853 -4.438787 -3.155972 -2.850667 188 172 188 188 172 176 172 180 180 180 188 35 1
5.930238 -0.5541182 2.747968 -0.1663034 1.197302 3.492571 1.207139 3.35804 6.629204 4.036949 1.965894 172 188 172 188 172 176 172 176 172 172 172 36 1
2.691557 0.3109341 2.071499 2.711854 0.5981365 4.190571 1.923458 2.916301 2.855073 0.5323561 2.641413 172 188 188 172 172 176 188 172 172 172 172 37 1
0.7525007 0.1386175 1.50105 1.569653 0.1537719 1.652704 0.4775003 -0.53699 -0.5065818 -0.6092876 -0.5173774 188 188 172 188 188 188 188 176 180 188 188 38 1
1.230026 9.840422 3.493332 0.9454278 -0.8426703 -2.508839 -0.8000126 -4.135065 -4.199555 -3.661722 -4.107335 172 172 172 172 172 188 172 172 172 172 172 39 1
1.120503 1.738121 1.575881 0.8353115 0.798939 -0.07643602 0.972115 2.396753 1.406936 3.807153 2.239856 172 172 172 180 172 172 184 184 172 172 184 41 1
4.410463 -1.027951 -7.054333 4.6487 3.752268 4.690385 0.03905039 7.561513 4.051545 7.280304 -0.2741794 172 172 188 172 172 172 188 180 176 176 188 42 1
-1.155758 14.31085 5.755426 1.414593 1.43305 0.4832464 -4.503004 2.157176 2.247242 -1.615683 2.259036 172 188 188 172 172 188 172 172 172 172 172 43 1
-1.249982 9.301756 2.680917 -1.159887 -1.083504 -5.739718 -0.84245 -1.909163 0.5214885 -1.892353 0.518479 188 184 188 172 172 172 172 188 188 188 188 44 1
0.7781777 3.880269 2.13051 3.221242 3.508448 -2.751367 -1.07922 0.3478591 1.474036 0.1395364 1.558274 172 172 172 188 188 188 188 180 172 180 172 45 1
-4.412479 4.336179 -0.241528 -3.25066 -4.258105 -4.621479 -3.74503 0.02263151 -1.487628 1.216219 -1.735929 188 172 188 188 188 188 188 172 180 172 188 46 1
0.7902652 -0.4525921 0.3722237 -0.2901183 -0.8343113 -0.1559574 -0.7086617 1.745339 1.798291 1.688986 1.700367 188 172 188 188 188 188 188 188 188 188 188 47 1
-0.9364251 -3.038648 -5.299197 1.437792 1.268446 5.49304 0.8083075 -2.136137 -1.609536 -1.987122 -2.158648 188 172 172 188 188 180 188 172 172 172 172 48 1
-0.9107583 2.37593 0.645015 -2.710902 -1.176359 -5.45667 -1.384698 1.079484 -0.8329347 0.8552265 -1.431249 172 184 184 188 172 180 172 188 172 188 172 49 1
0.121294 3.423156 1.067599 0.7846649 2.138888 -2.4077 -0.1475502 -2.797519 0.1447344 -2.86906 0.04137801 188 172 180 188 188 188 188 188 188 188 188 50 1
2.980948 8.551986 5.226738 0.2174948 1.338238 1.629868 1.291154 3.915902 3.317333 1.856317 2.307654 172 176 172 180 176 176 176 172 176 172 172 52 1
8.855301 -0.5059722 4.371383 8.242887 8.006085 8.168814 8.03068 0.1784412 3.721216 0.5890447 3.61785 172 188 176 172 172 172 172 172 172 172 172 53 1
-0.7256333 8.63601 2.88771 1.084279 1.412157 0.3640342 -2.017214 -2.295622 -1.633308 2.076868 -2.159412 188 176 180 188 188 188 188 176 188 176 188 56 1
0.1486996 -4.271848 -0.09262589 4.229962 -0.4632893 0.6824092 -0.5382849 2.227202 0.136714 -1.600229 -0.207795 176 172 176 180 176 176 188 176 176 184 176 57 1
-6.384148 1.547694 -2.772006 -2.637603 -5.61333 -3.444202 4.46966 -4.173474 3.305911 -2.814457 3.951882 184 172 172 188 188 188 188 172 172 172 184 58 1
1.369387 3.273928 2.000784 1.221746 1.691246 -1.60441 1.79599 0.4769459 1.056897 0.4414205 1.157525 180 172 176 180 180 184 180 188 188 188 188 59 1
-6.90549 5.048965 -1.970808 -6.527324 -6.971011 -1.909802 -7.033109 -2.968842 -4.969621 -0.7377549 -4.899051 188 188 188 172 172 172 172 172 188 172 188 60 1
-4.772767 -11.19321 -7.211192 2.097545 3.093261 1.802714 2.943031 -2.185231 -2.068338 -2.319199 -1.961744 184 172 172 180 180 176 180 188 188 188 188 61 1
0.6796514 -1.891563 -0.00918504 4.708425 1.023538 4.955873 0.999806 0.4320494 0.5765397 0.3851537 0.4777718 180 188 184 184 188 180 188 184 184 184 184 62 1
3.246819 -5.049822 -0.9087675 1.487185 5.233472 1.081769 4.002566 -0.6643401 1.457466 -7.387044 3.534845 172 172 172 176 172 172 172 172 172 172 180 63 1
5.728376 -18.89855 -4.972062 4.730764 6.470657 4.845012 2.860652 -0.652056 1.213663 3.799408 2.039478 188 176 172 188 188 188 188 176 188 176 172 64 1
2.818608 1.913402 2.377334 0.9645519 4.22146 2.160837 3.854713 2.372324 2.366657 2.516132 2.277733 172 188 188 180 180 180 180 172 172 172 172 65 1
-0.4344611 2.297583 0.5201504 -2.2135 0.2949534 -2.14094 0.2963704 -1.873134 0.6291399 -1.80964 2.023667 172 188 188 172 184 172 184 188 188 188 188 66 1
3.490287 8.878452 5.755982 0.6207336 2.306419 -2.369509 3.572502 5.104592 3.739533 1.53842 3.809674 180 172 172 172 180 180 176 184 176 188 176 70 1
2.321 -3.968636 -0.3536478 0.3606331 2.284506 -1.388175 2.311252 2.02952 1.847077 1.948758 1.910577 184 188 172 172 184 188 172 176 176 176 176 74 1
3.716737 -3.104788 -14.26184 3.862143 3.672312 2.567239 3.8772 1.893244 4.282994 1.846901 3.418638 172 172 172 172 172 172 172 172 172 172 172 75 1
-2.336265 2.636225 -0.0871634 -2.56622 -2.631461 -1.952138 -1.574891 -0.7313889 -0.1532747 -0.7188748 -0.8167653 180 172 176 176 176 180 180 188 188 188 188 16 2
-0.5670465 4.21875 1.77279 -3.187871 -3.092719 -3.268397 -3.19439 4.256459 4.157901 2.63088 2.709242 188 172 176 188 188 188 188 172 172 188 172 17 2
2.633622 0.795714 1.919341 1.667894 2.019095 1.757721 2.076499 2.490686 1.092787 -0.401977 5.095339 172 184 172 172 172 172 172 180 172 188 172 23 2
3.394433 8.160141 -7.531271 1.171699 3.96386 1.559873 -0.08077056 0.5864772 0.4173735 0.2022778 -0.2790339 172 184 188 172 172 188 172 172 172 172 172 24 2
-1.18609 -3.243873 -2.829965 -0.1408556 0.1003634 0.7458453 -0.2767658 -4.317266 -4.025728 -3.07787 -5.057615 172 188 172 172 172 172 172 172 172 172 172 26 2
3.00562 2.565212 2.73279 5.341789 4.671441 5.655192 3.958385 2.444902 3.767467 4.174626 -1.631344 180 180 180 180 180 180 180 180 180 180 172 27 2
1.340952 -13.42943 -4.363151 2.735392 4.299866 2.31255 4.975947 1.609437 1.661037 1.575455 1.520577 180 184 184 188 180 184 180 180 176 176 176 28 2
11.30724 1.939518 7.075252 11.47952 9.821672 10.78771 7.302884 -1.351325 -0.9909912 17.51649 -1.077405 188 188 188 172 188 188 188 188 188 188 188 29 2
1.280444 -3.684949 -0.193402 3.024703 5.173036 4.133752 3.259596 7.830991 2.415903 3.006123 2.368768 184 180 184 184 184 188 172 188 184 188 184 30 2
3.058833 -2.484713 1.028518 7.556968 7.379784 7.225268 3.497068 -0.9145093 3.135607 -0.9886414 4.003932 184 188 184 188 188 188 172 180 184 184 172 31 2
0.2184021 0.7561147 0.1710307 -2.025291 2.625081 -1.123911 2.489484 0.07372347 0.159141 0.2269631 0.1938337 188 172 180 172 188 172 172 188 188 188 188 32 2
0.7940998 1.932883 0.9857601 -3.401416 -1.558397 -3.446576 0.9325234 0.7210267 0.6198028 0.8082763 0.8844492 188 188 188 180 188 180 188 188 188 188 184 33 2
0.5278128 -1.563848 -0.4759315 -0.6248918 -0.8355007 0.9552156 -0.5454144 1.198383 0.2822981 0.990126 0.3086469 172 188 172 188 188 172 188 172 172 172 172 34 2
2.626016 1.041725 1.841014 3.877792 3.238051 0.109597 2.648247 -0.3794907 1.352849 -0.4099298 1.037911 188 188 188 184 188 188 188 188 188 188 188 35 2
2.662503 0.8758653 2.900927 3.60196 2.532207 1.473543 2.497589 8.088058 6.172671 7.008832 3.263044 172 172 172 188 188 184 188 172 172 184 172 36 2
-0.08278899 2.456352 1.109919 -0.2122583 4.893718 -1.742858 -1.298053 1.620385 1.809487 -0.4929904 1.631491 172 184 184 184 188 180 184 172 172 184 172 37 2
-0.541809 8.582258 3.173069 -2.752417 -1.207603 -2.679307 -1.222091 -0.5249501 -0.5160071 -0.6580691 -0.4003895 172 180 180 188 172 188 172 188 188 188 188 38 2
5.72367 -2.258962 2.100227 -0.4708359 4.808702 3.206054 4.788298 3.120275 3.392574 -1.108142 3.484831 172 180 180 176 172 180 172 172 172 172 172 39 2
-0.933224 -0.2793197 -0.5307652 0.1859774 -1.016868 -1.494442 -1.388743 0.3618585 -0.356761 1.027466 0.08801427 172 172 172 172 188 172 172 172 172 172 172 41 2
-0.2227899 0.549364 1.197864 3.59303 2.638716 3.696027 3.015026 6.079139 4.022358 3.409607 3.175684 188 172 172 188 188 188 188 172 172 172 188 42 2
0.5889639 10.93918 4.497359 0.7068691 0.5800819 -1.846257 1.122692 -1.907296 -1.986303 2.300536 -1.983027 172 188 188 172 172 172 172 172 172 188 172 43 2
-1.347337 1.75806 -0.005600189 -2.10549 -2.06989 1.143378 -2.1459 -0.324504 -2.079865 -0.4447984 -1.990137 172 188 172 188 188 180 188 172 172 172 172 44 2
-0.3723867 -0.1728611 -7.639091 -2.633003 -2.420496 -4.188642 1.157412 3.263598 3.615596 2.498303 3.499423 172 172 172 188 172 180 188 188 188 188 188 45 2
4.870781 8.777467 6.53427 -2.360025 0.8056396 -2.8986 0.02436111 9.675575 8.880079 5.682304 7.132401 172 188 172 172 172 176 172 188 188 172 188 46 2
-0.7557965 2.607047 0.5992187 0.5210016 -0.6203618 0.3555716 -0.552591 -1.117844 -0.9354089 -1.259762 -0.8540145 180 172 176 172 172 172 172 176 176 176 176 47 2
2.594948 0.6919636 1.886418 4.144076 4.191164 3.037589 4.201185 -0.6160365 -0.04567071 -0.4997888 -0.6710248 180 172 172 188 184 184 184 172 172 172 172 48 2
1.920164 1.365648 2.087638 5.882419 1.989626 7.045318 2.085765 -0.5523378 1.656404 -0.5827138 -0.6119683 172 172 172 172 172 172 172 188 172 188 172 49 2
-4.363689 1.603288 -1.612414 3.396689 1.862367 2.189686 2.633835 -7.345523 -3.563578 -7.547639 -2.948379 188 172 188 188 188 188 188 188 188 188 188 50 2
-0.890494 10.16806 3.312603 -4.003422 -2.162948 0.5528461 -2.253272 1.183263 -1.493493 2.013498 0.6677424 176 188 188 172 176 172 180 172 188 172 188 52 2
3.421413 -0.1475958 2.098601 2.307784 2.368857 5.403716 2.485266 2.33351 2.366649 3.161519 2.277576 188 188 188 188 188 188 188 188 188 188 188 53 2
1.722434 -4.256533 -0.9239454 0.9227732 0.1826761 2.538213 -0.2080075 1.608725 1.710938 1.174317 1.319132 172 172 172 188 172 188 172 184 184 184 184 56 2
