O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
0.5020658 3.843697 1.553493 -2.566409 -1.572206 -3.162995 -2.465462 1.058523 1.360767 1.268986 1.054007 188 172 188 172 188 172 188 188 184 188 188 16 1
3.647797 -5.219845 -8.773541 4.147906 3.943656 4.264903 3.975362 2.432992 1.04802 3.558948 -0.182708 172 172 172 188 188 188 188 172 172 172 172 17 1
-7.643743 -1.216446 -4.800453 -5.485193 -6.664174 -6.408569 -6.451596 -4.842469 -11.18151 -10.2926 -9.494976 188 188 188 184 180 188 180 188 188 188 180 23 1
-0.008815082 -4.77192 -8.418647 -0.6234382 -0.1489065 1.328679 -3.892026 0.577278 0.3393112 0.3718414 1.526967 180 188 188 188 188 188 188 172 172 172 188 24 1
-2.69958 -3.216237 -2.704791 2.796717 2.727505 5.662057 0.4769204 -2.896316 -3.202138 0.6438759 -3.789405 172 180 176 176 176 176 172 188 172 188 188 26 1
-2.644966 -2.46017 -2.241313 0.9332398 -0.2158261 0.9487244 -4.426297 -0.382984 -0.3888964 -0.3052287 -1.348122 188 184 188 172 188 188 172 188 188 188 172 27 1
0.8701666 2.048078 1.666752 2.821002 2.56112 3.036489 2.424397 0.7504585 0.7268917 0.8016828 0.7391461 172 188 172 172 172 172 172 172 172 172 172 28 1
13.8802 -5.557845 4.478853 6.666181 10.58188 7.170238 7.157259 1.711494 1.735998 13.93082 1.530644 180 188 176 172 180 180 176 188 188 188 188 29 1
1.377767 -4.667058 -1.822099 -0.9541121 -0.08226751 -1.597596 -1.502694 -2.941397 1.194633 3.153345 1.182535 172 172 172 188 180 184 172 172 172 180 172 30 1
-1.813952 3.24156 0.9472803 2.10759 2.332496 8.383183 1.700143 1.130007 -1.902452 1.161913 0.01541026 188 180 184 184 184 184 184 188 188 188 188 31 1
2.348545 -1.736146 0.7783755 4.369351 3.107854 1.621164 3.425547 2.519511 2.501839 2.390297 2.500287 176 172 172 188 188 188 188 176 176 176 176 32 1
-7.859133 9.50453 -0.8110819 -2.164015 -5.212327 -2.144804 -7.44992 -7.75273 -7.947485 -7.751456 -7.724679 172 176 172 184 172 184 188 172 172 172 172 33 1
-0.08943558 -3.126296 -1.23593 0.5346846 0.6307884 6.054956 0.4845309 0.451078 -0.2509841 1.214774 -0.4556548 172 172 172 180 180 172 180 172 172 172 172 34 1
2.98892 8.044181 5.357718 -0.3573808 1.510037 -1.790797 -1.760803 5.009264 4.667702 2.527692 4.284321 188 172 188 188 188 188 188 180 180 180 184 35 1
3.647786 -0.8215181 1.477429 4.546518 4.131793 5.260467 4.175183 0.3236514 2.211725 0.05128163 1.446427 180 188 184 180 180 180 176 184 180 184 180 36 1
7.497996 -3.855865 3.306581 4.827855 0.8532648 6.927658 2.862309 9.653214 9.576567 10.38698 9.491671 188 172 172 188 188 188 188 188 188 188 188 37 1
2.154919 -0.3063663 -0.2736222 -3.082588 -2.119694 -3.031544 -2.157071 -0.1274733 -0.3068336 -0.2405397 -0.3650925 172 172 172 184 184 184 184 172 172 172 172 38 1
-0.3365486 -4.824659 -1.743801 0.9366 -0.06605388 2.415868 0.0348124 2.09693 1.369652 4.575591 1.440904 180 172 172 172 180 180 180 176 176 172 176 39 1
-3.044366 -8.661024 -5.723904 -2.811037 -4.057501 -4.472466 -5.096143 -1.759339 -1.663041 -3.610467 -1.765273 172 180 180 172 172 172 172 172 172 172 172 41 1
12.56507 -1.120358 -3.081261 15.25244 11.96055 15.4712 3.012129 9.116961 10.90912 10.06209 -1.527538 172 188 188 172 172 172 172 176 172 172 172 42 1
2.914939 16.4418 9.10634 4.491726 5.126906 1.15944 11.27145 3.804721 3.968312 -3.372509 3.976176 172 188 180 172 172 184 172 172 172 188 172 43 1
6.131414 -1.909729 2.698003 7.594731 7.555654 3.064443 7.55133 0.7334981 3.709532 0.8485004 3.594439 172 188 188 172 172 172 172 188 188 188 188 44 1
5.755781 -3.636914 1.510248 2.932118 4.814446 3.314096 2.948576 2.684826 4.250222 1.790832 4.223901 172 172 172 188 176 172 176 188 188 188 188 45 1
-1.892758 4.303009 0.8037489 -0.05304599 -1.763114 2.129169 -2.57883 -1.475195 -2.459341 3.96012 -4.385046 172 184 172 172 172 172 172 172 172 172 172 46 1
4.197309 1.014742 1.932811 -1.078562 2.748164 -0.9803974 2.638156 -1.26667 -0.9418618 -1.30852 -0.9686202 172 188 172 172 172 172 172 172 172 172 172 47 1
3.06497 -0.6790293 2.124745 2.316108 2.336489 4.022515 1.445606 3.039345 3.303515 3.11202 2.878352 176 172 188 176 176 188 180 188 188 188 188 48 1
-1.438953 -0.2029158 -0.2689199 -2.790298 -1.743389 -0.364315 -1.747087 2.555459 -1.481605 2.566816 -1.220777 188 184 188 188 188 172 188 172 188 172 188 49 1
0.07466297 0.7848557 0.9505046 3.134922 2.317762 5.934947 -2.853004 2.159425 1.299519 2.307189 1.253739 184 172 176 184 176 188 172 188 184 188 184 50 1
-1.727041 -0.4585411 -0.4218707 4.730564 3.168376 5.035182 2.71379 -0.347845 -1.566434 0.5264477 -0.5817944 176 188 176 180 176 184 176 172 172 172 172 52 1
-4.657997 1.173272 -2.178486 -2.179703 -2.135408 -2.839721 -2.075016 -1.742777 -3.792192 -1.776893 -3.646369 188 176 188 172 172 172 172 172 188 176 188 53 1
5.593298 -4.259767 2.475803 7.440097 6.936462 3.813141 4.035661 7.545007 6.941375 9.351542 6.604335 184 172 172 172 172 172 176 184 184 184 184 56 1
0.3601724 -4.833922 -2.876724 -3.593652 -1.33786 -8.144888 -1.255977 -3.90961 -2.804024 0.7008435 -2.576329 172 188 188 188 188 172 188 176 188 176 188 57 1
-7.384923 -2.502789 -4.789992 -2.873924 -7.34163 -2.28354 -5.311072 -2.504689 -2.130809 -4.155121 -2.095554 172 172 172 172 172 172 172 180 184 172 188 58 1
1.212312 -1.904543 -0.477818 0.3694984 0.4662087 -3.870519 3.580456 -0.8391212 2.167389 -1.055549 2.276087 188 188 188 172 176 188 180 176 180 188 184 59 1
0.5627728 -1.014607 -6.729493 2.34894 2.440975 1.550587 2.30034 1.171054 0.1324993 -0.5170082 -0.009004498 172 188 188 172 172 172 172 172 172 172 172 60 1
0.2083202 -2.853115 -0.8974916 4.732884 1.86955 4.772371 1.906311 -4.077246 -3.713475 -4.026244 -3.619645 172 172 172 172 172 172 172 172 172 172 172 61 1
-5.55323 1.011908 -2.195519 -2.52777 -0.04417591 -1.642187 -0.1253335 -0.6828715 -0.6190599 -0.6263657 -0.6420667 188 172 188 188 188 180 188 188 188 188 188 62 1
0.7885321 -4.021744 -1.154038 4.140198 2.064389 3.378782 1.989121 -1.07438 0.7384297 -0.954612 -0.3274226 188 172 172 184 180 184 184 172 188 172 188 63 1
4.172391 -6.244905 -0.3845096 3.561064 6.033322 3.417163 3.431062 4.888614 6.629394 7.794055 2.475064 184 188 188 188 184 172 184 188 184 188 184 64 1
4.14673 2.560596 3.237413 2.501503 5.282022 1.216328 5.478661 2.83943 2.982358 2.367476 3.0581 188 180 180 188 180 172 188 188 172 188 188 65 1
1.218214 -0.3849883 1.011056 -1.348023 -0.652085 -1.09696 -0.5688859 3.991646 -6.805455 4.18205 -5.730781 188 188 188 172 188 172 188 172 188 172 188 66 1
-2.351564 -4.488927 -3.138261 -2.939474 -3.118363 -2.224637 -2.187498 -0.3087617 -1.060425 -2.423357 -1.077845 180 176 176 172 180 188 180 172 180 188 180 70 1
3.823169 -1.61407 1.284219 2.299041 3.755237 0.3523205 3.75687 1.246516 1.134372 1.325112 1.243624 176 188 180 172 176 176 172 172 172 172 172 74 1
2.716442 2.589882 3.023417 2.758314 2.631855 3.452356 2.595486 4.082889 4.340793 4.43738 4.208982 180 172 172 180 180 180 180 180 180 180 180 75 1
1.863045 -2.83324 0.09801332 1.453103 1.437931 1.649364 0.8427752 2.308732 2.347255 2.222334 2.421108 176 172 172 180 180 180 180 172 172 172 172 16 2
0.8828648 5.837963 -6.000298 -0.3756515 -0.3521812 -0.4152214 -0.2483372 1.21304 1.154413 0.9171425 1.150842 172 172 188 172 172 172 172 172 172 172 172 17 2
4.739695 0.3563517 2.035374 3.360206 5.400503 3.217763 5.380411 -3.194172 1.269485 -0.1635994 -0.5094651 188 188 188 188 188 172 188 172 188 172 188 23 2
-0.373366 4.181123 -5.289926 -1.882961 -0.5084642 0.2184222 -0.1821928 -1.864828 -1.75156 -1.879175 -1.948378 172 188 172 188 184 184 172 188 188 188 188 24 2
2.474296 11.03736 6.213931 3.02594 2.361568 3.936172 2.054651 2.208849 3.432986 2.541521 3.031083 172 188 184 172 172 172 172 172 172 172 172 26 2
0.02647252 -5.130262 -2.103776 0.8568721 -0.5980788 0.7782902 1.029647 -0.9959646 -0.6532039 -0.488654 -0.9859517 180 172 172 172 188 172 172 188 188 188 172 27 2
0.3313787 -1.862864 -3.587606 5.095627 3.908755 4.088275 4.312325 0.5103361 0.4632369 0.376189 0.4408473 172 172 188 172 172 172 172 172 172 172 172 28 2
12.67831 -0.2821613 5.152937 3.821137 11.70058 3.600888 10.46552 -2.846883 -3.05663 1.945596 -2.682224 176 176 176 188 188 172 188 176 172 172 172 29 2
4.422283 -3.145044 1.698463 3.922621 2.368263 2.114484 1.75199 4.14445 4.12224 3.000523 4.097712 184 172 172 188 188 188 188 188 188 188 188 30 2
7.587982 -3.786608 2.258632 6.857848 6.724455 5.780105 3.092672 2.511686 7.674814 2.516407 5.7038 172 188 188 172 172 172 172 188 172 188 172 31 2
0.2819308 -0.03617045 -3.169065 -0.4489888 1.041472 0.02176676 0.785273 0.08356261 0.06347519 0.1629712 0.04298569 172 184 172 188 172 188 172 172 172 172 172 32 2
8.679251 -1.191832 4.255126 4.482507 6.691238 4.814124 4.739154 8.71651 8.609245 8.548479 8.492109 188 184 188 188 188 188 188 188 188 188 188 33 2
-2.831111 -0.470971 -2.031236 -1.526048 -0.7846663 -0.8521267 -1.352275 -3.554709 -2.958417 -2.92904 -2.894389 188 172 188 176 180 188 180 188 188 188 188 34 2
3.136765 4.11971 3.238152 -0.2628956 2.324121 1.482264 -0.3161736 2.664387 2.217577 1.874598 1.249343 176 172 180 188 188 180 188 188 188 188 184 35 2
-2.312543 3.904064 -0.08102047 3.010553 1.437908 -0.318785 1.282673 -8.572031 -6.146722 -9.923707 -8.328472 172 172 172 188 188 188 184 188 188 188 180 36 2
4.42691 0.5513463 2.027888 1.548743 3.004532 2.674421 0.9832008 1.330972 1.370709 -0.605385 1.33866 188 188 172 172 188 180 188 188 188 188 188 37 2
