O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
37.65259 16.47198 35.17726 53.96803 42.52221 47.16835 30.45655 53.59939 49.00701 53.76505 52.82139 16 1
-3.023623 9.381124 -3.033116 -13.72972 1.74842 -11.75533 -15.99698 -14.96433 -9.676591 -14.07762 -13.86583 16 1
-13.86426 -37.80611 -22.26004 -0.6207691 -17.5311 -2.350157 -22.04127 -16.54221 -13.44313 -16.23556 -17.1671 16 1
-5.153297 -10.49784 -11.70507 -25.265 -19.5051 -13.96794 -24.83168 -16.48824 -16.115 -16.17564 -16.60243 16 1
10.48274 6.613414 11.07753 11.78327 6.639282 15.98318 9.307357 22.95856 22.62313 24.00225 22.94384 16 1
12.70328 32.51058 19.65629 -8.595965 -3.363548 -10.08117 -8.850655 22.26768 20.45424 23.98332 21.65847 16 1
-7.788146 -21.39313 -10.0413 17.72333 0.6948004 12.39888 4.610812 -5.502879 -4.58719 -6.716481 -5.643204 16 1
25.55079 -0.6648813 14.50115 37.31285 32.70021 41.49654 18.09546 8.050236 10.36514 7.534129 7.821579 16 1
-21.67307 -0.05013506 -13.27479 -33.26963 -27.44578 -26.0224 -31.73428 -8.149338 -8.440969 -7.836228 -8.184216 16 1
-13.34665 38.30609 4.900269 -35.8968 -20.08557 -38.40652 -15.43876 -5.153948 -6.043245 -5.42422 -4.653772 16 1
21.87686 -0.8839445 12.22682 15.26154 18.17699 11.0964 19.60147 21.03354 22.6143 21.42995 21.13177 16 1
-8.746109 0.07578211 -5.145484 -6.435196 -7.90397 -8.878281 1.30539 -8.820745 -9.24288 -10.5943 -8.523517 16 1
-0.6763443 11.01514 2.782747 -10.56774 -5.87561 -7.560349 -2.762268 -5.963929 -3.232094 -6.544429 -6.279643 16 1
22.07109 -5.681715 7.500031 -18.65582 7.100837 -6.995831 -7.575974 23.79851 25.41333 24.64251 23.64988 16 1
-21.72583 42.46318 4.234491 -22.79857 -32.63178 -15.31922 -25.8368 -14.69361 -19.58304 -14.39614 -14.88128 16 1
21.96737 8.585585 12.42934 10.87525 17.13059 12.21212 16.12268 4.905829 8.596893 5.190149 5.408966 16 1
-3.954655 23.94583 5.921029 -17.59921 -15.57746 -16.31279 -14.11397 -2.716065 -4.606956 -2.359078 -2.006658 16 1
-34.94463 13.42317 -13.37941 -20.06581 -29.56624 -25.47552 -24.90586 -23.55401 -25.37865 -24.43245 -24.27308 16 1
16.94699 20.19304 14.37002 -9.386126 9.765207 -4.82776 12.16546 12.46671 12.70333 12.03461 12.61672 16 1
-5.828316 -25.38707 -11.7642 2.435898 -3.943789 -1.60957 -9.894634 -5.907953 -9.218119 -4.756566 -6.346854 16 1
12.95557 35.76261 19.92614 10.91105 14.9683 0.4051807 13.64003 -5.199941 -3.168811 -6.511392 -4.813771 16 1
-28.09559 22.51888 -7.298985 -15.31656 -22.98249 -24.71592 -19.91899 -22.61149 -24.3414 -23.18921 -21.83769 16 1
11.8395 -11.82949 5.354726 25.06863 19.25175 26.65475 18.13391 26.38836 25.26344 26.75608 27.72023 16 1
-18.48175 24.58425 0.4738813 -22.22713 -34.77987 -28.73995 -8.7508 -4.517491 -7.866199 -4.132906 -4.450396 16 1
6.855935 -24.26185 -6.24396 0.04993591 14.41535 -4.219777 14.84963 8.667201 6.709978 8.124985 7.786957 16 1
7.844433 10.08932 12.06949 27.05729 20.80083 23.30958 12.20933 13.07354 15.32102 14.37851 13.24057 16 1
-6.29339 4.542905 -0.9794077 1.141421 -7.725902 0.4217872 2.971942 -5.107558 -5.634305 -4.871812 -3.810181 16 1
23.98986 -3.020564 11.77784 18.07925 25.0415 22.72586 9.084436 12.94251 17.62717 14.14547 12.58259 16 1
37.69511 -32.3835 4.623788 8.170696 25.40172 19.26043 9.257187 12.46077 17.89207 14.04801 11.95305 16 1
