O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
7.803782 -30.61728 -6.177273 34.38171 14.14507 28.17233 7.704352 -0.3515384 -2.464674 -0.9611323 -1.25902 16 1
-3.296564 3.83043 0.009116745 -6.834376 -4.634479 -14.88593 -3.108981 -1.120931 -2.391638 -2.128315 -0.9170715 16 1
5.684571 -8.050249 4.140292 22.97064 17.67171 20.30389 11.19949 9.259398 12.13851 9.683497 9.410254 16 1
-4.440266 -1.629473 -3.519315 4.622558 -2.19337 3.804924 5.12376 -12.10243 -10.26936 -14.20753 -11.12773 16 1
21.6183 -19.67084 4.784588 42.58339 30.47162 39.76197 18.34487 -4.291368 -1.643429 -4.730649 -4.575284 16 1
22.38543 5.546344 15.49481 -11.39619 9.61293 -4.834422 9.616552 39.68362 39.59371 40.09284 40.6225 16 1
-13.98062 -1.152317 -5.341373 3.785754 -7.838048 -9.763021 -7.534991 -8.458206 -8.250743 -8.299226 -7.338284 16 1
-17.11784 -0.4041418 -6.771426 -13.56552 -16.53633 -6.477145 -14.83438 9.764974 9.188952 9.789293 9.953688 16 1
-21.56392 38.9275 4.751126 -6.407661 -16.72789 6.918818 -5.095799 -10.75898 -15.94553 -12.54726 -12.37341 16 1
15.02815 3.637364 11.88875 11.78303 13.43623 23.32344 7.500806 22.15267 22.35777 23.2743 22.12902 16 1
-5.408637 -3.271534 -4.332947 -10.47842 -12.66559 -8.103271 -10.75834 -13.16776 -13.31543 -13.82139 -12.42576 16 1
-8.313126 4.01788 -3.944263 -13.18915 -9.815017 1.878857 -28.37133 -12.9916 -13.50752 -11.32269 -13.57642 16 1
14.15071 0.5538074 9.189058 20.55236 19.99027 13.29089 18.07305 3.62909 6.805731 3.307806 4.212 16 1
-28.20736 11.29174 -10.67411 -23.42044 -31.30542 -22.68705 -29.57052 -9.399362 -14.31275 -8.75881 -9.950838 16 1
-1.884567 7.761195 1.828419 -9.014488 -3.373988 -9.46298 -12.49948 -0.5801032 -0.6721665 -0.04157371 -0.4698544 16 1
-3.83825 -22.06936 -7.914487 19.76152 6.023575 9.583525 0.2277057 1.524579 0.2207535 0.9562694 0.8203167 16 1
16.63218 8.628935 13.84212 17.10746 20.07933 13.21284 6.728166 21.25369 21.46762 20.86632 20.48584 16 1
-25.36583 8.711164 -10.80538 -20.05041 -27.45753 -22.77996 -20.11196 -16.82979 -19.53505 -18.14616 -17.20238 16 1
-17.14842 -29.31964 -16.30883 10.08809 -11.60808 8.837954 -18.4142 5.979604 5.742251 7.351012 6.197848 16 1
-13.33956 -21.17277 -15.86381 -4.491252 -16.55705 -8.400571 -5.807037 -13.09774 -13.41815 -13.05729 -12.60675 16 1
-29.21062 0.9033138 -15.79278 -14.2998 -22.53348 -14.78861 -13.68791 -23.39216 -23.15355 -23.10721 -23.23827 16 1
-4.018439 -5.238992 -4.935301 -4.790128 -3.015309 3.046281 -3.710262 -11.31766 -10.77546 -11.63634 -11.41286 16 1
-26.698 21.26437 -7.708704 -14.78991 -25.27793 -14.81815 -33.14208 -32.26073 -31.24578 -30.36291 -32.43583 16 1
23.51425 -16.68392 7.197642 27.94988 20.78432 27.83052 17.57739 12.79841 14.11771 12.09694 12.3722 16 1
