O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
-3.815349 -0.2715426 -2.408393 -3.017844 -3.67979 -2.268182 -3.259971 -4.4593 -4.44023 -4.504151 -4.436422 188 172 176 188 188 188 188 180 180 180 184 16 1
-1.000584 4.83126 2.106439 -0.4774476 -0.656795 -0.6635343 -0.6905041 2.436195 0.5623468 1.719489 0.4188821 188 172 176 188 188 188 188 184 180 184 184 17 1
0.01256728 1.21239 0.8174927 1.983019 -0.8792866 4.028261 -0.7510916 0.4914565 -0.9746011 1.936272 -4.896986 188 172 172 184 188 188 188 176 176 172 172 23 1
-5.01572 -0.6233045 -4.654541 -5.975926 -5.732202 -8.187482 -2.519347 -1.338737 -1.281423 -1.715121 -1.215035 188 188 172 188 188 184 188 184 184 184 188 24 1
0.7644582 -3.467955 -1.011795 3.351695 2.58219 2.675289 2.515204 -0.8578984 -1.527484 -0.01691885 -2.042317 176 184 184 172 172 172 172 184 172 188 172 26 1
-1.610235 -1.833216 -1.610181 0.1369618 -1.319735 -1.908138 0.4127227 -1.983843 -1.873251 -2.619967 0.3748384 172 176 172 172 172 172 172 176 172 176 176 27 1
-1.095372 1.528979 0.1876835 1.267509 0.2864402 1.566086 1.012457 -1.0797 -1.011275 -0.9885357 -1.044574 172 172 172 188 188 188 188 172 172 172 172 28 1
3.880473 4.766223 4.958886 9.515092 4.684678 9.788485 3.407162 4.580501 4.817513 7.494197 4.646131 188 188 188 184 188 184 188 188 188 188 188 29 1
0.06705462 1.544275 1.177312 3.06841 2.648225 1.16282 -0.208774 1.186046 -0.2629594 3.451869 -0.2622093 180 188 180 180 180 172 172 172 180 180 180 30 1
0.2643676 -6.731172 -16.69606 0.2720742 0.3565646 5.874066 -1.623515 2.290172 0.2827102 2.267997 -1.995846 188 172 172 188 188 188 184 188 188 188 188 31 1
-0.173443 3.77975 1.963015 6.223955 7.180586 2.70197 7.57805 -0.3053239 -0.3140925 -0.3639523 -0.2584049 172 172 172 188 188 188 188 172 172 172 172 32 1
3.535652 -1.493393 0.8648883 -3.718415 -0.7338177 -3.453044 -0.8179879 3.619212 3.662214 3.740438 3.482013 188 172 172 172 172 172 172 188 188 188 188 33 1
-4.34122 -2.273422 -3.670012 -0.5156649 -0.8560293 -2.626122 -0.5933961 -5.244417 -4.408168 -4.797526 -4.505799 172 172 172 172 172 176 172 188 172 188 172 34 1
2.812321 3.315848 2.533431 0.07719048 1.99331 -2.972934 2.835968 0.7014601 0.7477271 -1.278105 2.06915 184 188 184 184 188 188 188 184 184 184 188 35 1
3.594069 -2.295619 0.75412 3.096358 4.026083 1.708642 3.999112 0.1230534 2.22283 -0.6906773 1.141412 180 188 180 172 176 172 176 184 180 184 184 36 1
2.319968 -2.192001 1.059089 1.606439 -5.571652 3.003153 3.160687 4.287425 4.567472 5.840282 4.155151 176 188 188 176 176 184 184 188 188 172 188 37 1
-3.605982 -1.014581 -2.721423 -7.162633 -3.384204 -6.799806 -3.45234 2.103373 2.006439 2.134197 2.01087 188 172 172 188 172 188 172 188 188 188 188 38 1
1.810737 2.208339 0.8277954 -4.045846 -0.6820583 -5.109786 -0.6810138 -0.3110695 -0.4256133 -7.546573 -0.233164 180 188 172 172 188 184 188 184 180 184 184 39 1
5.835321 8.320837 9.274999 4.05474 4.464012 0.1558812 3.780113 6.974219 7.155821 7.284306 6.956252 176 184 188 172 172 184 172 180 180 184 176 41 1
3.665448 3.088775 2.743734 0.6460354 2.013012 0.8345985 -4.503375 0.4581461 -0.6260964 -2.564108 -2.066219 184 180 184 184 184 184 172 188 188 184 188 42 1
0.2145396 -2.932608 -0.8386514 -1.775425 -1.485172 0.5123412 2.740416 2.3125 2.326339 2.518416 2.24894 172 172 172 172 172 176 172 172 172 180 172 43 1
2.220016 0.06086234 1.652671 2.295417 2.30445 2.958984 2.206787 3.630608 3.742462 3.481028 3.591546 188 188 188 172 172 172 172 188 188 188 188 44 1
0.5254907 4.348765 -0.1172289 -3.029248 -0.4885948 -1.692134 -2.399742 -4.326741 -1.293608 -3.017294 -1.465816 188 172 172 188 188 188 188 188 184 172 184 45 1
-5.053717 -3.570445 -3.818587 -0.4935589 -4.060693 -1.076746 -2.641413 -2.093668 -3.55092 -0.6210073 -3.812092 172 172 172 180 172 172 172 172 172 188 172 46 1
4.738026 4.007323 3.679325 -3.907106 0.6643505 -3.964174 0.6822695 3.781473 4.132569 3.703931 4.177583 188 188 188 172 184 172 184 184 184 184 184 47 1
1.922327 1.047357 3.408548 -0.1508861 0.1030851 -1.155891 0.05010383 -1.557248 0.6584843 -1.544425 -1.484259 176 180 188 180 180 184 180 176 176 176 176 48 1
2.667838 -1.01869 1.160995 1.674202 2.413682 2.820729 2.25823 1.977796 2.569812 2.021818 2.59058 188 184 188 188 188 180 188 188 188 188 184 49 1
