O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
-2.080505 0.5757663 -0.7153003 -0.2114354 -3.38055 -1.587439 -2.38169 -2.209858 -2.449102 -2.244977 -2.31959 380 396 388 388 384 388 380 396 396 396 396 16 1
4.841169 -14.37596 -2.682793 -0.5046676 -0.3358331 -0.2289377 -0.06277137 10.08587 8.24453 6.407983 8.005816 396 396 396 384 384 384 384 392 396 396 392 17 1
-2.863503 27.97738 10.58337 -3.121845 -2.916955 -1.349637 -2.816341 1.753168 -6.115075 1.115685 0.6633626 396 388 396 380 396 380 396 392 396 396 396 23 1
-2.376614 34.09883 9.303924 -12.88764 -2.675089 -8.701185 -8.296833 -1.444861 -1.74675 -2.583753 -0.7898318 392 384 392 380 392 384 396 392 392 392 396 24 1
-0.2501821 -5.029047 -2.121324 -0.3471923 -0.3587902 0.5452259 -0.8125747 1.529639 1.173976 1.314667 1.063828 396 396 396 388 388 388 388 396 396 392 396 26 1
-1.421392 -1.42821 -1.76593 -2.44221 -1.163863 -2.070341 -5.627296 -0.7325104 -1.136069 -1.401123 -2.628375 380 396 396 396 396 396 396 396 396 396 396 27 1
1.67054 1.978719 2.009851 2.25556 2.352857 2.442701 1.960367 1.827297 1.567631 1.902865 1.853219 396 396 396 396 396 396 396 396 396 396 396 28 1
1.828446 -3.471721 -1.672128 -0.05521121 1.963411 0.2817847 2.039708 -3.013339 -2.961923 4.298489 -3.095848 396 396 396 384 396 380 396 396 396 396 396 29 1
-0.4476152 0.6248757 0.4196293 5.113489 6.909828 3.636111 2.575517 0.9055538 -3.41571 1.852884 -3.458076 396 380 380 380 396 396 380 380 380 396 380 30 1
12.52024 -12.05915 -52.28165 11.61426 11.40322 27.20463 11.21714 13.84732 12.68779 13.78805 10.9301 396 396 380 396 396 396 380 396 396 396 396 31 1
-2.384222 -16.45718 -7.581602 8.097914 -2.855905 3.057714 -1.605802 -1.8509 -1.85508 -1.898906 -1.772501 396 380 380 396 380 396 380 396 396 396 396 32 1
0.5213751 -15.52469 -5.753652 3.665861 3.36518 3.353163 4.5362 0.4929607 0.3729825 0.4355586 0.4872232 380 388 380 396 380 396 380 380 380 380 380 33 1
-1.27804 -4.625511 -2.557902 5.526503 5.766988 3.815475 5.646947 -5.67881 -1.357753 -3.300051 -1.245373 396 380 396 384 380 396 380 396 396 396 396 34 1
4.614234 6.182574 5.504803 5.570718 5.939842 7.503054 1.158605 7.536641 6.376274 8.028021 -0.2437068 396 396 396 396 396 396 396 396 396 396 380 35 1
5.359989 -6.600886 0.5282221 5.81612 3.476296 10.54819 3.274579 8.619158 10.55557 12.55804 2.291225 396 388 396 396 396 396 396 380 396 380 384 36 1
-1.568028 -0.2565587 -0.8340613 -0.8449232 -1.005285 2.091066 -1.397077 0.1282155 0.01883331 1.463146 0.02565447 396 388 392 392 396 392 396 388 388 388 388 37 1
-2.171365 -15.0611 -7.207034 -0.6663271 -0.9131864 -0.6366833 -1.037132 1.265724 1.153048 1.741099 1.351877 380 396 396 396 380 396 396 380 380 380 380 38 1
