O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
-32.34782 11.6556 -14.12544 -44.34609 -47.61621 -38.78144 -29.70489 -15.52212 -18.45367 -15.86572 -15.84223 16 1
12.8398 1.736296 9.967299 16.33336 12.06927 17.62772 21.94336 17.2091 17.94828 17.44516 17.71041 16 1
-1.76808 18.2825 7.223068 5.0557 -6.459109 2.525146 0.2100046 -3.194624 -4.197011 -4.697343 -3.456896 16 1
-22.78683 1.715086 -10.09252 -19.921 -22.09126 -25.03705 -26.19535 -0.1867444 -2.093981 0.8520401 -0.4170126 16 1
-1.081718 16.99066 6.466896 7.004098 7.570218 -3.611754 10.01702 2.911391 2.912252 2.309151 2.48365 16 1
-28.06391 4.731505 -12.86078 0.5075892 -17.74257 -7.97406 -4.002925 -27.87249 -31.39686 -27.75369 -28.73533 16 1
12.51754 17.70514 15.74927 20.11691 15.24218 27.09376 -2.567437 11.34143 12.38727 10.95642 10.99196 16 1
-28.8524 15.11429 -6.382573 -23.02362 -41.76176 -24.7504 -27.6323 -6.092217 -12.10083 -4.92932 -7.00125 16 1
-5.888322 52.11232 17.8149 3.463318 -10.63057 -3.477538 4.098613 -8.203875 -10.22661 -8.602846 -8.62359 16 1
-1.637926 -21.27861 -7.673319 11.1588 3.251389 -4.625891 2.561724 2.396714 4.121554 1.775905 2.79937 16 1
23.82254 -35.41355 -2.778313 6.103683 10.58423 9.974092 15.30851 15.81939 15.79858 15.15992 14.65991 16 1
14.67968 25.08833 17.57441 11.8638 12.62027 8.522218 11.02827 5.012574 8.021376 3.705615 5.994771 16 1
5.953718 -5.750468 0.7807805 11.97278 3.142037 7.536771 -1.899907 3.110332 4.151509 1.645759 3.065972 16 1
35.4911 -29.10933 9.218751 13.73193 25.71177 18.8348 25.24124 20.43617 20.37751 20.68113 19.55274 16 1
6.781192 -8.412909 6.504788 40.90084 21.46405 48.79074 19.63793 21.3586 19.88649 25.6306 22.92167 16 1
9.0278 -30.86255 -9.427208 5.707026 4.110724 2.125867 4.511006 -7.836863 -0.7205499 -10.49264 -8.82685 16 1
29.50179 -8.606391 11.18204 -3.363158 22.77866 14.45358 20.50739 30.22047 30.35839 28.47338 29.93348 16 1
-13.03176 44.85891 8.480526 -23.71459 -19.79281 -39.55869 -16.67228 -16.67588 -15.1452 -16.28625 -17.4924 16 1
-45.26885 3.774528 -22.2455 -28.40435 -44.95315 -31.86834 -29.38176 -23.70227 -25.52603 -22.94181 -22.53916 16 1
23.72965 -17.70546 4.04372 14.87865 9.567678 12.60856 6.210393 1.549649 5.815838 1.436357 1.339006 16 1
1.842389 15.17308 9.795511 2.875339 5.363054 -1.161157 -8.466509 9.82838 4.966226 9.854101 8.99769 16 1
10.96935 -0.6647099 8.746923 32.49307 22.3615 14.21761 11.99712 4.521347 3.883528 7.290933 4.139797 16 1
-10.12068 0.7999222 -4.271384 -1.507156 -9.663041 2.755615 -4.665359 -12.67232 -12.90536 -12.07004 -12.99976 16 1
-4.475131 -44.97153 -22.59641 11.25835 6.509725 19.34601 -6.575211 -15.40648 -14.0612 -16.31507 -14.04426 16 1
18.30196 -14.07564 4.668415 6.183753 10.74615 8.121366 3.529525 24.28406 24.34632 24.33857 24.21088 16 1
2.403941 3.742419 0.633135 -3.826937 0.4388351 -9.629251 -14.92832 -12.47075 -9.340693 -12.57617 -12.61556 16 1
-28.21605 13.96026 -10.60276 -20.73656 -25.28069 -30.22951 -13.011 -20.05034 -22.16232 -19.20692 -20.22017 16 1
-35.36077 30.71737 -8.525949 -40.34915 -45.87926 -36.40057 -35.9925 -24.48422 -28.93633 -23.60062 -24.56211 16 1
4.437203 -13.56544 -2.768332 -13.08666 -5.837439 -2.936392 -8.823206 11.61731 11.12672 10.45288 12.31368 16 1
-6.087334 -13.82875 -8.54368 -6.053938 -4.221425 -3.856482 -0.834329 -0.009729576 -1.660733 0.8302022 -0.3901518 16 1
11.67513 2.705756 8.807219 16.43204 15.27539 7.201206 14.2938 1.080871 -0.1889075 0.3717255 -0.002536297 16 1
