Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
4.769051 3.439759 3.617052 3.336609 4.669148 5.761164 3.859253 0.6681185 -1.489837 1.284392 -1.361878 -1.388161 -1.371 3.665505 5.364925 6.253598 1.90596 2.59746 -3.239957 -4.269924 0.8887886 2.467895 -1.031914 -1.437061 -3.250087 -4.834176 3.005139 -2.345059 -1.032643 -3.793355 -2.905113 -6.404341 -4.470634 -4.152791 -4.231206 -5.583972 -4.398414 -6.486452 -4.068369 -6.704124 1.635176 21.06147 1 -168
5.195127 3.54445 3.26291 3.492369 4.807212 5.386847 3.878585 0.5495764 -1.893685 1.700782 -1.07613 -2.227781 -1.039191 3.649583 5.45059 6.178566 2.131323 2.528563 -3.645635 -3.614484 0.9369951 2.370414 -0.7262736 -1.567487 -3.086749 -5.330729 2.883374 -2.286458 -1.222992 -3.510966 -3.444402 -6.581286 -4.889845 -4.128637 -4.59447 -5.546821 -4.782788 -6.52789 -4.468477 -6.931137 1.329816 23.84711 1 -164
5.821631 3.584202 3.07256 3.560004 4.946342 4.594274 3.845075 0.6039126 -2.170824 2.315164 -0.8639871 -2.562845 -0.7960128 3.658483 5.439646 5.976553 2.493098 2.486681 -3.476662 -2.654851 1.119206 2.308633 -0.3022045 -1.507145 -2.84883 -5.402158 2.760346 -2.159623 -1.331594 -3.090929 -3.718787 -6.363847 -5.142889 -4.106653 -4.779803 -5.420603 -4.99155 -6.316781 -4.693386 -7.064568 0.9970577 22.18371 1 -160
5.771788 3.421098 2.939958 3.409611 4.973439 3.79411 3.655239 0.6838415 -2.274622 3.052747 -0.7389811 -2.299117 -0.6739113 3.656268 5.446711 5.717559 2.810447 2.382649 -2.806818 -1.935287 1.256776 2.273786 0.1649143 -1.42405 -2.430269 -5.214027 2.67393 -1.957886 -1.362631 -2.670876 -3.797752 -5.92602 -5.138872 -3.904895 -4.744275 -5.226243 -4.94144 -6.052688 -4.700682 -6.938103 0.7849523 18.28962 1 -156
5.161974 3.074014 2.618453 3.076069 4.772104 3.526734 3.304369 0.5286246 -2.177663 3.449354 -0.7797703 -1.954711 -0.7458038 3.567474 5.394038 5.376533 2.810255 2.114477 -2.603337 -1.947139 1.173981 2.169158 0.303735 -1.449352 -2.456722 -4.941577 2.630485 -1.84345 -1.373872 -2.535309 -3.772998 -5.767868 -4.842782 -3.570892 -4.497994 -5.078845 -4.634502 -5.896019 -4.49755 -6.549089 0.9021197 17.96324 1 -152
4.843554 2.72921 2.244066 2.731655 4.364434 3.87639 2.915415 0.2744449 -1.998263 3.152219 -1.009007 -1.917478 -1.001278 3.416731 5.091822 4.92058 2.483632 1.728937 -3.292577 -2.776986 0.9897989 2.016351 -0.04021509 -1.569911 -3.25459 -4.564631 2.65782 -1.86884 -1.367091 -2.727356 -3.626001 -5.986565 -4.348969 -3.288595 -4.092487 -5.044068 -4.169975 -5.735291 -4.096223 -6.016643 1.145146 22.21091 1 -148
4.755523 2.450149 2.25961 2.394376 3.800997 4.317687 2.521829 0.2728847 -1.832617 2.255761 -1.250277 -2.140137 -1.246327 3.309464 4.502726 4.369546 2.076102 1.408733 -4.167253 -3.902225 0.9308844 1.912058 -0.5170079 -1.68454 -4.038059 -4.206236 2.761254 -1.886648 -1.294241 -2.858489 -3.401795 -6.089587 -3.822955 -3.108035 -3.595615 -4.960905 -3.675788 -5.318398 -3.573386 -5.44062 1.215557 26.49607 1 -144
4.761455 2.179043 2.616259 2.016959 3.216548 4.307467 2.105882 0.5927484 -1.64808 1.131316 -1.404659 -2.096627 -1.412358 3.245062 3.798265 3.77377 1.735461 1.234332 -4.378012 -4.641434 1.002833 1.867074 -0.7861558 -1.738424 -4.072978 -4.021365 2.858961 -1.805678 -1.168349 -2.709679 -3.211529 -5.768661 -3.367764 -2.929417 -3.094243 -4.709211 -3.237962 -4.686514 -3.074694 -4.876603 1.071406 27.32554 1 -140
4.762753 1.820651 2.745804 1.587309 2.72391 3.732873 1.674078 0.864834 -1.403756 0.2078809 -1.514799 -1.579423 -1.563156 3.112732 3.160915 3.221397 1.443264 1.102589 -4.008058 -4.823191 1.081522 1.858016 -0.8302669 -1.746933 -3.648206 -4.003793 2.910879 -1.641321 -1.027294 -2.498706 -3.082632 -5.293898 -2.946435 -2.61831 -2.659711 -4.393291 -2.839812 -4.114931 -2.658578 -4.255404 0.9587189 26.18173 1 -136
3.968416 1.315234 2.488873 1.073763 2.231362 2.830967 1.199983 0.7081009 -1.040245 -0.3790941 -1.553127 -1.157186 -1.64396 2.851133 2.648436 2.77673 1.158487 0.9630592 -3.828633 -4.673908 1.094942 1.899451 -0.8301062 -1.648813 -3.492863 -3.976301 2.973538 -1.404857 -0.8252379 -2.460617 -2.913911 -5.016369 -2.454518 -2.149768 -2.247745 -4.127785 -2.3959 -3.717454 -2.24694 -3.478648 1.205869 26.27566 1 -132
2.35781 0.7976715 2.188024 0.5627832 1.605847 1.956549 0.7256396 0.3350907 -0.5357127 -0.8374605 -1.4614 -1.155443 -1.569832 2.494229 2.142635 2.35809 0.8691391 0.8725407 -4.06184 -4.337631 1.036641 1.952913 -0.9311888 -1.368754 -3.744161 -3.71813 3.060007 -1.16088 -0.5282224 -2.561824 -2.616102 -4.87355 -1.895456 -1.677085 -1.783678 -3.893368 -1.896053 -3.360621 -1.759816 -2.649263 1.65641 27.40544 1 -128
