Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
4.824768 3.099455 2.758574 2.96645 2.35906 1.436594 3.60547 1.035558 3.212248 0.8553411 2.210961 0.3126456 2.331447 -0.4613123 1.592594 1.900288 2.072878 0.3444675 -1.159058 3.372946 -0.4722457 -1.463275 0.173145 0.2971063 -1.132959 0.5888398 -3.996294 -2.594414 -1.98249 -2.750571 -1.357749 -5.144317 -3.68209 -4.671598 -3.455447 -4.991992 -3.590361 -6.176804 -4.013685 -5.61955 1.199809 16.16553 1 -168
5.698991 3.22826 2.575795 3.123234 2.453205 1.549269 3.781916 1.267911 3.034365 0.6912083 2.126326 0.5737156 2.264333 -0.4887538 1.526127 1.912758 1.949253 0.4705153 -1.382972 2.830934 -0.5248405 -1.50312 -0.09975176 0.1954918 -1.592573 0.4302833 -3.829267 -2.652804 -2.087857 -2.834645 -1.585841 -5.19096 -3.85388 -4.628044 -3.614093 -4.884373 -3.748675 -5.933031 -4.11042 -5.557097 0.7847692 17.63427 1 -164
6.028433 3.050023 2.144668 2.977693 2.159788 1.509766 3.579286 1.242092 2.785301 0.1816937 1.851839 0.782981 2.020591 -0.6241569 1.236899 1.699967 1.653937 0.3757267 -1.530554 1.853975 -0.5319847 -1.519931 -0.2340834 -0.06193576 -1.670892 0.1302019 -3.455364 -2.478275 -2.097203 -2.522286 -1.745055 -4.853163 -3.698687 -4.32242 -3.475361 -4.261324 -3.601923 -5.375659 -3.928623 -5.151439 0.4513233 19.42406 1 -160
6.20632 2.731899 1.676508 2.693168 1.778332 1.661544 3.205186 1.11552 2.464931 -0.3241746 1.508597 1.01517 1.696325 -0.7839517 0.9558026 1.433109 1.283383 0.1605468 -1.643248 0.8882043 -0.5355696 -1.506401 -0.3551781 -0.4391475 -1.721396 -0.249768 -3.06079 -2.156522 -2.0609 -2.164544 -1.927037 -4.403046 -3.390922 -3.839992 -3.201625 -3.484786 -3.3179 -4.736316 -3.628153 -4.572186 0.1569954 20.87205 1 -156
6.366721 2.531169 1.483079 2.50507 1.577663 2.041262 2.915293 1.023872 2.17057 -0.5968137 1.24261 0.9251264 1.42915 -0.8678913 0.7993402 1.265419 1.012587 -0.0498608 -1.804354 0.5533091 -0.5073197 -1.47886 -0.4758507 -0.7791309 -1.815437 -0.4093772 -2.721924 -1.853982 -2.010172 -1.960512 -2.078475 -4.070346 -3.217742 -3.36777 -3.045027 -2.971764 -3.150688 -4.221884 -3.408187 -4.044476 -0.0605488 21.12614 1 -152
6.039182 2.441666 1.717499 2.388044 1.647928 2.300751 2.76573 0.9488935 2.03134 -0.647142 1.193165 0.4093318 1.356661 -0.8304287 0.7985876 1.241305 0.9085855 -0.1811806 -1.920311 0.8924937 -0.4373061 -1.458571 -0.5784808 -0.9033896 -1.777152 -0.2551799 -2.457785 -1.675061 -1.940983 -1.836328 -2.09488 -3.738462 -3.194251 -2.993168 -3.032968 -2.684078 -3.121152 -3.778328 -3.289349 -3.58094 -0.01203042 19.33772 1 -148
5.139245 2.41067 2.203315 2.307601 1.945153 2.354017 2.740692 1.041865 1.988495 -0.5377218 1.220227 -0.005773799 1.338236 -0.7056789 0.9661066 1.318805 0.9466057 -0.2462134 -1.857993 1.211598 -0.3806438 -1.442549 -0.6637345 -0.8348902 -1.717412 -0.01894535 -2.318393 -1.617406 -1.866069 -1.769137 -1.984561 -3.330387 -3.159886 -2.683331 -3.006485 -2.442132 -3.094193 -3.31997 -3.196735 -3.103796 0.06348419 16.1079 1 -144
4.051598 2.464334 2.522052 2.332919 2.234109 2.325205 2.764413 1.219736 1.889387 -0.447404 1.148316 0.06994811 1.233842 -0.5828733 1.194303 1.391312 1.010399 -0.3331591 -1.646788 1.109342 -0.3619743 -1.405728 -0.7257319 -0.7541679 -1.819545 0.1084889 -2.233701 -1.550201 -1.75959 -1.821512 -1.80811 -2.945201 -2.975272 -2.377711 -2.812509 -2.243623 -2.946709 -2.830343 -3.030892 -2.553742 -0.04106881 12.93789 1 -140
3.186499 2.527451 2.485501 2.403029 2.321307 2.271242 2.720732 1.189478 1.674392 -0.5172772 1.112384 0.4946903 1.193555 -0.5492821 1.297143 1.388778 0.9267296 -0.4440572 -1.40867 0.9933821 -0.409819 -1.372929 -0.8171267 -0.7284307 -2.06205 0.1329044 -2.119124 -1.405363 -1.599589 -2.014099 -1.616896 -2.660774 -2.610963 -2.08735 -2.430675 -2.162623 -2.620545 -2.335479 -2.712611 -1.953722 -0.1905706 10.51078 1 -136
2.59266 2.450462 2.366922 2.342648 2.275613 2.201554 2.593484 0.9278627 1.412887 -0.677884 1.199037 0.7975083 1.280783 -0.6085324 1.222031 1.389021 0.6927922 -0.4932103 -1.272849 1.229823 -0.5212955 -1.383844 -0.960243 -0.7132221 -2.251285 0.04831999 -2.001003 -1.260601 -1.425494 -2.203114 -1.501754 -2.448869 -2.19149 -1.83133 -1.988211 -2.159831 -2.203914 -1.877982 -2.27998 -1.40596 -0.289871 8.928287 1 -132
1.863445 2.106295 2.381358 1.998781 2.184974 1.816282 2.389015 0.5537817 1.220211 -0.840817 1.250659 0.67256 1.320893 -0.6481593 1.055799 1.46189 0.5026147 -0.4322807 -1.203549 1.48868 -0.5589357 -1.348988 -1.037715 -0.6827824 -2.18677 -0.04830096 -1.827475 -1.099989 -1.213275 -2.141139 -1.416126 -2.100122 -1.712649 -1.473445 -1.499557 -2.020576 -1.734504 -1.368441 -1.741663 -0.8602747 -0.2096266 7.139977 1 -128
1.115164 1.423185 2.505371 1.29645 2.065394 0.8353912 2.066303 0.229602 1.105125 -0.9232419 1.099305 0.3775587 1.143109 -0.5676005 0.951973 1.556943 0.5036592 -0.3007542 -0.971486 1.33347 -0.4424691 -1.174138 -0.9511958 -0.6566239 -1.842766 -0.03383183 -1.529284 -0.8415878 -0.9121585 -1.793742 -1.243202 -1.473692 -1.104822 -0.9145775 -0.9140103 -1.632497 -1.169011 -0.732661 -1.096648 -0.1992189 0.06437775 3.748786 1 -124
1.201149 0.6364112 2.556305 0.5026039 2.000337 -0.2642851 1.724154 0.1247691 0.9288477 -0.804851 0.7325392 0.3305717 0.7554217 -0.4228216 1.019118 1.596854 0.6378747 -0.2327422 -0.5406644 0.8082345 -0.2999081 -0.9674019 -0.8026847 -0.7273765 -1.383219 -0.03358356 -1.24502 -0.5840492 -0.6483806 -1.390822 -1.114886 -0.8061731 -0.580591 -0.3507838 -0.4217907 -1.153804 -0.6681607 -0.1559758 -0.5450696 0.4300447 0.1750522 -0.01528437 1 -120
2.340266 0.1654854 2.345189 0.06320777 2.012976 -0.5887785 1.552583 0.2204214 0.6131954 -0.5639886 0.2673566 0.5271687 0.2876144 -0.392516 1.141631 1.490884 0.7047554 -0.3747474 -0.2104467 0.240945 -0.3057643 -0.9031309 -0.7606516 -0.9709976 -0.990284 -0.2577448 -1.159071 -0.5246506 -0.5954 -1.168551 -1.193094 -0.4649124 -0.3748837 -0.06000764 -0.2330756 -0.8161007 -0.4356062 0.1452332 -0.2908384 0.7772066 -0.190061 -1.070849 1 -116
3.683273 0.1349736 1.995382 0.07706492 1.961944 0.1013017 1.494009 0.4784725 0.2371286 -0.4311626 -0.264462 0.7746678 -0.2418967 -0.5280647 1.127056 1.160774 0.6383309 -0.7266911 -0.1695992 -0.1636915 -0.4543458 -0.983701 -0.8134703 -1.279387 -0.7792721 -0.7429245 -1.216643 -0.687161 -0.6893098 -1.148209 -1.354574 -0.4971328 -0.360597 -0.08122048 -0.2079404 -0.7149965 -0.3691379 0.2115059 -0.2249641 0.8637133 -0.9863583 1.177309 1 -112
4.32684 0.2958954 1.606935 0.2720018 1.667987 0.9724256 1.264838 0.7847145 -0.06319272 -0.487882 -0.8157881 0.9505002 -0.7757543 -0.6951007 0.9001572 0.6189897 0.5601972 -1.097149 -0.3516482 -0.4982534 -0.5628424 -1.046732 -0.851227 -1.431505 -0.8486879 -1.131412 -1.171477 -0.878706 -0.7147412 -1.16646 -1.356802 -0.6150672 -0.225928 -0.1892779 -0.05174991 -0.678004 -0.1907464 0.2619008 -0.05742238 0.934749 -1.782135 4.317534 1 -108
3.826558 0.3095134 1.184917 0.3118428 1.124595 1.069813 0.7547902 0.9387202 -0.1613675 -0.5941266 -1.166 1.022319 -1.074451 -0.7898467 0.5214204 0.03054705 0.5319276 -1.258531 -0.5302469 -0.7533918 -0.5049398 -0.9450637 -0.8148047 -1.323535 -1.086088 -1.076764 -0.8885611 -0.8743177 -0.5654449 -1.05444 -1.139283 -0.4976439 0.07382477 -0.1188227 0.2470135 -0.4059159 0.1418146 0.4873655 0.2763184 1.158089 -2.129544 5.741808 1 -104
2.252265 0.1583557 0.9990065 0.1647048 0.5834504 0.6803892 0.2027411 1.068911 -0.09443564 -0.5310015 -1.249412 1.062984 -1.111464 -0.8420674 0.18092 -0.3716763 0.4964193 -1.155646 -0.4777985 -0.6770846 -0.3468055 -0.7152856 -0.6888729 -1.058545 -1.181227 -0.9354372 -0.5183001 -0.6622084 -0.3222854 -0.7964948 -0.9035594 -0.1187134 0.3076626 0.1237077 0.4771912 0.09122803 0.4017546 0.8313341 0.5818707 1.46016 -2.246867 4.88018 1 -100
0.6072894 0.09136431 1.090979 0.07725889 0.2715766 0.683889 -0.07407058 1.265603 0.02444992 -0.3526065 -1.247258 0.8862869 -1.118062 -0.951853 -0.01935742 -0.5183004 0.374093 -0.9309084 -0.4322695 -0.2808225 -0.2952582 -0.545486 -0.5791647 -0.8164812 -1.06844 -1.062976 -0.3356674 -0.4793853 -0.151864 -0.6035308 -0.8362288 0.1457838 0.3690449 0.2490019 0.5568356 0.4404817 0.4702153 1.005655 0.7198174 1.585789 -2.4559 4.240497 1 -96
0.1544327 0.1314918 1.100687 0.09997977 0.1605524 0.9090956 -0.03407721 1.210344 0.2631347 -0.4084408 -1.168884 0.2873292 -1.087922 -1.140027 -0.1991363 -0.5079514 0.1363499 -0.7190947 -0.7337215 0.2755864 -0.4705216 -0.5487558 -0.6438724 -0.6126888 -0.9630419 -0.9959106 -0.4092461 -0.5006568 -0.1246499 -0.6138865 -0.7884346 0.05754999 0.3955883 0.08197036 0.5796244 0.4316884 0.4717235 0.8597778 0.7374273 1.363623 -2.35573 5.318645 1 -92
0.6677304 0.113137 0.8585777 0.08246848 0.1011056 0.6954811 0.08815531 0.814827 0.6467576 -0.7494223 -0.8406312 -0.2711665 -0.8099123 -1.276622 -0.4739542 -0.4656977 -0.1536668 -0.5251103 -1.070629 0.889451 -0.7406698 -0.6471886 -0.8453979 -0.3266572 -0.9708426 -0.3279183 -0.5202401 -0.6342451 -0.1619898 -0.6458243 -0.5015656 -0.09775951 0.5368784 -0.2107952 0.6549833 0.2854472 0.5501676 0.5433697 0.7773615 0.9118751 -1.670806 5.721 1 -88
0.7461624 0.01075204 0.4501504 -0.0005418442 -0.01361607 0.1227687 0.1028613 0.4623141 0.9199716 -0.9748355 -0.3796992 -0.2137548 -0.3781458 -1.218399 -0.7299352 -0.4574861 -0.334767 -0.314786 -0.9393613 1.160227 -0.8915184 -0.684128 -0.9407383 -0.005986268 -0.8975257 0.4893338 -0.464771 -0.6664255 -0.1731004 -0.4928186 -0.05893682 -0.01926007 0.7202243 -0.3595886 0.7537923 0.2876802 0.6764498 0.298535 0.8556286 0.4733974 -0.9255139 4.005389 1 -84
0.06870313 -0.0824203 0.1045243 -0.0697073 -0.1487067 -0.3075603 0.0666565 0.385479 0.9120768 -0.8739328 -0.1197034 0.2116981 -0.1115486 -1.000038 -0.762085 -0.4064783 -0.28583 -0.1001455 -0.4299704 0.6938075 -0.8458425 -0.6177314 -0.749004 0.1454045 -0.5367638 0.8665459 -0.2966944 -0.5252075 -0.1577669 -0.1634064 0.2264886 0.2147362 0.7122419 -0.3069013 0.7071457 0.4693635 0.669732 0.2086652 0.7851067 0.137488 -0.585003 1.896481 1 -80
-0.5244894 -0.1237311 0.03313622 -0.1049726 -0.1944545 -0.3931966 0.0891192 0.3444896 0.7866781 -0.6530794 -0.1054571 0.3866795 -0.07016832 -0.7795626 -0.6028358 -0.2137495 -0.1263697 0.07052547 -0.007213777 -0.2303359 -0.690689 -0.5302854 -0.3602486 0.07805253 -0.05056721 0.8354924 -0.1693677 -0.3286684 -0.1525001 0.2140678 0.2785069 0.4106598 0.4990033 -0.1836665 0.4874645 0.6773523 0.4768134 0.1968839 0.5281646 -0.09474339 -0.4257212 0.7229407 1 -76
-0.5710579 -0.1402034 0.1469698 -0.1298509 -0.1316886 -0.1885645 0.1440114 0.06251458 0.7448654 -0.5117759 -0.08281359 0.2229717 -0.02092229 -0.6589031 -0.4760962 0.03141326 -0.08373524 0.1559007 0.04089296 -0.9408727 -0.6023406 -0.5092636 -0.0657304 -0.06506012 0.1535525 0.7344792 -0.1731952 -0.2304295 -0.2106751 0.4428793 0.2361283 0.4182642 0.2880562 -0.1322619 0.2396393 0.7105591 0.2519307 0.1663781 0.2674821 -0.2531374 -0.07940726 0.7990682 1 -72
-0.05954004 -0.0976254 0.1315705 -0.08471663 -0.02880272 0.1858924 0.1932294 -0.3585645 0.7614611 -0.5079799 0.09639978 -0.02089861 0.1659495 -0.6529769 -0.4810835 0.1459486 -0.1932026 0.1373528 -0.2289545 -1.15096 -0.6547 -0.5934004 -0.03031822 -0.1718085 0.02625152 0.6609483 -0.3185945 -0.2802595 -0.378626 0.4112376 0.1101461 0.1822877 0.1768134 -0.1934213 0.05789908 0.502739 0.1027361 0.07078373 0.07260301 -0.4418264 0.3621632 2.373831 1 -68
0.8372439 -0.000822601 -0.1454748 0.03035815 0.01730481 0.4169656 0.2012147 -0.6027968 0.6584744 -0.6734735 0.2691982 -0.2112381 0.3032346 -0.6821294 -0.5453507 0.08706064 -0.3116844 0.04765723 -0.469005 -1.005085 -0.6911763 -0.6994873 -0.06911784 -0.2340598 0.03747967 0.4240918 -0.4540839 -0.3261067 -0.565958 0.2880613 -0.1370606 -0.1130467 0.1353273 -0.2288919 -0.01985515 0.2096678 0.02468777 -0.04219086 -0.07205239 -0.6269174 0.5281814 4.410874 1 -64
1.668071 5.11164e-05 -0.3857563 0.04311517 -0.03329694 0.3362963 0.1043925 -0.5420395 0.4006014 -0.8960035 0.2864618 -0.3598055 0.2737292 -0.6380858 -0.5979521 -0.04140082 -0.3569052 -0.02365197 -0.4664402 -0.6092097 -0.5758306 -0.6846354 0.04638559 -0.2108442 0.379317 -0.03038961 -0.4434541 -0.2096842 -0.622025 0.2798519 -0.3899428 -0.2733639 0.05279343 -0.1160382 -0.0715163 -0.00409615 -0.06506698 -0.1204334 -0.173557 -0.6780725 0.3377349 5.410719 1 -60
1.936985 -0.1039566 -0.4212757 -0.06401984 -0.1311516 0.1092186 -0.01852983 -0.4156774 0.1849126 -1.064432 0.3196526 -0.538069 0.2898939 -0.5140321 -0.6301124 -0.1368418 -0.4083952 -0.01944065 -0.4254848 0.09057363 -0.4123316 -0.5327635 0.1976741 0.02866347 0.6166582 -0.2905386 -0.3746277 -0.03273011 -0.510164 0.3172697 -0.4528665 -0.337844 -0.1097629 0.04043584 -0.1814056 -0.1289957 -0.1919614 -0.2065075 -0.2650454 -0.6263039 0.2098207 5.203487 1 -56
1.339427 -0.1812037 -0.452444 -0.1534282 -0.2190823 -0.2116343 -0.04549387 -0.5187106 0.1644627 -1.237134 0.5550913 -0.7098672 0.5084281 -0.3479394 -0.6297083 -0.1592984 -0.5381075 0.05733845 -0.526514 1.169878 -0.3118407 -0.3222689 0.1533151 0.5254629 0.4018635 -0.007746415 -0.3255165 0.03584575 -0.2909835 0.2225312 -0.2120044 -0.3916646 -0.1822513 0.08806798 -0.2219238 -0.2313196 -0.2092175 -0.3456394 -0.3042045 -0.5641633 0.5498949 4.079763 1 -52
