Row base expr
Fp1 3.47280322058125 2.15607183940131
Fp2 3.24443639448464 2.21408646693438
AF3 4.11544420415133 2.40846676974111
AF4 3.56282613578983 2.36528992679043
Fz 3.68311877974947 2.20765821106777
F3 3.74722590863583 2.06303033937404
F4 3.1865575063221 1.97361657034786
F7 3.08197863874955 2.21940867979595
F8 3.24849408374421 2.1476069601974
FC5 3.14932791721017 2.07888054448806
FC6 3.25486465235288 2.38560436697616
FT7 2.62130333374915 1.63286601169727
FT8 2.756145875865 2.02417810431995
Cz 4.32700149041584 2.27623655287456
FC1 4.02638456189964 2.12437874644583
FC2 4.2425823046189 2.37580540869817
C3 3.2023389288058 1.77996411861957
C4 3.38771507468713 2.30235424621935
T7 1.80933517819327 1.17891572996085
T8 2.38915394701682 1.7440589125287
A1 3.19285980092106 1.54994620996047
A2 3.65736517521642 2.16922626981036
CP1 1.85456187630452 1.5622403255173
CP2 2.66095211713574 1.68367270646314
CP5 1.70576976600312 1.31310070139428
CP6 3.18882475372415 2.09533816344302
TP7 3.62152107711637 1.68786191959973
TP8 3.25233962401415 1.92572922976101
Pz 4.94444951921128 2.41475360582353
P3 3.09166014913335 1.49383643687119
P4 4.67396043260194 2.65526306658362
P7 6.01731613878999 2.86821193384361
P8 7.77607174904427 4.1554561313826
PO9 7.31170971925871 3.32236989898111
PO10 8.47310030195341 4.28855978564821
PO3 5.83202962048895 2.77838417655512
PO4 7.96460287988708 3.8805388494761
PO7 9.75235924886213 4.40906235859895
PO8 10.9111753728604 5.41508371720947
O1 14.5498488996922 7.0903242407897
O2 2.86020833000036 2.13923194977793
Oz 2.45828059470683 0.985755004466565
