Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
-0.7198905 -0.4712675 0.5952759 -0.636644 0.296145 2.477897 -2.772284 1.763412 -1.75144 2.638074 -2.170364 1.246337 -2.250046 0.09068108 1.161283 -2.292163 0.664735 -2.823447 2.533753 -1.260735 0.6268538 -0.1186535 1.973916 -2.136737 2.97596 -0.1838823 0.2041901 1.124344 -0.1878543 2.089989 -0.9558045 1.417688 0.8323734 0.7307531 0.8542782 0.7466779 0.9140764 0.5295463 0.9427356 0.4713784 -3.186811 -5.984302 1 -168
-1.398712 -0.4016897 0.6040179 -0.548955 0.2266189 1.736945 -2.881832 1.750677 -1.751882 3.141937 -1.925635 1.751085 -1.986108 0.139986 1.114825 -2.261743 0.9084308 -2.657661 3.380528 -0.70025 0.8463356 0.0891253 2.187165 -1.60733 3.309931 0.2188893 0.372088 1.322354 0.03159425 2.2388 -0.5837337 1.795489 0.927573 0.7754976 0.9914327 0.7195547 1.041552 0.4981637 1.040213 0.5497904 -3.181985 -11.82303 1 -164
-1.951545 -0.3524791 0.7559524 -0.5115042 -0.04013131 0.6692896 -3.097738 1.655684 -1.601261 3.314469 -1.45075 2.376119 -1.457319 0.07250439 0.9341242 -2.36026 1.092754 -2.462779 4.314175 -0.2511025 1.071593 0.1707487 2.519554 -1.105009 3.723721 0.6522524 0.5623472 1.549333 0.2877007 2.449995 -0.2095336 2.293614 0.997044 0.8419139 1.114791 0.7878866 1.13091 0.6733902 1.141341 0.7410424 -3.108252 -17.93462 1 -160
-1.517116 -0.2048202 0.3973005 -0.3405266 -0.5572042 -0.1747302 -3.456179 1.529835 -1.490599 2.92863 -1.092399 2.448847 -1.066577 -0.1959078 0.5903464 -2.694528 1.006174 -2.41276 4.29335 -0.3251283 1.103617 0.06759996 2.581723 -0.8339773 3.672867 0.8396589 0.6785686 1.624055 0.4678359 2.598429 -0.06251314 2.431697 0.9780058 0.9062466 1.12459 0.9463069 1.11245 0.9285971 1.164576 0.969999 -3.237573 -17.72883 1 -156
-0.3532638 0.02681259 -0.3837729 -0.04842354 -1.080595 -0.4583931 -3.822955 1.537223 -1.553043 2.160213 -1.191478 1.664355 -1.186205 -0.4953107 0.1990872 -3.074862 0.6965724 -2.439142 3.258304 -0.9472513 0.9733958 -0.04324511 2.328486 -0.7738316 3.26587 0.6582425 0.7228957 1.560242 0.5460323 2.657974 -0.1575853 2.197104 0.9102148 0.9786768 1.053433 1.169022 1.024452 1.157897 1.150665 1.236073 -3.61609 -11.50773 1 -152
0.5185708 0.1599454 -0.8318739 0.1190071 -1.368261 -0.3273306 -3.999694 1.665624 -1.687613 1.324021 -1.527187 0.7752771 -1.577932 -0.6892479 -0.1199022 -3.288656 0.378052 -2.354389 2.336216 -1.459594 0.8547013 -0.008784603 2.02773 -0.6803264 3.068387 0.2832105 0.7296708 1.490035 0.6308701 2.697693 -0.2752642 2.077874 0.9089199 1.090917 1.042752 1.428711 0.9927582 1.377999 1.22597 1.582451 -4.011673 -6.579652 1 -148
0.6427768 0.05687561 -0.5876423 -0.009725105 -1.441282 0.08232186 -3.841458 1.628442 -1.637632 0.6679353 -1.67355 0.5873463 -1.761523 -0.7889095 -0.3121015 -3.325766 0.1906315 -2.174993 2.244903 -1.338974 0.7955822 0.08423775 1.851986 -0.4664745 3.221631 -0.05763876 0.6918777 1.431525 0.7187403 2.701698 -0.2522096 2.239583 0.9883127 1.146547 1.101866 1.593018 1.029671 1.52542 1.346066 1.867864 -3.991849 -6.775119 1 -144
0.1788165 -0.3085174 0.1178085 -0.4373209 -1.382835 0.6117352 -3.288099 1.556274 -1.430115 0.5724999 -1.549077 1.14952 -1.621556 -0.8072228 -0.3169618 -3.22834 0.2065366 -1.985713 2.80232 -0.9217994 0.7659191 0.1277679 1.822495 -0.2685856 3.389007 -0.3103389 0.6441599 1.379552 0.7553226 2.662625 -0.1470577 2.55116 1.060427 1.113027 1.152626 1.680212 1.061997 1.602434 1.397219 1.965113 -3.72582 -10.59729 1 -140
-0.5064102 -0.7404416 0.8177574 -0.9212215 -1.265118 1.02716 -2.555867 1.751113 -1.313427 1.119032 -1.337858 1.877972 -1.395423 -0.7781265 -0.1757755 -3.049365 0.4313141 -1.823673 3.453959 -0.7545426 0.7671353 0.1447831 1.906773 -0.1688103 3.296976 -0.4029569 0.643631 1.344259 0.7735733 2.60278 -0.07699334 2.882405 1.081608 1.095848 1.186038 1.824959 1.096938 1.688903 1.398455 1.98835 -3.756619 -15.17914 1 -136
-1.175148 -0.9527196 1.107813 -1.147476 -1.236002 1.293737 -2.059035 1.88307 -1.282788 1.742502 -1.152188 2.192421 -1.21959 -0.7639768 -0.07017805 -2.897516 0.6523387 -1.694396 3.72858 -0.8648041 0.7660702 0.1737376 1.982537 -0.1105727 3.018597 -0.2793683 0.688961 1.286718 0.7789021 2.495473 -0.08004656 3.064907 1.084017 1.133817 1.208268 1.979263 1.160932 1.756065 1.39239 2.084625 -3.846603 -17.82342 1 -132
-2.009958 -0.9473919 0.9391186 -1.124005 -1.34147 1.380137 -1.909304 1.526329 -1.185028 1.956201 -0.9771269 1.974678 -1.044753 -0.7560011 -0.09478749 -2.796502 0.6578236 -1.486048 3.635248 -0.8692793 0.75224 0.2453249 1.974419 0.05381905 2.809315 -0.01063003 0.7757374 1.246376 0.7997955 2.413421 -0.08520672 3.165437 1.13585 1.253753 1.237522 2.141421 1.236363 1.841273 1.412852 2.278164 -3.438411 -18.76657 1 -128
-3.070694 -0.869104 0.5978609 -1.016353 -1.456201 1.068155 -1.914279 0.8940898 -1.017116 1.742826 -0.7395445 1.530061 -0.7782393 -0.7503006 -0.2141615 -2.679266 0.5207214 -1.172677 3.461075 -0.4295756 0.7558361 0.3422021 1.947992 0.3393556 2.767071 0.3069111 0.8787321 1.27488 0.8544055 2.444552 -0.005998482 3.314162 1.222755 1.412441 1.287629 2.349211 1.28627 1.968063 1.452665 2.397663 -2.699676 -19.60445 1 -124
-3.727151 -0.7526874 0.290512 -0.8702341 -1.524202 0.278366 -1.994122 0.5811176 -0.904887 1.395226 -0.4545636 1.3441 -0.4346595 -0.7649429 -0.3656067 -2.570969 0.4632422 -0.9565322 3.426879 0.131204 0.7844706 0.3651194 2.022611 0.5061708 2.869861 0.4833829 0.9455189 1.348731 0.8492248 2.563001 0.09752645 3.394042 1.233706 1.47112 1.305127 2.479288 1.261365 1.996838 1.414964 2.236126 -2.289247 -19.92898 1 -120
-3.393989 -0.5825211 -0.09667344 -0.6590817 -1.60467 -0.6160691 -2.174079 0.8173845 -0.9361309 1.246023 -0.3362341 1.586347 -0.2815693 -0.7715464 -0.4698832 -2.541644 0.5608693 -0.9472673 3.548107 0.1531128 0.8494866 0.2909395 2.218246 0.3972639 3.019705 0.3565034 0.9939719 1.44585 0.769466 2.71426 0.1315985 3.32132 1.151048 1.449253 1.253257 2.491964 1.15261 1.871773 1.282264 1.896794 -2.497553 -19.06052 1 -116
-2.395624 -0.3829847 -0.5832212 -0.4079598 -1.650513 -1.116584 -2.360564 1.174118 -1.059124 1.266667 -0.4334506 1.967544 -0.4005168 -0.7676759 -0.5091209 -2.53938 0.6331789 -1.003751 3.621449 -0.228986 0.9085459 0.2132435 2.367723 0.1722335 3.039014 0.07812092 1.010599 1.498052 0.6903319 2.810211 0.09440431 3.131608 1.035272 1.424118 1.151765 2.453161 1.003153 1.628068 1.131058 1.598094 -2.947738 -17.31447 1 -112
-1.350978 -0.2132527 -0.8636925 -0.212393 -1.52744 -1.089397 -2.31521 1.367375 -1.17355 1.175605 -0.4873505 2.158429 -0.501445 -0.770232 -0.5177328 -2.448383 0.5265116 -0.9817026 3.493702 -0.4609289 0.8676626 0.1735395 2.319692 0.03745979 2.949864 -0.09249897 0.8968418 1.397754 0.5833068 2.730627 0.002175591 2.78847 0.8579113 1.305773 0.9905508 2.278296 0.8198249 1.224283 0.9542103 1.278555 -3.267259 -14.905 1 -108
-0.4770202 -0.045092 -0.9111366 -0.05345881 -1.266168 -0.7800478 -1.90181 1.539127 -1.182457 0.9025126 -0.4119412 2.03928 -0.4854858 -0.7885612 -0.5202606 -2.25751 0.3426358 -0.9040803 3.175333 -0.5772909 0.7207937 0.1129969 2.153124 -0.03840481 2.945944 -0.1102187 0.6662537 1.138015 0.4012062 2.459664 -0.0959888 2.226867 0.5907879 0.9886894 0.7395675 1.833889 0.5760269 0.665745 0.6772537 0.7673828 -3.419252 -11.43697 1 -104
0.2993707 0.159711 -0.9255199 0.1335708 -0.9987716 -0.3920507 -1.332299 1.617024 -1.015707 0.5909703 -0.4099405 1.704512 -0.5178115 -0.8359068 -0.559167 -2.056631 0.22011 -0.8349842 2.686292 -0.8206179 0.5533908 -0.009459734 1.994163 -0.1652405 2.957211 -0.01394121 0.4200807 0.8187069 0.1717517 2.096812 -0.1399672 1.485152 0.2894087 0.5304956 0.4215028 1.173617 0.2934347 0.08077994 0.3079786 0.08979075 -3.31707 -6.750749 1 -100
0.7602705 0.3395256 -0.7969404 0.288023 -0.794503 0.1040628 -0.9567709 1.434224 -0.6803537 0.3416972 -0.5216714 1.287333 -0.6156163 -0.8245009 -0.6098028 -1.842713 0.162386 -0.7143636 2.042851 -1.024869 0.4338702 -0.1072342 1.789533 -0.2591669 2.663548 0.1995913 0.239382 0.5403427 -0.02526435 1.72436 -0.1267075 0.7469715 0.04478079 0.1348331 0.1435178 0.5122738 0.05141085 -0.3947923 -0.02556404 -0.5555338 -2.794284 -2.314159 1 -96
