O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
13.97477 -17.11911 -0.05799675 11.86614 16.79915 8.755966 13.27794 4.003902 7.059756 4.180082 4.294209 16 1
-2.894008 1.466698 -1.412323 1.888141 1.190527 4.038688 1.884856 -1.083099 -0.353573 0.05824311 -0.3922275 16 1
20.79886 -9.337526 7.357566 12.2989 7.128424 14.76322 11.2991 2.402066 1.593635 0.621827 2.165132 16 1
3.169045 -7.785989 -3.03322 -13.70556 -4.512231 -12.96039 -1.854185 0.4822819 0.5044623 0.5955156 0.2382194 16 1
-16.29053 -8.546034 -14.87883 -18.83847 -18.73428 -17.7338 -17.32615 -23.20652 -22.26917 -23.0691 -22.87377 16 1
7.243492 -9.217883 -0.07485099 10.52433 13.35768 11.20513 2.748961 -2.662013 -0.6686569 -3.105364 -2.643551 16 1
2.745276 -34.82004 -13.2652 9.694138 4.981343 8.994617 -4.555663 -11.38879 -11.78888 -12.38283 -11.30275 16 1
-4.851102 -2.838664 -1.766079 -4.418939 -12.39679 1.236704 -3.084764 5.57218 3.711804 6.665413 6.827778 16 1
1.45788 -15.15677 -5.128758 6.732934 9.492526 9.954519 6.454659 0.8723685 2.057237 0.4309832 0.4772812 16 1
-17.03008 10.80165 -7.144881 -26.3576 -20.78397 -19.82595 -12.17826 -9.863107 -10.85746 -10.62109 -9.711061 16 1
18.05286 -11.47977 5.104623 14.50097 24.2606 15.16093 15.3421 1.25225 4.025443 1.160431 0.3026337 16 1
2.414773 28.5027 16.27851 14.25483 5.733677 7.043738 8.749845 11.17244 9.435622 10.88505 10.15269 16 1
5.6839 21.54283 11.83559 -16.05875 -3.560736 -0.5167859 -6.122308 20.6799 20.17512 22.13153 20.50731 16 1
25.26771 -0.3573145 11.8908 -4.773086 14.96554 8.672205 9.293336 16.40342 17.92787 16.38544 15.83074 16 1
-28.7219 2.625274 -15.55476 -19.61778 -23.65099 -29.89252 -29.81647 -15.25839 -17.72806 -14.92831 -15.24665 16 1
-5.018929 -18.88931 -12.82952 -1.462272 -6.143886 -1.751256 4.079273 -18.12534 -16.42172 -17.8975 -17.53854 16 1
10.05842 27.00108 16.64661 3.695005 8.058235 4.683543 9.61772 12.12329 12.75153 11.68846 11.73543 16 1
0.7208585 22.12308 9.018789 -5.458229 -3.625777 -1.875531 -10.45647 0.09513642 3.379742 1.364726 1.037076 16 1
13.98835 -26.05299 -5.429288 -15.17717 -0.6880253 -15.42332 1.604148 6.765024 8.801394 5.799648 6.594897 16 1
-36.38889 49.6002 0.7776056 -15.59816 -21.24801 -24.78523 1.664248 -20.51998 -21.15043 -20.34187 -21.38959 16 1
2.892498 21.36422 12.0421 14.07637 8.685584 9.865079 5.897168 2.20263 0.964842 1.501645 2.474224 16 1
-29.04345 35.06403 -2.177571 -27.5239 -38.11728 -15.60637 -26.29803 -14.76451 -19.02262 -14.02717 -15.46916 16 1
-17.97875 4.060164 -8.235516 -16.57299 -21.84451 -14.04875 -17.82125 -11.35194 -12.62182 -12.21175 -11.54667 16 1
-12.10382 -18.76631 -13.31804 -8.824689 -13.85098 -9.622106 -7.297752 0.6488096 0.5522968 1.779857 1.09346 16 1
19.28174 15.44592 19.04469 20.76447 21.03395 14.6039 16.67484 11.9964 14.1216 12.9747 12.17566 16 1
-16.66154 0.7885559 -7.491409 5.389265 -9.403692 3.021052 -9.098909 -13.11996 -15.87087 -11.84353 -13.53269 16 1
16.17856 -20.20097 1.402529 8.195839 19.47714 16.83382 4.14736 16.01229 18.32434 16.18637 16.36118 16 1
-35.95277 -10.38236 -23.30252 -15.51988 -25.47322 -11.49546 -19.83361 -23.99435 -26.39637 -24.201 -23.42463 16 1
12.00946 4.613678 5.801733 -0.1681683 8.910067 -3.493231 14.53399 3.386061 3.223354 2.621475 2.718154 16 1
-13.62072 -12.07329 -9.566906 18.30711 -4.436741 14.99467 -6.530024 -11.50859 -12.18377 -11.11045 -11.82666 16 1
-4.111346 -14.202 -7.530775 -12.85138 -7.360267 -12.70141 -9.751477 4.552189 3.02969 5.444978 3.980357 16 1
30.92672 7.296715 20.85994 19.37836 26.97777 20.81137 20.36579 24.22285 26.10001 23.847 24.35017 16 1
17.28402 -32.55722 0.5945811 38.21473 40.75527 46.23753 22.08692 17.93564 17.90567 18.31484 17.77619 16 1
-15.40095 25.98989 1.177546 -18.86501 -17.66973 -19.32962 -18.23845 -5.303159 -7.332049 -4.476497 -4.99559 16 1
-2.578208 5.058735 1.094761 4.401533 6.198653 1.594127 12.67083 -5.515043 -4.486873 -6.007865 -4.216963 16 1
-14.94468 -8.84936 -9.390351 25.25913 0.6741068 12.13131 -11.41719 -33.19409 -32.81275 -32.80351 -34.06548 16 1
-7.659438 33.46532 13.52111 15.35464 -7.92238 8.593018 -0.3306667 9.505552 5.589727 9.867966 8.980215 16 1
14.17794 -20.74543 -1.561995 10.27886 13.1822 11.42082 10.04306 0.2143881 2.642729 0.2387592 0.8034703 16 1
1.530907 13.27003 7.146665 4.171985 8.246607 -1.839749 -1.781491 12.36498 11.76587 12.41363 12.37887 16 1
-13.81906 -24.40206 -15.61283 1.115086 -12.2825 3.081477 -6.477091 -8.529996 -7.633396 -8.663081 -8.891726 16 1
14.80386 -0.5511801 8.246241 18.12671 25.60444 10.4176 18.82016 4.14232 5.783248 4.250735 5.018465 16 1
-21.86743 74.50334 14.46152 -11.68357 -12.59818 -11.78102 -13.47869 -52.89231 -50.49791 -37.64985 -29.31413 17 1
-12.80638 -19.00308 -14.63922 14.06302 12.30311 14.40506 11.44983 -28.97458 -35.8813 -14.0058 -39.08692 17 1
61.61812 -40.61172 28.54165 -6.513794 -4.3275 -8.236929 -1.49333 168.2181 126.9677 106.5842 153.9762 17 1
-38.24475 60.01057 1.752818 -26.66883 -28.98718 -27.20699 -31.22544 -28.85282 -27.86496 -23.86905 -31.84312 17 1
26.3172 -32.5106 6.959236 5.365405 4.373891 4.851621 4.356856 67.74388 45.75592 52.86741 63.48132 17 1
-4.323037 38.61263 15.43669 -11.23294 -10.47089 -10.31581 -8.442735 12.15767 -8.046455 -4.580322 11.75001 17 1
-12.81071 22.44696 2.525938 -11.7665 -11.1622 -12.26719 -10.1277 -1.987056 -24.25197 -14.16548 4.102952 17 1
14.65232 -20.57291 1.217855 42.57113 39.47095 42.06959 36.86572 3.479263 11.80515 6.712334 6.155308 17 1
-7.693569 -6.720419 -9.783163 3.094873 4.543696 6.167988 4.524409 -25.35141 -17.39268 -19.33902 -15.15247 17 1
1.482148 -7.628061 -2.036035 -1.819585 -1.462539 -5.113667 -0.6601709 3.91855 -6.460459 5.195346 7.758537 17 1
7.537012 39.26409 18.17478 14.21102 14.26274 15.51276 14.05063 -37.35281 -35.66361 -21.50757 4.732825 17 1
6.897388 -67.21806 -21.2217 18.85363 18.53498 17.34017 17.1394 -3.618662 -19.76541 -0.633916 -12.45574 17 1
-1.91437 -20.98308 -7.318408 -8.993842 -8.118467 -8.079853 -7.974536 21.49714 -2.613897 11.13664 8.637693 17 1
-14.87311 40.63368 5.956225 -8.381045 -9.835938 -8.997192 -9.650278 -15.45386 -33.09363 -19.04648 -0.3455297 17 1
15.60835 -48.51081 -7.055197 13.88986 14.49674 13.78509 14.47628 30.75378 34.37875 25.74689 21.38046 17 1
-23.82406 -43.55427 -31.34801 -2.408115 -3.045283 -2.494985 -5.466044 -28.30422 -22.53411 -9.582036 -39.92922 17 1
14.35907 9.001383 13.02819 3.674604 2.972393 2.25623 3.673706 22.70726 27.38083 15.39914 18.89275 17 1
13.25357 38.42572 23.10483 9.678476 9.97 9.529375 11.08719 8.665235 5.825005 -0.2209571 17.04002 17 1
10.8711 -13.33186 4.56476 11.67614 9.832211 10.5213 6.095664 37.97551 35.02385 25.94005 38.20296 17 1
-13.08215 27.18346 2.521921 -9.238935 -9.248438 -9.965918 -9.529424 -7.166675 14.31787 -7.26978 -17.21811 17 1
8.240088 8.707622 9.680831 1.717007 2.242417 2.701475 1.557261 18.2203 2.50543 10.00106 16.68514 17 1
0.1497755 -25.74014 -9.93347 3.834902 3.252158 1.699683 3.850859 2.598301 2.825664 2.681436 4.385493 17 1
6.829659 -3.406074 4.493338 9.093657 8.930513 8.780625 8.686089 24.99748 21.64368 20.5672 10.57052 17 1
-17.40671 66.21324 17.63346 -31.45822 -31.15285 -30.5955 -31.00645 2.237158 -4.012026 -1.763013 -1.279189 17 1
-20.36304 74.28896 15.42279 -16.72704 -17.61602 -14.68866 -18.62041 -52.62656 -36.65131 -26.35358 -30.72364 17 1
11.27313 69.07958 35.64362 3.651191 6.511333 3.802525 8.663363 18.0411 21.42749 7.7567 -4.276235 17 1
-16.43081 -12.08004 -13.15107 -13.30403 -13.75898 -15.29476 -14.28109 -0.5858301 -1.355991 -5.947788 -21.67303 17 1
2.408223 105.9943 41.99588 -1.449062 -1.293511 0.2394141 -0.8093017 -26.55447 -11.68953 -16.80831 -18.37642 17 1
-8.256514 39.47646 11.27698 -4.735884 -4.778106 -3.657939 -5.835532 7.651626 -4.546016 -1.458437 -1.15082 17 1
-2.034978 32.68571 11.73385 -1.763179 -2.139336 -3.422148 -2.392344 -11.25987 -4.649541 -11.99831 5.012124 17 1
-14.90484 -40.96772 -27.10808 6.334599 5.2752 6.089912 4.925689 -45.19425 -37.89893 -25.7299 -34.33978 17 1
12.899 18.47783 15.05786 -1.168667 -0.6992822 -1.836807 1.44187 13.69644 4.469941 1.136548 29.06374 17 1
-20.68657 -70.81822 -39.92212 -13.76785 -14.27886 -11.78453 -14.58161 -23.82928 -18.68805 -2.111367 -33.95047 17 1
-2.91852 -4.854404 -3.725279 -2.531685 -2.718252 -1.129341 -2.208984 6.229136 2.403896 2.511572 6.40602 17 1
19.98076 -7.917285 11.23649 7.540572 9.515903 7.831294 11.13649 27.51783 22.59434 20.10174 22.82243 17 1
-10.07362 -21.06033 -17.29209 4.63416 4.143404 6.135039 3.122451 -31.07584 -29.42691 -12.33369 -47.10995 17 1
3.50282 -37.90648 -10.79458 4.931162 4.559659 7.754703 5.506445 39.62282 49.14366 27.49054 5.619521 17 1
-12.94449 6.638155 -5.491475 -24.78759 -25.12023 -29.0078 -21.89064 -23.53083 -60.07592 -28.28237 1.444233 17 1
2.517373 -4.69268 5.693486 -4.844145 -5.287285 -6.115586 -6.199839 58.82203 52.53057 36.4076 23.94982 17 1
-15.62397 -25.61246 -14.89184 -8.629024 -9.744878 -8.543042 -11.00793 13.13448 20.33731 11.4429 -13.26435 17 1
-0.6143188 -26.53335 -10.86557 -2.305532 -2.823506 -2.996426 -3.115855 6.308008 7.688179 9.423169 1.805964 17 1
13.29989 -21.63383 4.048002 12.7462 11.90293 11.01053 13.70616 39.3714 28.67593 18.27288 33.33501 17 1
-13.63799 -13.14502 -13.96638 -9.17351 0.250415 -14.24466 0.9918665 -18.16858 -21.54675 -26.02357 0.9034315 23 1
