O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
1.773496 -2.063565 1.260849 2.794077 0.2430772 0.9786375 -0.3520456 -2.622678 -2.716856 -3.309052 -3.017418 256 260 260 260 256 256 256 260 256 256 260 16 1
-2.509332 -6.660982 -4.945727 -2.86111 -2.499912 -2.406082 -2.342178 -6.482694 -5.314008 -2.988046 -4.703744 248 264 264 248 248 248 248 264 264 264 264 17 1
-1.453679 -3.530168 -2.022769 -2.663554 -1.840892 -1.994774 -2.530599 -3.118274 -2.963875 -2.312565 0.3014187 248 248 248 252 248 252 252 248 248 248 248 18 1
-1.017632 -3.858132 -0.5747663 -0.9924268 -1.376258 -1.210718 -1.4846 -4.008778 -6.295889 -6.467155 -3.412603 260 264 264 260 248 248 248 264 260 260 260 20 1
-4.25815 -2.580135 -4.06602 -2.239072 -3.172962 -2.328433 -3.073405 -2.296123 -2.693049 -2.843489 -2.090139 248 264 248 248 248 248 248 264 264 256 248 21 1
2.056823 8.388791 7.556802 -1.006662 -0.9837142 -1.762212 -1.007583 1.475089 3.475376 0.9966545 3.604167 264 256 252 264 264 264 264 264 264 264 264 22 1
-0.5233834 7.200578 2.051566 -3.374412 -2.401941 -4.884837 -2.402937 -2.197009 -0.4598199 -3.126796 -1.476776 248 264 260 248 248 248 248 264 248 248 252 23 1
-1.048227 -5.999205 9.70912 3.458613 3.136106 1.504482 4.339164 -11.1256 -11.0059 -11.90932 -5.577616 264 248 264 264 248 260 264 248 248 248 264 24 1
6.173305 -12.91988 -13.01752 8.3063 8.451647 8.125555 8.584476 4.947238 5.030581 5.153876 5.028524 260 264 252 248 248 248 248 256 260 256 260 26 1
-1.547914 -2.249335 -2.128385 2.203159 3.703556 2.023251 1.167794 -2.273551 -2.606785 -2.671608 -2.371739 248 248 248 248 256 256 252 248 248 248 248 27 1
-3.306642 -0.9726918 -2.055076 -2.280786 -2.552977 -2.437065 -2.353524 -0.9986652 -1.075351 -0.7631856 -1.008197 264 264 264 264 264 264 264 264 264 264 264 28 1
0.7503859 14.57488 6.742502 1.687662 1.84704 1.072862 1.747963 -3.852977 -3.85991 -0.9439219 -3.996507 264 264 264 264 264 264 264 248 248 264 248 29 1
-1.978645 -2.42896 -3.103952 -2.955985 -4.348117 -3.572019 -2.778735 -2.359694 -2.831454 -3.398894 -2.353269 248 248 248 248 248 248 248 248 248 248 248 30 1
-2.135579 4.404031 -0.2226609 -5.687541 -5.524406 -4.837939 -2.219544 -2.967008 -2.136757 -3.08027 -4.548831 264 264 264 252 248 248 248 248 264 248 264 31 1
2.743772 -0.5404003 -0.3196472 1.48105 1.412917 1.569305 -0.1938502 -0.5680494 -5.766299 -5.779432 -3.679412 248 264 256 252 252 256 252 264 264 264 264 34 1
0.2645893 -4.757026 -10.57208 -2.869356 -2.509782 -1.281657 -1.219547 2.182416 0.768027 -0.4610607 3.533672 260 248 264 248 248 248 248 264 264 264 264 35 1
-1.345605 0.1906331 1.117001 -1.331144 -2.004241 -1.868894 0.08751653 1.293304 -0.2151802 -0.1089178 -0.1387524 264 264 264 264 264 264 256 256 248 248 248 36 1
-6.349345 -2.07133 -3.790665 -2.567776 -2.21094 -2.248634 -1.007982 -2.117273 -2.043733 0.5983505 -0.6908259 248 248 248 248 260 260 248 248 248 260 248 37 1
1.190488 -1.9399 0.2397724 1.266497 1.876273 -2.001023 2.014159 -1.88489 -1.916281 -1.792903 -2.019781 256 264 264 260 264 248 264 264 264 264 264 38 1
1.220134 -1.558144 -1.175753 1.449462 -1.229605 1.980973 -1.870618 -1.736362 -4.939713 -4.929489 -4.692131 264 264 264 264 248 260 264 264 264 264 264 39 1
-3.607049 8.026445 1.254006 -2.497673 -3.068499 -5.42747 0.8265415 -2.944901 -3.596052 -4.722972 -2.426226 264 264 264 248 248 248 248 252 264 248 252 41 1
-2.501523 -0.5867509 -2.15996 -1.265228 -3.562648 -2.618463 -3.60006 0.3928727 1.052143 0.9098477 -0.6530923 264 248 264 248 264 264 264 248 248 252 256 42 1
-2.394022 3.356179 0.7087709 2.42106 -1.711202 -6.197764 -4.140908 3.147335 3.26765 3.648809 2.002161 248 264 252 248 248 248 248 264 264 264 256 43 1
0.6407227 -0.1655176 -1.145406 0.7501536 0.597761 0.6867905 -0.7216104 -0.1802277 -2.830266 -2.518845 -2.752913 248 264 264 248 248 264 248 264 256 252 256 44 1
-2.076447 -4.798961 -4.777724 -1.599552 -0.4685334 2.206192 -3.022771 -4.7632 -3.751067 -3.420879 -5.570904 248 248 248 248 248 260 248 248 248 248 248 45 1
