O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
4.32149 2.857007 -4.187534 -4.279198 7.851144 1.39222 8.272615 0.9161395 1.276712 -10.79916 1.877423 16 1
-23.98922 -7.889838 -14.68071 -6.149177 -18.00843 -16.41035 -22.27256 -4.868598 -4.770747 -2.065479 -4.330257 16 1
-1.33999 6.564385 3.709559 20.62825 -2.779458 -4.365226 -6.251237 3.763303 3.427201 12.6227 2.654331 16 1
1.185526 14.19197 5.003236 -5.926675 8.347132 1.929724 7.119473 12.81264 13.45322 8.55775 14.17032 16 1
24.97507 1.479797 21.18474 19.33148 25.23779 18.34217 20.51865 -2.26827 -1.863794 -17.16722 -2.096782 16 1
0.8420793 -19.62074 6.279647 10.60779 3.493168 12.56376 3.634208 -19.43852 -19.43917 -20.45763 -19.93755 16 1
3.445167 -20.42931 -15.00245 9.50545 26.28951 22.46525 13.52909 -19.58345 -19.97046 -15.46479 -19.73194 16 1
29.06754 16.48087 24.5555 18.22567 39.47322 18.96933 36.48357 14.40958 14.51877 0.1032636 15.83447 16 1
-0.113255 -13.10898 -8.218801 -12.06363 0.1483219 -4.873788 -1.270992 -12.66471 -13.01664 -10.33318 -12.60565 16 1
33.62807 9.517458 27.74173 31.508 22.69961 12.74224 19.9439 4.071258 3.667687 -10.86197 2.624349 16 1
0.4900428 -7.385816 -9.020048 20.77838 19.78146 15.62517 4.398696 -9.671903 -10.04063 -18.52106 -11.76996 16 1
-11.88974 -4.870439 -14.88874 -10.50028 -10.05046 4.779945 -2.721205 -3.031284 -2.646615 11.23277 -2.680314 16 1
1.330502 -16.81 -3.563699 -5.389075 -5.93135 2.629255 -4.407688 -20.57456 -21.58587 -18.20857 -21.96221 16 1
-4.493373 -3.306952 10.24919 -3.590863 -11.48342 -14.77329 -14.16821 -5.325136 -5.539243 -17.46823 -6.125957 16 1
15.23056 6.024426 7.688895 3.554682 19.02049 16.23302 19.31371 6.419188 6.132276 9.123605 5.252445 16 1
26.30239 27.73256 39.2854 22.43572 8.289454 4.081191 15.77953 22.43606 22.98249 17.35023 22.32633 16 1
-1.592061 -6.169949 -11.64338 -8.121126 7.875683 6.618761 8.549671 -4.795634 -4.323873 -3.583197 -2.839834 16 1
-15.988 -11.24838 -6.892218 -17.03578 -33.84321 -14.88066 -24.02859 -14.33441 -14.30556 -7.811077 -14.57896 16 1
17.01411 17.53023 19.77969 22.47603 16.55844 18.12808 15.79715 16.80146 15.71248 5.632751 15.06479 16 1
-0.6243938 -12.79674 -4.350351 -8.612778 6.420886 -0.493684 -3.76052 -13.38578 -13.18992 -12.60236 -12.24719 16 1
-12.60034 -8.918825 -10.4975 -7.366483 -17.13147 -5.20557 -9.775508 -9.096431 -10.26914 -4.190121 -11.66715 16 1
-4.81357 -7.367761 -3.65842 9.286149 -5.905022 -0.2357772 -5.939679 -4.258422 -4.389287 -12.01023 -5.191859 16 1
8.2876 -8.035725 4.861244 7.873839 16.47262 13.55247 6.553758 -6.955453 -6.460439 -8.747747 -5.338585 16 1
21.7481 1.027058 12.01138 17.70606 16.25393 -2.566503 11.32312 -2.19298 -1.429334 -9.262167 -3.152392 16 1
14.45552 14.75578 24.07864 3.524754 16.28037 4.039738 12.96174 15.53452 15.19624 5.954326 15.28906 16 1
-7.665936 -9.14363 -11.12568 -12.80123 -8.502685 -9.932352 -10.47164 -10.93199 -10.78262 -17.72799 -10.88966 16 1
