Row base expr
Fp1 5.59886655832199 1.65621941504295
Fp2 6.36355106706095 1.50729889007216
AF3 6.04176497069393 1.49107146120585
AF4 6.03750838138719 1.5634453898966
Fz 6.46740306868176 2.30058910472952
F3 5.53143944173166 1.66117999186592
F4 5.6933803464303 1.74085836617496
F7 5.08077186056517 1.45999723614915
F8 5.48705078809569 1.82062302662541
FC5 5.62754628575785 1.82682069090403
FC6 6.03238734783157 2.79856100365891
FT7 4.86250355823987 1.31061195764195
FT8 5.15556578566587 1.96916312563744
Cz 6.87278276757948 2.71094133345687
FC1 6.91061551500047 2.64673233226578
FC2 7.4745912324953 2.58025394884816
C3 6.50248038650017 2.42217754244678
C4 6.10097631765467 2.66994847312755
T7 4.00404060198052 1.03980980069079
T8 4.86221874098769 2.16313634115629
A1 6.26590064087793 2.50069120808104
A2 5.93635496515387 2.09424379686555
CP1 3.89219373666011 1.49873445837714
CP2 4.32420407121028 2.458797096696
CP5 3.86887065745716 1.49364020551958
CP6 5.88944197493613 3.78083044380648
TP7 6.54496465201962 1.21972361060138
TP8 6.09642503537515 1.48058926807878
Pz 7.63572401387207 1.80524713101303
P3 5.71327487335233 3.28002822110065
P4 7.84075776737395 5.63703891482258
P7 10.6472560374546 5.06463739035935
P8 12.1667778589974 6.77755283071802
PO9 12.9022291902794 2.3067099275539
PO10 14.3020289824664 3.70092697026666
PO3 10.4502230269281 3.83721953245741
PO4 12.6398398026333 5.84390999769541
PO7 17.0301407346026 3.39850484333499
PO8 17.9407217308481 4.53694455104284
O1 21.938529144065 3.25909231539684
O2 4.28641899173867 1.27362257013056
Oz 4.77545200990646 1.17720641195909
