O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
19.02686 12.74811 15.33855 14.20793 17.22158 6.132104 18.29685 10.43526 10.3962 -8.210827 10.07785 16 1
-23.6725 -1.998789 -15.42378 -6.59621 -18.95376 -16.18087 -18.97085 1.65934 1.501402 7.087437 2.274155 16 1
0.1714291 5.862675 6.436411 5.260058 -6.986417 -7.429125 -0.6840129 4.23335 4.864642 13.44132 4.55112 16 1
-22.99469 -8.240726 -19.32396 -22.34929 -17.07936 -11.19131 -15.33872 -9.952113 -9.8543 1.467082 -9.659245 16 1
25.99263 5.478086 22.11193 17.33409 16.28888 5.995507 11.10716 1.175363 0.04141121 -7.68822 0.3397423 16 1
-5.954323 -18.07461 -0.6495079 5.277139 -0.8670381 3.696187 -3.235671 -16.92432 -17.89746 -12.23602 -17.82118 16 1
-2.629658 -16.13037 -6.86404 2.502139 2.44837 -0.6151669 -5.049095 -17.38531 -17.74022 -12.56567 -17.49821 16 1
17.17477 10.38422 16.98664 5.988199 20.55424 3.354282 16.42795 8.090852 8.85425 2.010757 9.654454 16 1
6.424901 -0.8669785 -0.3502302 -4.218573 12.9789 5.99548 13.46159 1.331941 1.395746 11.99881 1.787205 16 1
28.07995 18.88322 27.36539 19.1319 15.05779 8.59038 17.17228 14.74542 14.81976 5.521766 14.55782 16 1
27.41674 6.268003 15.57649 41.78202 46.93527 36.25501 30.68002 3.04296 3.05118 -12.86727 0.9116499 16 1
-0.1600682 -15.47812 -13.58713 -6.844072 11.21959 18.69645 11.17571 -16.00981 -16.07607 -14.12859 -16.32613 16 1
-6.012929 -7.305055 -4.302953 -1.66397 -22.87355 -16.27446 -22.84277 -10.44284 -11.57647 -16.07096 -12.80381 16 1
13.15057 -3.117672 16.34134 10.9812 4.16708 -0.3932438 1.532594 -4.806944 -5.250587 -13.22979 -6.803829 16 1
-4.650437 -9.67188 -11.01219 -11.41494 7.920873 12.53514 6.87562 -9.040598 -9.234095 0.4685669 -9.597921 16 1
29.57447 18.0596 28.21409 23.16861 7.14093 -6.045897 9.007944 15.25346 14.84046 7.585175 13.99049 16 1
-8.996966 -4.945572 -11.22103 -4.816033 1.626604 2.506063 -1.790496 -4.540112 -4.521156 -1.146771 -5.06088 16 1
0.2806759 -4.883245 12.12105 -3.667145 -18.49364 -7.408185 -16.74495 -7.373052 -7.897658 -0.1391906 -8.174311 16 1
28.67387 36.46057 35.97221 18.09826 15.88435 3.410812 21.32026 33.5675 33.01194 31.29175 31.87768 16 1
25.25676 26.54062 37.63453 11.22671 14.64807 1.087045 12.98373 24.82095 24.37017 13.65803 25.3205 16 1
25.87597 8.217237 22.49154 29.39486 9.599103 9.706661 15.9486 4.967067 3.523723 -6.394462 2.744625 16 1
-1.671462 -14.39154 -16.91788 7.591718 11.87471 16.8014 6.242401 -11.59561 -11.90511 -7.793734 -11.58554 16 1
20.10563 5.807285 16.75191 23.90355 26.41694 20.01361 20.54787 4.059312 4.642014 -0.9438894 4.536238 16 1
46.50283 26.70963 41.36707 35.89176 35.87037 19.66167 34.62534 22.3497 23.1661 7.81663 20.68583 16 1
4.258861 -0.7370607 11.31385 2.05201 8.187498 9.256063 5.336867 0.5902795 0.8006225 3.648147 0.6148626 16 1
8.8694 -2.484368 2.104903 8.946653 0.419834 -3.642559 -6.594174 -3.329454 -4.374053 -20.605 -5.146971 16 1
-9.480154 6.581482 -9.869458 5.596584 -8.215696 -20.24054 -20.77922 10.96076 10.24788 15.67464 10.64709 16 1
-19.89351 -12.59116 -19.71188 -16.14599 -11.58774 -13.29642 -10.87879 -11.8256 -11.49148 -3.066052 -12.24565 16 1
-7.443947 -23.0803 -16.3982 -5.034217 -8.822723 3.318886 -8.366809 -23.1369 -23.68076 -25.96429 -24.89341 16 1
2.422757 -10.39671 1.919896 7.185779 -0.9647878 6.57458 -1.157395 -11.21147 -12.65437 -10.44399 -13.3463 16 1
5.535899 0.9602649 -3.066215 9.688211 6.131489 1.682956 1.382561 1.26047 1.521741 -9.733053 0.7357391 16 1
25.51538 20.00281 37.49226 15.77421 25.48477 2.947367 21.5339 16.38329 16.37849 7.993085 15.62129 16 1
7.760361 -16.70739 -6.974512 -3.251709 9.572291 13.72695 7.627204 -17.60566 -16.87108 -6.894366 -17.42854 16 1
1.821753 -3.019072 -6.604125 13.42445 12.0163 9.931052 2.532553 -2.990934 -1.81979 6.571898 -3.878041 16 1
16.38256 25.2106 34.93303 10.45692 -9.273801 -16.27833 0.124596 21.94971 22.79211 9.599427 22.54899 16 1
19.07479 21.61365 32.15099 11.858 3.215178 -0.4271829 7.459775 18.33314 18.14432 21.82979 17.3445 16 1
14.88587 7.658366 9.514077 2.743289 15.78763 9.979849 17.73913 6.346271 5.024434 -0.6486491 5.298815 16 1
-0.7698356 5.600053 5.051659 0.2101732 -4.297692 -13.56461 -6.042773 3.601383 2.695282 3.730267 4.123736 16 1
-4.848794 -3.743596 -3.760257 -7.074998 -10.53792 -3.231713 -12.32267 -2.236203 -3.103149 -5.399323 -2.520443 16 1
1.311149 5.124324 5.775847 26.98704 -11.66997 -12.76694 -12.6707 4.774542 4.543331 -5.011403 4.493979 16 1
-15.80824 9.040352 0.02209196 -9.038014 -23.04021 -11.67098 -9.797417 15.74967 16.36892 50.79034 16.16416 16 1
-6.31907 -17.83556 8.638797 0.9913719 -3.536626 -1.353315 -8.402132 -20.24781 -20.60028 -37.84717 -22.78706 16 1
-11.71249 -7.513653 -8.426681 -8.172295 -11.41952 -8.848978 -7.107322 -6.048867 -6.157271 -19.14666 -5.773567 16 1
19.38185 6.645898 5.56096 12.38448 1.686341 1.42027 8.934652 3.941731 3.470174 22.4646 2.054242 16 1
4.792943 4.227562 12.44091 2.422831 3.791752 -8.00046 -3.440013 6.587184 6.527864 -0.5398031 7.497333 16 1
-28.6936 -34.87865 -40.24704 -4.122782 -0.304267 26.79316 -5.810809 -33.54105 -33.95822 -23.75732 -33.21411 16 1
-13.52028 -22.70311 -20.34007 -7.855928 -9.690887 -2.456022 -13.31154 -22.26132 -21.57048 -16.12716 -23.00035 16 1
-13.84145 -19.27329 -15.85218 -1.18818 5.790968 11.3258 -0.6241693 -16.47653 -17.32028 -10.96804 -17.33527 16 1
-2.943834 15.36487 6.11893 -1.8536 -7.564806 -20.9911 -10.87071 17.2393 17.51859 15.401 16.9718 16 1
-23.7824 -20.8658 -23.20411 -23.71756 -21.17186 -10.66384 -20.49634 -15.45744 -15.84294 -7.433571 -15.26144 16 1
4.091397 -5.558839 -12.88837 8.309626 10.37951 20.96811 10.89601 -8.752881 -8.495601 -6.04698 -9.237368 16 1
20.96277 2.631474 18.60181 16.11637 9.073146 -3.029481 4.689741 -4.533013 -5.230659 16.64018 -6.862045 16 1
-1.737604 -12.10017 -3.972898 2.620778 -6.953242 -7.912457 -10.41573 -11.14143 -11.08261 -8.731421 -11.49936 16 1
-19.11733 -40.05809 -35.02254 -10.41594 6.024076 23.94452 2.734697 -37.84934 -38.16468 -16.65032 -37.06616 16 1
17.46106 23.1185 22.03641 18.35749 8.315078 3.639815 10.79312 22.04023 22.13009 -3.665813 23.10405 16 1
11.46043 11.40063 11.11935 9.391638 8.081024 -3.436459 6.015177 8.558296 8.363344 -14.70412 7.645957 16 1
-7.666868 -16.59136 -10.6954 -8.536467 -8.567377 0.5012225 -4.328519 -14.40734 -15.36898 -3.416366 -15.05406 16 1
-9.111607 -4.906535 -9.691819 1.52043 -7.302209 4.840754 -3.799485 -1.641564 -2.00679 -3.802813 -1.419613 16 1
3.504877 -16.50891 2.56555 6.98163 -2.136272 17.30784 4.012708 -20.34242 -20.3673 -35.18746 -21.16462 16 1
-6.928227 -9.483774 -9.015474 0.3423105 5.254314 7.888234 -2.32678 -10.24486 -10.02188 2.961586 -10.14601 16 1
-20.60567 -7.512414 -13.45203 -15.72189 -24.63757 -15.61979 -19.26587 -8.498014 -8.659735 -0.06277748 -8.705906 16 1
30.4573 10.14927 34.70266 4.966742 9.399776 4.898021 19.05046 9.636162 9.444123 -9.394706 8.830828 16 1
16.39747 13.10132 16.44452 5.607011 -9.363632 -9.31459 -5.078221 10.51747 11.32478 2.759779 11.80081 16 1
0.8742597 -3.24622 -6.513155 -8.495536 -0.06081171 2.828237 6.717626 -6.383244 -5.99026 -0.2952321 -5.553641 16 1
-2.927474 -3.333388 -1.337367 -0.496397 -11.9434 -11.44829 -20.99607 -3.595496 -2.638304 -28.14871 -2.454675 16 1
-4.120484 -3.505294 -4.93593 3.357054 3.479402 16.24595 8.302353 -2.184271 -1.242156 6.62971 -1.771987 16 1
-48.50576 -48.48179 -55.91071 -22.97907 -28.6638 -8.359756 -36.49608 -43.46543 -43.89947 -32.20945 -45.1484 16 1
-3.600637 -5.570893 -4.092946 -10.69935 -2.611737 18.96421 15.56946 -5.606324 -5.158083 2.194376 -4.84074 16 1
-7.17697 -28.35571 -12.82182 -7.754972 -0.7599894 9.687119 -2.824224 -29.34137 -29.11588 -15.90327 -28.22856 16 1
-8.158216 5.173203 -0.4101731 0.4768444 -10.35012 -10.86018 -13.08194 6.747038 6.487396 -0.7582462 6.161967 16 1
-33.44512 -19.03642 -32.75383 -23.4277 -32.48409 -23.10111 -35.49449 -18.12032 -17.97933 -1.030894 -18.14809 16 1
6.419236 -23.76349 -4.638611 1.18722 2.338999 1.290037 -7.059892 -23.12509 -23.96991 -4.924008 -24.89296 16 1
-12.95838 -21.42575 -21.63743 -4.598408 7.932082 26.82532 -1.726985 -22.27986 -21.84971 1.624012 -22.9113 16 1
3.453561 23.22184 10.6227 10.19189 -8.501228 -5.92492 -2.080653 22.47112 22.0523 17.80025 21.52992 16 1
4.699366 -12.22889 -9.205275 5.442008 -0.2398093 0.8288277 -5.509543 -17.77359 -15.81922 -2.941026 -16.18993 16 1
-15.69886 10.83718 -13.40812 -15.09691 -22.47384 -15.69301 -13.35705 10.34236 9.96369 9.910861 10.86592 16 1
47.861 27.77188 43.44394 36.91456 34.54354 22.11424 32.85028 24.43412 23.31972 3.678418 22.76019 16 1
-11.73489 -18.21002 -18.03021 -4.051259 -23.13608 -14.645 -21.60348 -17.35929 -17.34027 -19.05165 -18.64371 16 1
-17.08634 -6.719733 -7.927261 -13.09425 -29.09343 -25.38574 -25.79976 -7.075826 -7.385707 -6.60575 -7.736234 16 1
-15.70562 -7.300858 -11.74931 -8.519614 -10.85141 -9.281669 -12.50084 -5.767512 -5.230039 -0.02179985 -5.399458 16 1
-28.98092 -21.97536 -27.11493 -16.59851 -26.56392 -7.57719 -22.69661 -26.31904 -25.75225 -41.17912 -27.32449 16 1
-6.765009 -14.3411 -2.456128 -1.615458 -16.87104 -3.543613 -14.18764 -14.57854 -14.60048 -10.83983 -14.7731 16 1
22.60474 6.45811 18.2155 9.710138 34.08067 19.04164 31.02897 4.32443 4.132168 -0.9733846 3.928677 16 1
-4.5911 1.008479 10.24064 -8.881499 -15.59111 -10.98872 -12.36552 0.6399152 0.2742372 -12.88364 0.03002844 16 1
-7.207513 -0.6855464 -6.596228 -7.455435 -8.455091 -7.075198 -5.326382 0.7054631 0.8794767 0.4344384 1.725734 16 1
15.17059 0.3447939 11.02841 17.75984 23.54181 13.34893 16.52514 -0.3151071 0.5568736 -14.72804 0.7108742 16 1
13.49319 8.550586 9.631012 0.7556535 14.31551 9.983019 19.04098 9.710211 10.46098 -7.176217 10.88826 16 1
13.12874 8.064452 16.51939 4.641418 6.925393 -6.911576 2.709434 8.317874 8.28714 -3.85761 7.550737 16 1
4.95437 -1.440967 -2.083812 4.910005 4.999888 3.652673 5.22054 -22.43839 45.33437 -30.53525 7.332568 17 1
4.013478 32.98547 -0.3467641 5.862663 3.87756 3.81672 4.023207 13.75125 21.48214 1.175088 15.05188 17 1
-0.9337168 -0.589272 9.257684 -0.6083713 -1.443609 -1.183896 -2.21645 -4.249913 -12.87502 30.74908 6.519442 17 1
-11.13095 -39.34736 -24.37832 -13.75077 -10.77837 -10.66238 -9.618531 -28.83719 -37.91669 -18.73299 -24.56086 17 1
-3.244505 -0.6759726 1.351354 -2.729076 -1.813932 -2.606746 -3.736205 -4.392241 -4.14715 -21.05008 -15.16968 17 1
19.30422 4.666557 10.37427 19.12018 17.92067 20.03267 20.68704 -2.506113 -8.375106 6.641125 7.534837 17 1
14.30614 -9.491124 8.305678 15.23962 13.76242 14.36221 14.37285 -4.067073 -6.781259 -16.23337 -5.729765 17 1
0.1983966 21.06019 11.38859 3.268372 0.2778849 0.03863903 -0.08150661 16.15944 25.52606 12.87295 13.13167 17 1
14.18301 68.95427 2.279862 10.11712 15.16414 14.70348 16.50385 8.665159 -50.23351 -34.01066 9.250449 17 1
37.31653 52.81537 26.13724 36.98576 37.30085 37.80955 40.06092 61.28215 52.52775 20.18878 34.40593 17 1
-18.10494 -11.19639 -9.352504 -18.00264 -18.21768 -17.98987 -19.93221 -46.53494 -16.61292 16.84288 5.262271 17 1
28.91766 6.534514 8.169317 27.00947 30.46294 29.09488 27.75265 -42.85149 -4.030639 -5.275658 23.22539 17 1
10.24932 -52.16658 19.51553 10.82496 10.7242 9.382679 8.454958 -3.994384 -12.60772 -0.3082007 -17.59437 17 1
2.79125 -60.25644 -10.9705 -0.1018417 4.887757 5.17872 7.720383 -10.30521 -18.61188 -4.739295 -15.1402 17 1
-9.041979 -39.33196 -20.39945 -11.19376 -8.36426 -8.519441 -8.257912 -42.78172 -58.18397 -32.50626 -37.50501 17 1
7.038615 3.966221 -9.613748 5.748448 7.787643 7.890083 10.06033 -23.92991 -35.55268 -3.346896 -0.7868303 17 1
-9.923707 21.58908 -4.289701 -10.85894 -9.343344 -9.74708 -12.89735 -2.474287 4.779933 13.59758 10.8104 17 1
-12.94852 -7.07059 -13.77337 -12.34197 -13.56775 -12.52209 -12.83672 -26.93048 -27.29839 -10.04885 -6.533774 17 1
-8.375277 -108.2899 6.413978 -9.32538 -6.982832 -7.217924 -8.817232 46.64827 33.83594 59.17877 2.656845 17 1
2.132371 -48.32972 -31.07302 2.137557 1.524392 2.091093 4.002106 -26.79859 -41.32685 -51.96511 -48.61111 17 1
-26.29289 24.50374 -4.67688 -26.05381 -27.44306 -26.98482 -27.01169 15.27629 4.240962 -9.849365 -10.06382 17 1
-4.408344 -9.964066 -3.804367 -3.747906 -5.69906 -4.809183 -6.027663 -9.973016 -16.33644 -11.02286 -15.95945 17 1
-6.906128 -27.9698 -13.8883 -7.938375 -7.028615 -6.114175 -5.782879 -1.800202 -4.916292 -10.71012 -11.2008 17 1
7.281377 0.8986648 8.79864 7.283584 6.216319 6.890096 6.452856 -11.02256 -9.959101 -10.73973 -2.701429 17 1
18.46797 12.38801 4.477792 18.88323 17.99733 19.49889 18.70243 20.18992 -13.68881 6.681735 8.359644 17 1
13.65577 -23.04815 -7.474068 12.10676 14.06788 14.89308 14.33214 2.460112 -7.120309 6.0596 -4.253284 17 1
1.938231 1.178313 -0.7700762 -0.7974531 2.266836 2.77894 3.588383 10.34699 21.70533 18.80018 13.50017 17 1
-19.57617 -30.08071 -26.93682 -20.24348 -19.50792 -19.12484 -18.63004 -43.54862 -39.29594 -27.57405 -23.51229 17 1
-7.666029 -12.54259 -15.94312 -10.81451 -7.149686 -6.418628 -6.739485 -12.15159 -6.738917 2.862377 -3.316607 17 1
4.793118 -0.5146816 6.549498 5.485531 6.040858 5.134612 5.304701 4.828775 -4.050214 -17.93937 -5.979325 17 1
3.764127 10.78345 -0.8493053 2.762313 3.676762 3.85886 4.052382 -10.18192 7.933206 -16.04676 -7.415845 17 1
-2.038657 -38.93876 -14.39904 -3.383614 -1.175214 -1.581421 -1.602391 -24.32651 -11.95628 -6.203845 -13.69814 17 1
-14.94718 -26.08059 -26.81555 -16.40176 -13.51465 -13.89796 -13.44251 -39.67117 -34.20963 -24.81627 -26.41891 17 1
9.370696 -31.58597 -24.01123 7.907043 9.971729 10.69705 9.870169 -37.28551 -30.99029 -23.22735 -28.01823 17 1
-10.35199 1.991075 -13.04187 -12.83524 -10.57731 -9.691536 -11.93765 -12.43846 -6.470039 -2.843329 0.4161313 17 1
8.482493 -27.19761 -4.669679 9.161422 7.030765 7.155296 8.117048 -14.05388 -11.73817 4.056945 -3.83438 17 1
-39.1189 13.83681 -4.64791 -39.26815 -38.20835 -38.8099 -37.49044 17.40431 33.00128 39.2343 14.80623 17 1
-5.205707 -8.314672 -10.14189 -5.253912 -4.573556 -4.079766 -4.675604 -22.24332 -14.72603 -9.852606 -11.53602 17 1
-37.34074 18.88982 -2.567331 -37.20998 -38.0653 -38.81744 -37.2185 21.45539 34.23137 24.30949 15.51125 17 1
20.19587 19.89177 14.34682 19.83389 20.54021 21.64737 19.99234 8.166808 12.11904 21.78722 22.55117 17 1
-12.8354 24.8826 11.6721 -10.35165 -13.3978 -14.47744 -13.83368 27.94746 27.00529 30.21426 18.15932 17 1
31.24202 -22.70033 -0.7837487 31.69077 31.24525 31.48293 32.87831 -13.38108 -19.97223 -20.9223 -16.73315 17 1
-29.49226 -18.86516 -20.1918 -29.04172 -29.67002 -30.05294 -30.95265 -42.13171 -43.15789 -20.33227 -21.72749 17 1
-9.597498 14.63916 0.7384077 -10.98842 -9.467699 -9.584276 -7.912825 10.25773 28.57413 20.05536 21.55002 17 1
-9.187835 -12.61611 -9.76874 -7.105639 -9.298479 -9.324205 -10.2936 -6.320351 -18.33385 -27.20706 -26.84176 17 1
-16.58613 -14.80731 -20.94754 -17.87293 -17.47725 -16.79739 -15.89859 -15.87104 -16.41818 -30.74423 -21.82481 17 1
-17.57551 30.15489 5.150907 -18.11217 -17.75157 -17.63688 -17.08293 20.57687 30.06624 26.0019 18.73049 17 1
23.71748 10.42177 11.71374 24.14877 22.86611 22.11758 21.37342 -20.33012 -4.414192 -2.092624 6.271126 17 1
-4.185917 -51.77718 -18.50207 -4.29245 -4.445678 -4.198659 -5.140508 -32.02036 -41.44744 -24.3618 -38.34552 17 1
-7.180701 24.00263 8.302918 -7.632199 -7.02355 -6.136699 -7.545934 19.965 28.92015 36.7095 27.71869 17 1
14.40733 -37.12244 -22.25551 15.31626 15.31834 15.14745 14.98054 -34.76174 -43.72051 -35.83527 -29.12524 17 1
-4.473966 16.91344 1.727557 -5.509583 -5.291394 -5.353537 -5.451591 25.36238 30.44518 23.09498 15.81661 17 1
16.65564 23.12216 19.67863 18.54252 15.75596 17.09884 17.43828 26.80273 9.874188 2.665275 9.928406 17 1
29.22658 -10.54127 1.858566 29.2649 28.51369 29.74964 28.97761 -14.7114 -12.8743 -12.05438 -10.83576 17 1
-3.455202 -26.08689 -5.370932 -5.302266 -2.787314 -2.560602 -2.607938 -34.6714 -25.24719 -8.583681 -3.389879 17 1
-24.54673 18.80497 -10.74218 -25.65031 -24.18644 -24.17513 -22.5419 11.07654 15.731 0.7115318 -2.854023 17 1
-15.57379 -65.9442 -30.80811 -17.56388 -14.99856 -14.00784 -14.13604 -46.98897 -45.14726 -17.19318 -31.55455 17 1
-2.213179 -7.598984 -9.866892 -1.250341 -2.477231 -1.740168 -1.747988 -22.03195 -15.78191 -33.76286 -14.62479 17 1
-9.213584 72.48794 28.54492 -7.464375 -10.06047 -12.53067 -12.66288 10.71258 61.07395 59.38642 52.3993 17 1
5.850827 -66.86101 -2.798785 3.77137 6.980377 7.134648 7.78517 -4.460806 -18.4259 15.14625 -12.14224 17 1
-4.657041 -5.774604 -16.42457 -7.067441 -5.50398 -4.348847 -5.193073 -14.96719 -6.630629 -18.22633 -16.27656 17 1
-13.42559 -64.81191 -36.81732 -15.00881 -12.37078 -12.84446 -11.3081 -39.68871 -41.78139 -10.6237 -22.53969 17 1
-23.92258 17.65908 -2.894389 -24.85195 -24.05242 -25.28899 -26.02303 4.09425 -14.08368 -0.6582241 1.304797 17 1
-13.02101 -2.270089 -8.726216 -12.09583 -13.39684 -12.51256 -13.21715 0.01276207 18.38667 3.945759 0.5657333 17 1
-0.2380489 -6.215653 -0.8278845 0.9615558 -1.146895 0.01256142 0.3778115 9.653211 7.441261 30.87222 3.363246 17 1
-6.643144 13.84095 10.95415 -6.046039 -5.887976 -6.188268 -7.040976 19.67902 18.08705 35.79205 12.5162 17 1
-14.46282 -1.04033 -18.13937 -17.60501 -13.98744 -14.62706 -12.51955 -0.773126 -0.7593934 -0.4511816 -10.81637 17 1
16.31485 10.18778 24.67104 15.68807 15.55373 15.82274 14.20859 18.96704 12.08727 8.6133 17.99966 17 1
-13.80653 2.231217 -9.464887 -11.56828 -14.23597 -14.96688 -15.01377 0.2144953 6.355993 -13.10588 -11.32915 17 1
8.342806 -22.27748 -4.611692 8.886534 7.146487 8.074028 9.447294 8.959855 -21.16721 -27.35969 -29.63274 17 1
10.89665 -26.12354 -3.495936 10.62781 10.54423 11.6003 11.24224 -27.56541 -9.475913 -16.49093 -12.92874 17 1
