Image_1,emotion,Answer,RT_in_ms
13_morph4.jpg,ang60,NaN,NaN
13_morph5.jpg,ang80,1,0.006718
33_morph2.jpg,ang20,NaN,NaN
13_morph1.jpg,neu,1,2.705087
13_morph2.jpg,ang20,0,2.188219
33_morph6.jpg,ang100,1,2.138447
33_morph2.jpg,ang20,0,1.901938
13_morph4.jpg,ang60,0,2.658589
33_morph6.jpg,ang100,1,1.958093
13_morph3.jpg,ang40,0,1.683384
13_morph2.jpg,ang20,0,1.427087
33_morph1.jpg,neu,1,1.887387
13_morph5.jpg,ang80,0,2.745654
33_morph3.jpg,ang40,NaN,NaN
33_morph4.jpg,ang60,0,2.187203
13_morph4.jpg,ang60,0,2.220610
33_morph2.jpg,ang20,0,1.971796
33_morph3.jpg,ang40,0,2.014739
33_morph6.jpg,ang100,1,2.253740
13_morph2.jpg,ang20,0,1.230619
33_morph1.jpg,neu,1,1.412218
13_morph4.jpg,ang60,0,2.422297
13_morph3.jpg,ang40,0,2.890100
13_morph5.jpg,ang80,0,2.146598
33_morph6.jpg,ang100,1,1.785855
13_morph1.jpg,neu,1,1.344976
33_morph5.jpg,ang80,1,1.704693
13_morph3.jpg,ang40,0,1.490317
33_morph3.jpg,ang40,NaN,NaN
33_morph5.jpg,ang80,0,1.552947
13_morph6.jpg,ang100,0,2.286609
13_morph3.jpg,ang40,0,1.274690
33_morph5.jpg,ang80,0,1.959690
13_morph1.jpg,neu,1,1.958604
33_morph4.jpg,ang60,0,1.441181
33_morph1.jpg,neu,NaN,NaN
13_morph2.jpg,ang20,0,1.506540
33_morph3.jpg,ang40,0,1.811184
13_morph1.jpg,neu,NaN,NaN
33_morph2.jpg,ang20,0,1.577036
13_morph5.jpg,ang80,NaN,NaN
33_morph6.jpg,ang100,NaN,NaN
13_morph6.jpg,ang100,1,2.177880
33_morph2.jpg,ang20,0,1.713839
33_morph4.jpg,ang60,NaN,NaN
13_morph4.jpg,ang60,0,2.199179
33_morph5.jpg,ang80,0,1.710038
13_morph2.jpg,ang20,0,1.437822
33_morph3.jpg,ang40,NaN,NaN
13_morph6.jpg,ang100,1,2.208922
33_morph4.jpg,ang60,0,2.372007
33_morph1.jpg,neu,1,1.583312
13_morph3.jpg,ang40,0,1.471918
33_morph4.jpg,ang60,0,1.627201
13_morph5.jpg,ang80,0,1.586234
33_morph1.jpg,neu,1,1.927381
13_morph6.jpg,ang100,NaN,NaN
13_morph6.jpg,ang100,0,1.396016
13_morph1.jpg,neu,1,1.725473
33_morph5.jpg,ang80,NaN,NaN
12_morph4.jpg,hap60,1,2.171903
12_morph1.jpg,neu,1,1.393531
15_morph2.jpg,hap20,0,1.887982
12_morph6.jpg,hap100,1,1.397850
12_morph5.jpg,hap80,1,1.043693
15_morph3.jpg,hap40,NaN,NaN
12_morph1.jpg,neu,1,1.334156
15_morph6.jpg,hap100,1,0.839381
15_morph6.jpg,hap100,1,0.736055
12_morph4.jpg,hap60,1,1.012722
15_morph6.jpg,hap100,1,0.995165
15_morph5.jpg,hap80,1,2.238793
12_morph5.jpg,hap80,1,1.037782
15_morph4.jpg,hap60,1,1.209318
12_morph1.jpg,neu,1,1.037668
15_morph5.jpg,hap80,1,1.003599
12_morph3.jpg,hap40,1,1.759281
15_morph5.jpg,hap80,1,1.334048
15_morph2.jpg,hap20,0,1.370651
12_morph2.jpg,hap20,0,1.779270
15_morph3.jpg,hap40,NaN,NaN
12_morph3.jpg,hap40,1,1.412066
12_morph6.jpg,hap100,1,1.388224
15_morph2.jpg,hap20,0,1.182540
15_morph4.jpg,hap60,1,1.676627
12_morph4.jpg,hap60,0,0.831534
12_morph3.jpg,hap40,1,1.664236
15_morph1.jpg,neu,NaN,NaN
12_morph2.jpg,hap20,NaN,NaN
12_morph3.jpg,hap40,1,2.004784
15_morph4.jpg,hap60,1,1.214816
15_morph4.jpg,hap60,1,0.868366
12_morph2.jpg,hap20,0,1.021766
15_morph5.jpg,hap80,1,1.269043
12_morph6.jpg,hap100,1,1.045466
15_morph6.jpg,hap100,1,1.064183
12_morph6.jpg,hap100,1,0.914516
15_morph1.jpg,neu,1,1.462638
15_morph1.jpg,neu,1,1.678803
12_morph5.jpg,hap80,1,1.311342
15_morph4.jpg,hap60,1,1.210743
12_morph6.jpg,hap100,1,1.264413
12_morph4.jpg,hap60,1,0.998536
12_morph4.jpg,hap60,1,1.006427
12_morph1.jpg,neu,1,0.971003
15_morph2.jpg,hap20,0,1.478207
15_morph3.jpg,hap40,1,1.070555
15_morph6.jpg,hap100,1,1.462941
15_morph3.jpg,hap40,1,1.195096
15_morph2.jpg,hap20,0,1.066158
12_morph3.jpg,hap40,1,1.377552
15_morph5.jpg,hap80,1,0.956928
12_morph5.jpg,hap80,1,0.801522
12_morph2.jpg,hap20,0,1.410627
12_morph2.jpg,hap20,0,1.427511
15_morph1.jpg,neu,1,1.062624
15_morph1.jpg,neu,1,0.700309
15_morph3.jpg,hap40,1,1.103925
12_morph1.jpg,neu,1,0.983180
12_morph5.jpg,hap80,1,1.217642
