O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
-28.44391 20.94506 -9.278522 -21.50116 -30.76792 -13.13333 -21.77759 -32.09376 -34.20338 -33.87494 -31.68924 16 1
-7.162245 -29.21892 -14.61159 17.08667 7.932222 6.918364 3.820921 -11.63473 -8.426985 -12.37196 -11.05437 16 1
32.80935 1.136086 18.13161 22.10104 31.83431 19.00996 36.90612 24.21181 27.68276 24.48583 23.72255 16 1
7.083054 -18.46684 -3.872686 -6.20827 -6.860097 -6.614553 -4.163211 13.84147 12.82362 15.45811 13.60097 16 1
-4.35032 34.22862 8.080637 -25.18014 -18.11153 -19.45094 -18.46609 -2.61082 -0.4794497 -2.182242 -1.850766 16 1
-15.53394 -33.27574 -20.45715 10.98347 5.888158 13.0731 -1.140988 -6.920182 -8.555482 -7.489102 -7.604777 16 1
25.79028 -10.97933 10.42341 24.6026 30.80113 22.791 21.09937 10.73887 12.23431 11.13484 10.87268 16 1
-24.87806 -22.60715 -23.7729 -37.86048 -37.21777 -31.57941 -24.94146 -5.819719 -6.805623 -4.728481 -5.409231 16 1
9.586062 30.0217 20.36513 12.19987 14.42674 12.85412 -1.248897 14.90484 12.98088 17.74719 13.77701 16 1
0.7885744 -7.131152 -2.806236 -1.636073 1.331198 4.037969 -10.49464 -4.100395 -2.862298 -2.810173 -3.817865 16 1
15.51852 -3.31942 3.619956 -15.52674 -3.913796 -16.11686 -7.204627 8.19568 8.812596 7.838928 9.079283 16 1
2.991062 10.94627 10.55546 21.15775 8.878782 15.8243 1.27402 6.523785 5.336263 7.565485 6.320306 16 1
3.385761 -1.067115 2.256912 4.283374 10.09596 1.522236 12.30706 1.45509 1.637597 2.249901 1.092554 16 1
-24.50231 -7.131805 -16.72268 -22.91367 -27.61602 -21.5825 -27.85343 -10.9393 -10.97533 -11.65902 -11.37772 16 1
-1.435732 17.66429 8.240252 5.44497 -3.299086 -1.705807 -3.600177 3.979522 4.134646 5.114258 4.864082 16 1
-49.71412 0.4869676 -30.25082 -42.66185 -44.5821 -42.40884 -35.28653 -40.64032 -40.40582 -41.02926 -40.41016 16 1
-8.105805 -22.70841 -13.14856 -2.651146 -9.57807 -4.539753 -9.680828 1.062176 1.825915 0.5138943 0.2804384 16 1
-1.777169 7.23436 3.549329 5.141882 -0.9322413 1.295815 8.687119 5.236074 3.564533 4.960896 5.928844 16 1
28.39755 -34.66879 -3.299305 10.16619 29.34926 16.4302 15.78913 1.028844 8.497557 -1.123751 1.685958 16 1
-6.691985 0.2441747 -6.819485 -15.44909 -12.657 -10.84335 -0.7973539 -17.30926 -13.51485 -18.65007 -16.3406 16 1
4.916783 3.399867 2.950898 -8.58629 -0.1781848 -0.193833 3.174814 -0.6850564 -0.1612903 -1.20111 -0.1972635 16 1
11.77587 -48.35679 -12.52374 15.44943 19.78152 28.09455 16.14561 0.7318326 3.200284 -0.920256 0.4131506 16 1
