O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
-1.852874 0.1177125 -0.4444723 2.027582 0.09313941 3.374175 -1.293821 -0.953631 -1.097472 -1.02623 -1.037305 260 252 252 248 256 248 256 248 248 248 248 16 1
-4.250823 4.251337 -0.7717516 -0.094806 -0.38061 -0.3654907 -0.4911997 -8.406522 -7.014325 -5.982027 -6.427798 248 264 248 248 248 248 248 248 248 248 248 17 1
1.76766 -0.9941632 0.7386918 2.704909 4.040444 -1.397007 4.068251 0.5641189 1.754224 -0.9457741 1.32577 264 264 264 252 264 248 264 264 264 252 248 23 1
1.032016 -2.908817 -3.742416 -3.231871 1.115044 -10.08308 -2.216982 -10.33125 -10.37276 -12.14975 -0.8869777 248 264 264 248 260 264 248 264 264 264 248 24 1
1.095533 0.7932349 0.7782304 0.7419577 1.433638 0.3263099 0.7113239 0.7361455 1.013579 -0.3112778 0.2255485 260 248 264 264 264 260 264 248 248 248 248 26 1
-0.7464787 12.26333 4.88472 -0.7080531 -0.3802056 -1.723261 -2.501082 0.6592973 0.1963689 -0.7825599 2.558402 248 248 248 264 248 264 252 248 248 252 248 27 1
1.134285 -1.243847 -0.1496899 -4.096525 -4.389831 -3.9872 -5.88889 1.300472 1.221078 1.368602 1.168114 264 264 264 264 264 264 264 264 264 264 264 28 1
-2.584576 -0.7743562 -1.321117 -1.052229 -3.242685 -0.8094742 -3.606916 -0.5890322 -0.8114355 0.6534919 -0.8224683 260 264 264 260 260 264 260 264 264 264 264 29 1
0.1923371 11.96785 2.688221 -5.977559 -4.608008 -3.066435 -6.041968 -15.09354 6.590804 4.124753 6.79491 264 256 264 264 264 264 264 264 264 264 264 30 1
-0.9147056 9.624158 2.940791 -6.74027 -6.339335 -0.9402716 0.6391474 0.8878368 -1.09285 0.9102288 -1.526507 260 248 260 264 264 264 260 260 260 260 260 31 1
1.828705 -1.226342 0.7581757 2.629126 5.26171 2.594655 5.298629 1.834162 1.634011 1.737236 1.825753 248 248 248 248 248 252 248 248 248 248 248 32 1
-4.951795 -2.19606 -3.215186 4.7622 -0.04917155 4.289961 0.4155722 -4.857522 -4.860412 -4.954182 -4.862719 256 248 252 264 264 264 264 260 260 260 256 33 1
-1.019822 -1.007085 -0.9599039 1.352181 1.265378 -1.298784 1.516014 -2.357813 -1.042192 -1.560033 -0.8684086 252 260 256 248 248 248 248 264 252 256 252 34 1
