O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
15.87205 -16.64367 3.814779 34.00854 19.95725 35.05642 15.07829 10.87071 8.404327 10.23759 10.29262 16 1
-25.36242 -1.788571 -14.14993 -13.09388 -16.17065 -18.93773 -17.92415 -18.1409 -21.10879 -17.41679 -17.95272 16 1
3.85283 -8.329128 -2.362524 -13.68178 0.06985871 -8.896716 -3.731662 -2.028635 2.180252 -3.909006 -2.161613 16 1
-17.37174 23.51606 0.8877734 1.486531 -10.49907 1.985149 0.09771442 -11.97538 -11.97901 -13.75307 -11.66382 16 1
31.86832 -15.28493 8.440488 25.64981 25.47752 31.46589 16.92796 -2.153193 2.168587 -3.034376 -2.199539 16 1
1.288317 10.76259 9.040415 -3.540244 -1.834204 3.277352 -1.360055 29.50391 26.0356 30.33204 29.91774 16 1
-22.13488 -6.406821 -13.0373 7.971911 -11.75404 -10.13065 -5.9342 -20.65126 -19.83717 -21.02748 -19.21347 16 1
-9.513284 5.871786 0.1524335 -4.779717 -9.378189 9.20449 -8.41707 12.83741 13.87115 12.35751 12.20324 16 1
-14.21857 15.10919 2.194272 8.911183 -11.02288 32.04758 -2.81485 2.416269 -2.612088 2.28969 0.7639289 16 1
12.13411 11.80779 10.78256 0.6659515 12.08573 14.74921 7.368767 3.31266 4.546326 3.790435 3.330362 16 1
-22.78856 -6.832994 -16.5071 -33.95301 -37.17337 -21.33347 -31.23786 -19.27762 -18.56882 -20.02389 -19.11638 16 1
10.59374 3.411654 4.874876 -15.90645 0.6549673 0.5546447 -19.62996 5.284997 6.961113 6.3544 5.128423 16 1
-5.827457 19.30394 6.484727 3.513099 -2.271003 -3.933311 0.2378164 -4.679551 -6.06074 -4.361285 -4.988284 16 1
-29.16688 33.11107 -0.1822643 -20.4603 -35.277 -21.69941 -42.52676 0.9468746 -5.384926 3.546551 0.1434326 16 1
0.5912277 -22.98636 -9.596342 -6.165096 -9.428879 -13.79992 -9.063725 -0.2695014 1.384976 -0.5625317 -0.3024579 16 1
-4.030342 -2.186621 1.621028 21.16643 3.218009 12.12668 -8.076859 8.330175 6.240829 9.449503 8.17113 16 1
30.2791 23.52852 27.50331 37.57648 42.35187 30.11491 30.00928 20.25547 19.63089 19.45566 19.40242 16 1
-27.53961 10.21185 -10.24295 -7.082636 -22.99521 -10.59189 -18.88363 -20.62812 -22.73489 -20.95462 -21.26645 16 1
-24.50806 -20.21891 -20.52242 -14.87734 -23.28877 -11.73895 -24.91728 -4.967821 -4.129213 -4.762728 -4.806864 16 1
-16.71573 -5.915906 -15.22933 -33.11109 -24.85842 -31.65995 -19.0124 -19.06983 -19.88748 -20.09466 -19.01156 16 1
-19.34111 -16.81398 -18.08181 -16.75375 -16.57658 -10.71662 -6.843904 -11.69909 -10.77463 -11.82731 -10.8335 16 1
-5.284221 7.522834 -0.2344156 -10.2201 -7.906761 -3.253335 -8.691801 -7.478961 -9.145239 -8.129208 -7.52242 16 1
-17.25972 8.01676 -11.26949 -23.66681 -22.79154 -20.80033 -17.2329 -37.65319 -35.45119 -37.38642 -36.94244 16 1
26.35756 -7.426688 9.560511 11.00195 22.44749 14.80522 24.32729 13.49944 17.22627 12.02827 14.17849 16 1
32.02207 -5.388011 14.6745 12.80994 34.18403 20.97737 30.91874 18.90987 20.58008 20.10873 18.52913 16 1
19.41415 -25.011 2.776597 40.51739 46.25153 38.63492 38.21804 5.213879 9.832129 4.616606 5.510505 16 1
12.88675 8.331709 12.26949 22.13197 19.46936 26.04791 9.248283 8.455137 8.506467 9.563406 8.125359 16 1
-22.6983 1.626676 -9.255951 -0.2423315 -19.78012 -5.920341 -0.988049 -12.02129 -13.41075 -11.09245 -12.36275 16 1
38.74418 -49.7674 0.5849268 15.87651 35.87025 15.37208 22.2944 28.08716 31.52444 28.05105 28.37308 16 1
-19.90671 -0.2438541 -15.39055 -21.4852 -13.69708 -18.01601 -8.239189 -25.95362 -24.0112 -27.50105 -25.77889 16 1
-4.125414 37.86934 17.18863 16.27415 3.221738 1.575351 -3.86684 8.110714 2.693888 7.872955 7.847575 16 1
5.090671 -15.9617 -2.129301 18.65536 14.35744 19.87878 16.46975 3.0788 1.786107 3.264703 1.46971 16 1
4.654519 1.182234 4.846646 23.97983 13.31013 18.69274 16.99759 -0.6482831 -0.9832073 -0.5234604 0.1461224 16 1
12.07619 13.98592 10.03274 -9.782691 4.544818 -2.166021 -13.60017 5.426065 6.752165 4.488223 5.367793 16 1
7.746904 -3.23696 8.683282 26.78782 14.54477 23.40049 -0.6122875 25.71226 21.84551 27.0672 25.26885 16 1
-24.38316 -0.4887685 -14.22332 -7.189494 -11.96 -14.90223 -1.165858 -25.28627 -25.60075 -25.45846 -25.38971 16 1
-12.82069 -4.991909 -9.43521 -5.975767 -6.234775 -5.915264 -7.664058 -24.19876 -28.12512 -19.16796 -9.397325 17 1
1.067131 45.96272 20.8924 -18.43196 -17.50979 -17.54316 -15.41229 25.55295 23.19401 13.14956 23.58014 17 1
11.13081 5.125879 8.322422 1.650816 0.4883398 -1.487197 0.9685791 21.48413 43.31957 18.3614 4.29937 17 1
7.37249 -69.74836 -23.8407 33.26873 31.12876 30.58134 29.52306 -23.41316 -33.55189 -4.233027 -4.769375 17 1
-5.893364 -2.669668 -6.526631 0.1569971 0.3145361 0.7368945 0.01856441 -32.94942 -24.86961 -31.36789 -21.56106 17 1
-4.835296 1.201328 -6.126265 -0.08568859 -2.176538 -7.082265 -1.780557 -66.43484 -88.32555 -53.78457 20.96967 17 1
-0.727002 -4.051118 -0.4402196 1.247617 1.007471 0.9056104 1.973272 22.48476 30.33053 14.90048 2.926682 17 1
24.32642 14.82982 23.11359 28.21706 28.62034 29.28055 27.92105 11.49418 -0.3619972 10.21627 21.63235 17 1
2.14417 81.40316 38.72892 -0.7726808 -0.6862451 3.609131 -0.284707 38.58012 32.60545 22.44413 -11.98747 17 1
10.78634 -66.7531 -25.08049 9.157227 9.529355 7.994151 10.8042 -12.37094 -24.40494 -5.147173 16.2293 17 1
