O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
-0.4843942 0.2293191 0.1499262 1.58809 0.8716676 1.986863 0.06081129 -0.4253014 -0.380702 -0.2776573 -0.4769444 264 260 260 260 264 264 264 264 264 264 264 16 1
-0.9060022 3.916513 2.046426 -1.042898 -1.16452 -1.08988 -1.164307 5.655987 1.311127 3.055355 3.6304 264 264 264 248 264 264 264 264 264 264 264 17 1
1.339731 0.4136675 0.7434322 3.810999 3.720509 5.21536 3.902035 -2.536681 1.626022 2.093417 0.5562667 264 260 248 248 256 252 256 248 248 260 264 23 1
-5.95235 1.050896 -10.59999 -4.342811 -4.956426 -6.255721 -1.453171 -1.483872 -1.518082 -2.007084 -0.6708746 248 248 252 248 248 248 248 260 260 260 248 24 1
1.113776 -3.821452 -0.7995793 2.093659 1.817471 0.725985 1.836273 0.6524012 -0.2382714 0.6293753 -0.5767066 248 260 252 264 264 264 248 248 248 248 248 26 1
-0.1213595 0.1866325 -0.1557178 -2.775567 -0.1471256 -2.875879 -1.701415 0.2608942 -0.01222845 -0.6027335 2.290713 256 260 256 264 260 264 264 256 260 260 260 27 1
-1.935224 -1.739621 -1.586372 2.269059 1.250485 2.494341 2.693067 -1.50646 -1.382036 -1.468415 -1.482455 264 248 248 264 264 264 264 264 248 264 264 28 1
2.023872 4.256872 3.567377 4.962015 1.082105 5.726756 0.2448138 4.640028 4.699761 8.469641 4.868975 248 248 248 248 248 248 248 248 248 264 248 29 1
-1.541536 -2.335029 -1.013271 4.062634 0.3263606 -0.2204938 1.037604 0.09339055 0.8054608 -0.9201271 0.8384504 260 256 256 248 248 248 252 264 264 264 264 30 1
3.647683 -3.282435 -22.13247 3.87368 3.588282 7.918147 -4.215128 6.308713 3.770356 6.372258 0.002356589 264 256 252 248 248 256 248 264 264 264 264 31 1
-0.477089 1.876935 1.10455 8.156188 9.69369 3.731478 10.03106 -0.7664796 -0.73983 -0.9158353 -0.7412103 248 256 252 248 264 248 264 248 248 248 248 32 1
6.43367 -2.82823 2.020074 -2.325702 0.7744435 -2.103833 2.019355 6.572092 6.565333 6.373056 6.492294 264 252 264 248 264 248 264 264 264 264 264 33 1
-4.145056 -4.789155 -4.748087 -1.146137 -1.089794 0.4248997 -1.112833 -7.173883 -4.368885 -5.265906 -4.490717 264 264 264 264 264 260 264 264 264 264 264 34 1
0.7310264 1.600906 1.056037 0.6024361 0.5539285 -1.295947 2.266508 -0.7931779 -0.9847493 -1.356016 0.3445842 264 264 264 264 264 260 264 260 264 264 264 35 1
-2.159626 5.745148 1.309223 -2.942164 -2.419056 -0.3598427 -2.323606 1.061523 -0.460278 1.565519 -0.5318263 248 248 248 252 264 260 264 264 264 248 248 36 1
3.354161 0.3157946 2.609555 2.633496 -1.038432 2.116256 5.155959 4.607968 5.110561 3.822311 4.620093 248 248 248 248 264 264 248 264 264 264 264 37 1
-3.502197 -2.815637 -3.371702 -6.627174 -2.897352 -6.210365 -2.96458 1.6604 1.588844 1.693868 1.597549 260 264 264 264 248 264 248 248 248 248 248 38 1
3.969328 -2.001523 0.7852252 -2.235273 1.871208 -3.46866 1.989608 1.469282 1.308383 -7.351813 1.361947 264 252 252 264 264 256 264 248 248 256 248 39 1
4.470756 6.190982 6.424803 1.620257 2.691995 -3.301675 2.76373 5.141434 5.640637 5.601351 5.294224 264 264 264 264 264 264 264 264 264 252 264 41 1
-1.263843 -1.200454 -0.7765228 -0.9861554 -2.339519 -0.9862285 -4.9868 3.145946 -3.280727 -1.350638 -2.48088 248 248 248 264 248 264 248 248 248 248 248 42 1
-2.067747 -4.542716 -3.075585 -3.990031 -3.71627 -4.712399 1.859382 0.11531 0.2172574 1.73912 0.04934764 248 264 248 248 248 248 248 248 248 248 248 43 1
-2.309317 6.488505 1.792777 -1.649302 -1.612691 -0.9356025 -1.958035 1.609613 -0.1000979 1.522881 -0.4028587 248 264 248 248 248 248 248 256 248 256 248 44 1
1.308732 3.545027 2.925262 -1.171762 1.253718 0.4746605 -1.52927 -3.370229 -0.2000264 -1.850212 -0.388549 248 248 256 260 248 248 248 264 260 264 260 45 1
-4.392806 -2.957446 -3.411376 -1.480506 -4.131652 -1.426719 -0.8331848 -1.929745 -2.372202 -0.1306043 -2.710951 248 248 248 264 248 252 264 248 248 248 260 46 1
1.338374 0.9562696 1.069772 -0.04682602 1.42335 -0.04206068 1.339891 0.8624382 0.6814668 0.8205793 0.6653912 248 256 252 248 260 248 264 264 264 264 264 47 1
-3.415889 -2.705744 1.215241 -3.175707 -3.188875 -4.233875 -3.190364 -4.890864 -4.563824 -4.99981 -4.771871 264 264 264 248 248 248 248 264 264 264 264 48 1
-0.1024241 -0.1937299 0.7651262 3.458936 -0.2704284 3.495044 -0.3255983 3.10895 -0.140907 3.035327 1.097547 248 260 248 264 248 256 248 248 248 248 248 49 1
-1.749299 1.08024 -1.069222 -5.339444 -5.571874 -2.56778 -2.482117 -1.17975 -1.978962 -1.132551 -1.698077 264 264 264 248 248 248 264 264 264 264 264 50 1
-1.157934 13.42142 4.196111 -4.382648 -1.325914 -1.887413 -1.318286 -3.423415 -1.594459 -3.487062 -0.1973461 264 264 264 248 248 248 248 264 264 264 264 52 1
-1.714655 1.223585 -0.2658936 1.408378 1.215796 -0.1613217 1.344891 -2.014389 -2.720725 -1.894338 -2.684408 248 248 248 248 248 264 248 260 248 260 248 53 1
0.4007269 -7.37617 -2.815942 -0.6260331 -1.858436 -0.2209427 -0.8952323 1.388967 0.8708178 4.464174 1.191863 252 264 264 248 248 264 248 256 256 256 256 56 1
1.808182 -3.4454 -1.074131 -8.485738 -3.04959 -2.130724 -3.308893 -0.7331177 0.293765 -3.238397 0.321202 264 248 264 248 248 252 248 264 264 264 264 57 1
-1.452865 1.915022 -12.75162 0.3763234 -1.637006 0.646515 -1.223868 -1.502626 -0.6249572 1.317629 -0.5082825 264 248 260 248 264 248 264 248 248 248 248 58 1
8.319228 0.5890378 4.26249 7.231177 10.51839 3.738602 8.603743 4.187791 7.265643 2.952883 7.306556 260 248 260 260 260 252 252 248 260 264 260 59 1
-2.22154 -0.6635975 3.59512 -1.153909 -0.730985 -0.1454193 -0.823202 -1.305238 -2.756954 -1.026624 -2.813471 248 256 256 248 248 264 248 264 264 264 264 60 1
-2.668293 15.51989 7.221468 12.15067 9.163778 11.87436 8.989611 -2.842985 -2.414099 -2.436999 -2.190844 264 256 252 248 248 248 248 248 248 248 248 61 1
-2.505051 1.562395 -1.979226 -10.20128 -4.848796 4.27788 -4.822923 -3.196598 -3.203215 -3.26154 -3.038188 260 248 264 248 248 252 248 264 264 264 264 62 1
1.826438 -1.077086 -0.9255136 -1.479548 4.056931 -0.6306036 2.70607 -2.711957 0.6418846 -4.54572 1.579925 264 264 264 264 264 264 248 264 264 264 264 63 1
-0.4618995 -5.053493 -3.111198 0.2079711 0.4517252 2.8632 0.5784609 -8.41099 -2.615041 -1.045709 -4.172533 264 252 252 264 264 264 264 248 248 248 248 64 1
6.294087 2.253869 2.783166 -4.402325 0.6000158 -4.692978 0.1711326 1.333106 1.311254 -0.02683361 1.851745 256 252 252 264 260 252 260 248 248 248 248 65 1
0.8531331 -0.7608531 -0.4326409 -1.769694 0.03517551 -1.810157 0.00849284 -0.7621035 -0.7038863 -0.8334387 -0.7300112 248 248 248 252 248 248 248 248 248 248 248 66 1
-2.861486 2.804119 -0.6736638 -3.182429 -2.205181 0.3364264 -2.245242 -1.869673 -2.231889 -2.689137 -2.401618 248 248 248 264 248 248 264 248 248 248 248 70 1
-1.884213 7.001108 1.945328 -0.8273479 -1.820812 1.084107 -2.037569 -0.3383436 -0.1787454 -0.3004316 -0.1607565 248 248 248 264 248 252 248 248 248 248 248 74 1
1.883351 -10.88067 -4.147741 1.676143 1.606378 -1.32793 1.896956 -3.118619 -1.715693 -2.888917 -2.056593 248 264 264 248 248 248 248 264 264 264 264 75 1
-0.1410036 -1.141706 -0.3901061 -0.7487285 -0.7744861 -0.8394416 -0.4989423 1.530645 1.558395 1.70281 1.591416 264 252 264 264 264 264 264 264 264 264 264 16 2
-2.106595 -3.074428 -2.938271 -2.630262 -2.433753 -2.549708 -2.469655 -2.854308 -2.657485 -2.973907 -0.8695673 264 264 264 264 264 264 264 264 264 264 264 17 2
-4.337205 7.226568 0.7291726 -1.532331 -2.907592 0.8056177 -2.803813 -1.750718 -3.112599 -0.4281276 -2.584429 248 264 264 264 264 264 264 252 248 260 248 23 2
2.248732 -0.1820405 1.051312 4.958618 5.100673 -6.939204 6.598281 -0.3698187 -0.4848855 -1.559259 4.686387 264 248 248 248 252 264 256 248 248 248 260 24 2
