O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
8.406215 -25.71958 -4.277206 19.69705 8.268618 17.27848 8.632227 -1.747144 -1.603781 -1.442888 -0.8859595 16 1
-0.237622 11.60502 5.348847 -15.85348 -6.731307 -4.956857 4.746427 10.66403 10.33482 11.15889 10.84539 16 1
32.4277 -19.68204 10.07408 23.19888 31.48768 22.21331 29.20551 27.42165 30.41497 26.7779 27.53357 16 1
1.218383 -21.35225 -6.34554 -1.581392 -0.6922787 -6.178711 4.040864 9.717679 9.612352 10.79861 8.958021 16 1
-0.6598141 -3.632764 -4.691751 -12.4532 -2.659963 -8.871599 -2.230958 -7.666761 -5.772462 -7.269335 -7.289247 16 1
-11.72122 -4.781884 -6.260062 5.514819 -2.349976 1.752496 -3.175863 -6.216252 -9.670465 -5.791955 -5.669799 16 1
4.807155 43.81506 20.62352 -9.966043 -3.668879 -4.479396 -6.312123 10.34749 9.542593 9.978609 9.828794 16 1
-36.31556 -1.591003 -19.10128 -20.57224 -42.61621 -21.90526 -27.84509 -21.3144 -25.63682 -19.11134 -20.64632 16 1
0.009503174 24.90721 13.58365 14.42082 1.938707 22.58607 5.057563 12.58174 8.49333 13.04941 12.46601 16 1
13.93844 4.905212 9.730059 20.22413 19.47012 9.274732 18.95802 1.849962 4.706222 1.085167 1.372554 16 1
1.827919 -18.45766 -7.454692 3.187578 -0.5814169 1.127327 3.461636 -7.849455 -9.690178 -8.37974 -7.809813 16 1
5.058484 4.497509 3.436308 -4.964794 -1.999595 -0.2341602 -3.109586 4.581898 8.268393 3.683861 4.973523 16 1
16.06175 12.81798 15.53044 12.67852 12.94364 10.08501 1.966721 19.01508 18.83277 19.23702 18.43768 16 1
12.63271 -25.87336 0.8173567 12.90112 10.77132 15.21012 2.735267 13.05367 11.74129 14.01706 11.23384 16 1
30.037 -7.889455 15.49534 32.99863 30.30418 34.39442 20.43426 23.20145 25.92807 25.65226 24.64204 16 1
28.88472 -16.07966 6.730778 12.08166 25.65594 10.35451 14.69316 10.05808 15.8692 6.950835 8.945385 16 1
