O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
-0.2825809 -1.536513 -0.7023832 4.586156 6.056177 -0.2669654 5.097785 -3.80487 -3.778499 -3.017791 -4.517381 16 1
-27.34005 -0.3918549 -16.31316 -17.76857 -21.52278 -16.04726 -11.94269 -20.67484 -22.43965 -21.65653 -20.10454 16 1
16.59381 -7.383139 7.12876 16.41601 10.33471 21.56639 11.61792 4.382001 3.001352 3.07954 4.128439 16 1
-1.037127 15.2727 3.497474 -19.1738 -5.334026 -12.4333 -10.20575 -4.071105 -4.353612 -3.296762 -3.765658 16 1
-13.76193 -1.902856 -10.69654 -18.33639 -21.50232 -21.89242 -19.27433 -20.09418 -19.86624 -20.18458 -20.62461 16 1
5.018402 -8.539282 1.657791 21.50299 16.95474 16.71677 6.75642 0.2440027 1.657756 0.07352266 0.3420627 16 1
-0.3338616 -8.406526 -4.992142 3.083807 -0.4350476 0.8284801 -7.079516 -18.30451 -17.91117 -19.31888 -17.93854 16 1
6.683742 -10.84577 2.669687 9.617551 3.121814 9.506149 13.15666 25.43501 23.19365 26.73549 25.57454 16 1
5.881866 -18.86761 -3.088572 8.608322 9.044927 11.76735 7.075909 4.813752 6.85889 4.412668 5.374353 16 1
-15.38918 9.165023 -7.508205 -24.66823 -17.84211 -17.90199 -14.04952 -18.45074 -18.45432 -18.71682 -19.85345 16 1
16.68777 6.007323 9.055681 -0.8743591 12.54841 2.403284 7.835677 0.2377023 2.669357 -0.459689 -0.9269959 16 1
-8.278646 31.2521 10.00554 7.218699 -7.27218 0.3142332 -2.351213 -2.09442 -4.016583 -3.072218 -1.995918 16 1
25.93924 -3.909523 11.44788 8.355448 23.53037 17.88587 16.30367 15.08084 17.96765 15.99184 14.98454 16 1
17.22795 3.011231 10.19899 1.571418 12.15007 6.085091 8.631786 14.1563 14.39682 14.71857 14.29704 16 1
-18.7363 -21.66729 -21.48256 -20.43995 -19.05958 -21.64299 -22.82329 -16.75252 -15.7884 -17.76359 -17.11786 16 1
-9.739871 6.786417 -3.867945 -11.40005 -14.6071 -5.597087 -8.767015 -12.52449 -12.62353 -11.4234 -13.00564 16 1
2.369622 19.93429 10.43487 3.538258 0.9729554 2.528905 4.312608 15.73152 14.56713 16.0196 15.53476 16 1
14.70631 -11.50867 3.999505 20.32066 21.05553 17.88564 9.526097 -1.078426 2.108468 -0.5025113 -0.04118928 16 1
-6.746989 -7.010078 -8.398013 -15.09784 -11.86548 -22.40992 -5.249373 -13.7249 -14.00608 -15.4375 -13.62589 16 1
-31.14457 28.57038 -5.609633 -42.83815 -32.29439 -40.99831 -8.44726 -1.950395 -3.27843 -1.866045 -2.931703 16 1
-13.86809 19.17931 2.943089 12.25661 -7.708189 7.40593 -3.53178 -3.627681 -5.187386 -3.04553 -3.52026 16 1
-7.392898 10.9509 -0.05846777 0.6040289 -13.41835 9.897936 -8.869719 -7.581015 -9.644209 -6.617657 -7.346945 16 1
-31.21422 -0.4721531 -20.93028 -30.48349 -33.76038 -21.85582 -24.05094 -40.19246 -41.09277 -41.48502 -40.34831 16 1
-8.701462 -16.5105 -11.75213 -17.4516 -18.6383 -16.8316 -9.777674 2.558992 3.021564 3.237753 2.439706 16 1
9.718735 26.19576 17.32661 13.73783 15.94317 9.091336 13.97348 0.9570713 1.438583 1.436668 1.0896 16 1
-4.512044 -23.50307 -9.343785 21.45574 -0.8378304 17.2807 -4.197274 -1.188763 -2.016258 -1.181879 -0.8372135 16 1
13.91647 -30.85445 -5.591594 5.862257 19.48756 12.90307 6.673842 8.814824 11.05288 8.704551 8.349581 16 1
-34.28495 -15.7836 -24.06226 -40.44832 -36.07343 -27.12991 -41.57935 -7.714076 -12.05511 -7.426368 -7.614895 16 1
-5.820294 21.36111 1.825322 -12.25684 -6.044904 -20.41223 7.977084 -16.16792 -17.16208 -16.92964 -15.93162 16 1
-15.8436 -29.80984 -20.73035 14.92213 -6.178155 9.740005 -3.546383 -29.1759 -28.03861 -29.67187 -29.15762 16 1
-2.381984 -20.04942 -9.073668 3.465784 -0.1456067 3.762594 -7.089357 -4.040084 -3.013781 -3.706621 -4.408463 16 1
21.60482 11.15816 16.96494 13.45802 18.96781 16.33533 9.286263 15.11246 15.20188 14.89843 15.07166 16 1
5.274985 14.81701 11.20051 0.1239881 8.167196 8.559457 4.993755 16.90422 15.65175 17.87421 18.14819 16 1
