O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
-28.04033 31.44026 -1.174874 -15.30242 -33.64378 -11.36465 -22.92824 -19.05306 -25.26464 -18.99464 -19.81615 16 1
0.793995 -24.61498 -10.60713 10.51016 11.37317 15.53214 16.72982 -10.15262 -7.522752 -11.3855 -9.879693 16 1
39.65228 -12.14626 13.57003 25.08401 47.39516 25.02345 40.15629 13.20025 19.93528 15.04525 14.13388 16 1
2.935262 17.32103 12.92852 4.449195 -3.129081 2.214866 -7.492885 24.21305 22.24844 25.51099 23.77946 16 1
35.69093 6.94364 22.23299 11.61359 32.50081 12.30246 20.89333 34.06445 38.17609 33.82151 34.22955 16 1
-18.61159 -8.21627 -9.903105 21.72324 7.233153 25.10344 -0.5632244 -4.413119 -6.15977 -4.657206 -5.581234 16 1
9.54012 5.18687 10.75938 20.44779 17.01243 15.66699 6.104532 13.57402 14.54493 15.08801 13.54974 16 1
-17.21462 10.34681 -6.343249 -24.22506 -28.37523 -24.97415 -18.58965 -6.704987 -6.644634 -7.092103 -6.556139 16 1
13.46378 3.433219 10.83721 4.597886 14.32239 5.42671 0.3966826 19.78712 17.59211 22.02929 19.19494 16 1
3.123336 1.588198 4.29926 10.75836 11.12326 16.88556 -11.19473 4.062907 6.020869 6.116035 4.55648 16 1
12.65132 9.517319 9.890818 1.13171 0.7862192 -0.50661 -2.163153 14.54902 13.24482 13.80138 14.66747 16 1
14.69579 -30.57864 -0.5529725 32.95643 31.76776 30.87748 15.97535 4.43456 5.982612 4.791334 4.673115 16 1
12.81387 -19.11963 0.3788005 13.75907 16.84028 19.91611 13.47044 12.19722 13.4817 13.24704 11.94739 16 1
-27.49933 -28.43598 -28.9203 -41.94569 -37.54774 -38.86204 -39.2772 -17.71908 -18.08857 -18.74797 -17.61654 16 1
6.35106 -2.552694 3.901462 9.967865 6.860447 0.3692541 11.89442 8.416542 9.692173 8.770468 8.660581 16 1
-35.80095 -5.469939 -24.71864 -34.8605 -32.5539 -26.67768 -19.76151 -27.59912 -27.52512 -28.71843 -26.44441 16 1
-12.06802 8.386309 -3.77585 -12.43989 -16.00168 -10.63418 -17.8727 2.970296 3.207283 3.26764 3.31301 16 1
-0.8440839 6.830316 2.697465 15.00085 5.776615 4.545528 17.51769 -4.43583 -5.922678 -5.710892 -3.675674 16 1
30.14089 -27.49321 2.761774 4.413162 26.06841 6.66335 10.31308 15.49484 21.86325 14.7564 15.68365 16 1
-15.43954 9.935753 -6.152648 -26.66119 -24.2308 -21.93217 -12.85846 -5.848246 -5.898809 -5.0536 -5.748395 16 1
36.82165 -16.38913 13.51507 26.08993 30.97613 32.40834 29.02964 23.5482 24.57549 22.90103 23.24486 16 1
-6.315284 -64.05192 -25.37366 14.59165 7.378307 22.20067 2.087107 0.6232435 2.191996 0.346707 1.778812 16 1
-20.99586 -5.083398 -12.75379 -5.708227 -8.960589 -13.89544 4.402078 -11.78239 -12.79931 -9.48369 -11.27138 16 1
16.68797 -23.41394 1.098586 13.77553 15.16398 10.38376 4.132147 12.89111 12.9646 12.93134 12.91988 16 1
-10.97001 -3.705641 -4.837791 1.760134 -13.87545 -5.093658 -15.70978 -0.8846108 -1.729798 -0.556669 -1.090557 16 1
48.26085 -39.91666 8.261058 10.43072 35.61919 17.48276 17.00311 27.16814 31.76823 27.39464 28.1813 16 1
-0.1841745 -25.55007 -7.064147 15.85049 8.483173 12.79196 3.891676 7.018126 4.204463 6.440684 5.638522 16 1
38.77727 -4.156433 23.09962 18.78614 29.12284 19.81774 28.28535 46.12426 48.11794 45.90576 46.44843 16 1
11.71783 -36.93453 -12.10565 -11.64951 12.51005 -6.025378 9.983239 -5.301112 1.783891 -4.862088 -4.48882 16 1
-17.74465 39.62411 8.875106 10.14814 -10.42223 -1.171024 -9.70004 -2.471421 -1.251998 -1.599182 -2.492499 16 1
-15.89288 19.02107 -0.2952303 -19.04068 -19.59894 -11.72725 -30.75931 7.383531 4.098091 8.620589 7.104039 16 1
-0.4963919 -10.36392 -3.3162 11.47574 9.680919 11.13697 0.7412796 -2.35625 2.01988 -0.5327692 -2.303772 16 1
-18.02611 5.050976 -9.102497 -16.13439 -22.91531 -22.72801 -2.048228 -14.10148 -16.49303 -15.13057 -13.58563 16 1
-3.080636 10.55293 3.698564 11.80223 7.326264 6.368906 2.687013 -2.874138 -3.277991 -2.338493 -3.102443 16 1
-2.455003 43.09121 24.69183 62.2546 28.87378 47.86559 20.6028 2.698841 -2.118317 2.395457 2.315861 16 1
-21.93842 17.63441 -8.092903 -40.28692 -38.15734 -31.45392 -39.52254 -17.3114 -20.84951 -17.20272 -17.40145 16 1
-33.57877 20.08309 -8.361584 -11.53597 -26.28567 -8.486567 -11.89863 -13.06722 -13.16304 -11.62576 -12.84172 16 1
18.97663 -46.80378 -11.55638 13.93762 23.12715 9.549124 17.16079 -0.646969 3.251216 -1.410968 -0.6499597 16 1
