O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
0.1976234 5.102258 2.18536 -2.128108 -1.159168 -1.23576 -1.981522 1.510835 1.197194 1.645961 1.314621 388 396 388 396 396 396 380 388 388 388 388 16 1
4.40811 -6.580879 -8.508464 0.9102337 0.9245752 1.1624 0.9090286 5.814642 3.679874 4.84677 4.722096 388 380 384 396 396 396 396 380 380 380 380 17 1
-6.685149 6.187101 -0.6685907 -1.744044 -2.631554 -1.450297 -2.414685 -2.286129 -7.783916 -4.896357 -5.835219 380 384 380 380 396 396 396 380 380 380 392 23 1
-0.04084226 2.079546 -16.77703 1.482011 0.9940926 1.88291 -0.9456903 2.274758 2.136905 1.778917 1.995258 388 396 396 388 388 388 392 384 384 384 380 24 1
-2.207012 1.233114 -0.6982918 2.986474 3.19084 5.015512 0.0117679 -2.222034 -1.627501 0.07999359 -1.482292 380 380 380 384 384 384 384 380 380 380 380 26 1
1.432785 -11.25813 -3.637364 3.766612 1.353292 2.97065 -2.834727 1.084733 1.076882 1.595045 -2.276599 396 396 396 380 396 380 380 396 396 396 396 27 1
6.061885 0.2547694 3.950684 2.775151 2.375217 2.778582 1.771621 6.379342 6.381812 6.454565 6.500934 388 380 380 392 392 392 392 380 380 380 380 28 1
16.4703 0.4624519 8.499227 6.688456 8.930194 8.844452 4.590153 2.080004 2.179241 21.01486 1.914785 396 380 396 388 392 388 396 380 380 380 380 29 1
0.4183962 -7.324199 -2.773596 2.788222 5.044248 1.222316 2.129388 -0.2817943 2.623109 4.522169 2.643436 392 384 384 384 392 388 380 380 380 396 380 30 1
7.195901 -4.898786 2.646452 6.366221 6.24226 11.95554 1.954774 9.076626 7.134631 9.029488 4.494423 380 396 380 396 396 396 396 380 380 380 380 31 1
1.473766 -3.344569 -0.1035061 6.060177 2.288475 3.060483 2.82157 1.591043 1.59839 1.406808 1.573563 384 380 380 396 396 396 396 388 384 384 388 32 1
-3.358844 0.8456198 -1.101186 4.680302 1.085897 4.45651 -1.933 -3.229594 -3.389947 -3.056415 -3.350659 380 396 380 380 380 380 380 380 380 380 380 33 1
2.644739 -2.660286 0.8225149 0.3299612 0.426683 6.070498 0.3483579 4.537316 2.451722 4.502448 2.362067 396 380 396 396 396 392 396 396 396 396 396 34 1
12.67112 8.38541 11.592 8.722865 11.47667 7.238357 2.815036 15.74826 13.53278 10.01254 9.815386 392 396 392 392 396 392 396 380 380 380 380 35 1
3.830997 -6.704179 -1.002939 6.520471 3.724805 2.251225 3.951501 -1.546746 3.321677 -0.6192529 -0.3729783 396 396 396 396 396 396 396 380 396 396 380 36 1
5.696162 -0.004745588 3.978631 5.22615 0.03082847 8.333104 2.613795 7.589722 7.800399 12.40862 7.469259 396 388 396 380 388 380 380 396 396 384 396 37 1
-2.07931 -2.341949 -3.766552 -6.556489 -4.357192 -6.309374 -4.215422 -1.2912 -1.246935 -1.360859 -1.435802 396 380 380 396 392 396 388 380 380 380 380 38 1
0.4648186 -7.429518 -1.651303 4.706534 1.057727 3.794319 1.074521 3.071789 2.313813 3.208093 2.402033 380 384 384 396 380 396 380 388 388 384 388 39 1
0.08955749 -4.047677 -2.138587 -2.178742 -3.22077 -7.153899 -3.377557 -0.4459876 -0.291599 -3.443747 -0.1981043 384 380 380 384 380 380 384 380 388 396 380 41 1
7.434127 -1.219816 1.132277 15.08523 7.18525 15.11468 2.528178 10.64755 9.087298 12.69011 -0.8671898 396 380 392 396 396 396 396 396 396 396 396 42 1
1.623493 24.6059 13.43345 8.903964 9.6164 -3.687321 9.452444 16.2597 16.14598 10.7768 16.41992 380 392 392 380 380 380 380 396 392 380 392 43 1
12.10538 -3.156523 5.699828 13.16846 13.00978 10.39965 12.87115 4.078068 10.11801 4.28537 9.854506 396 380 396 396 396 396 396 380 380 380 380 44 1
2.633866 -11.18749 -2.567873 8.616175 5.287342 7.46162 4.021363 1.8827 0.8805014 2.769682 0.8475357 380 396 380 384 380 392 380 388 384 388 380 45 1
4.351947 -4.978098 1.423134 3.637729 3.940589 3.88619 2.813962 9.794808 7.774269 8.862696 5.530785 380 380 380 396 396 396 380 396 380 396 380 46 1
0.4226999 3.354302 0.8908401 -3.303244 0.4081933 -3.308785 0.5068861 -1.315992 -0.9167247 -1.36599 -1.092572 396 388 396 396 396 396 396 396 396 396 396 47 1
1.836273 2.065879 2.402049 1.915424 1.942746 4.650968 1.260831 2.322103 1.360055 2.337169 2.412135 396 392 392 388 388 396 384 388 392 388 388 48 1
0.4167735 -5.296865 -1.191937 4.783204 0.2332712 8.068206 0.2429888 1.667635 0.2562366 1.36063 0.3395635 396 396 396 380 396 392 396 396 396 396 396 49 1
-1.662713 -0.3780165 -0.2605072 -1.265918 -0.9899994 0.07605114 -4.888056 3.489408 2.323301 3.719405 2.281276 396 384 380 396 396 396 380 380 380 380 380 50 1
0.9831788 1.541688 2.012629 10.97569 7.620662 9.519752 7.158591 1.430664 -0.4146783 2.269612 2.762358 392 396 392 388 388 388 384 396 396 396 380 52 1
-0.1513963 -0.5512111 -0.0252398 1.017853 0.962403 0.2370941 1.074525 2.770582 1.001361 4.93651 0.9821237 380 392 380 396 380 380 380 396 380 396 380 53 1
-4.369878 -5.369965 -2.601043 9.982237 4.738896 7.011427 0.4914424 0.3247854 -1.494807 6.158788 -1.602122 396 396 396 396 396 396 396 396 396 396 396 56 1
0.3575424 -1.188812 0.07116795 4.058112 4.122992 -3.028122 4.06788 -1.118366 -0.5916147 0.2563156 -0.4062876 392 396 396 396 396 396 396 396 396 384 396 57 1
0.3628276 -2.87356 -0.3379549 -1.114307 0.1315572 -1.654037 1.932172 6.191375 5.254488 -3.575143 4.866901 380 396 380 380 380 380 380 396 388 396 392 58 1
4.180339 13.70391 8.20214 -1.490363 2.811663 -5.53485 3.509668 4.842438 6.413173 2.289875 6.098651 396 396 396 380 380 396 380 384 396 396 396 59 1
-1.24961 -0.8000219 -11.0161 3.62329 2.690577 5.108699 2.632433 6.658179 0.1645179 0.9955338 0.3355688 396 392 380 396 396 396 396 380 384 396 380 60 1
7.13665 -1.127736 3.729777 15.65335 9.609256 15.60064 9.509931 -4.49554 -3.71383 -4.399607 -3.525231 392 396 396 388 396 392 396 396 396 396 396 61 1
-2.132975 5.333352 1.441945 -0.9855703 1.170808 -1.736357 1.180681 0.8859428 0.9799093 0.8521006 1.039301 388 380 380 388 384 396 388 392 388 392 388 62 1
1.879648 -5.706433 -0.5102186 5.559155 5.058565 6.892534 2.799057 6.41388 4.75375 6.787078 2.631986 380 396 380 380 380 380 380 380 380 380 388 63 1
-1.917556 -4.916456 -3.653935 -1.914708 -2.133653 -0.07642248 0.3758202 -0.0603469 -0.6110639 -0.2075934 -0.5661443 396 380 380 396 396 396 396 380 396 396 396 64 1
1.677761 1.404646 1.943017 2.364817 4.027189 -0.5940145 4.177869 2.869355 2.95234 2.59776 3.13218 396 380 396 388 396 388 396 396 396 396 396 65 1
2.223868 -2.117342 1.149454 1.609493 1.934768 1.836685 1.932335 5.961263 -7.643257 6.030904 -5.42364 380 396 396 380 380 380 380 380 380 380 380 66 1
-0.7381574 1.634876 0.365252 -0.3117982 -1.494318 -3.894747 1.876201 1.374322 1.031179 -2.431816 0.8403305 396 388 396 396 396 380 396 380 396 380 396 70 1
4.363954 -6.563281 0.3363791 4.980284 4.316667 0.5949154 4.323321 4.858916 4.892088 4.885707 4.813509 380 380 380 396 380 396 380 380 380 380 380 74 1
0.2564305 2.347551 1.803561 0.1495245 -0.1257083 -0.681218 -0.09116485 5.336766 3.790112 5.541889 3.801518 388 380 380 388 388 380 388 392 388 388 388 75 1
2.101074 -6.142214 -0.4085606 5.141629 3.101417 4.737905 1.267711 3.95706 4.506721 4.095107 4.120421 380 388 388 396 380 396 380 388 384 388 388 16 2
3.808233 -4.784259 -18.42293 3.537244 3.488178 3.621707 3.306024 6.113395 5.913346 6.713716 4.070899 396 380 380 396 396 396 396 396 396 396 380 17 2
6.545794 3.558548 4.63181 5.578565 5.278666 1.805191 5.13588 -0.6139632 5.374522 1.151551 2.635746 392 392 392 388 392 392 392 388 392 396 392 23 2
3.03875 0.9960911 -15.65149 3.324723 4.701376 2.984318 5.807047 1.389321 1.335931 1.290463 2.35148 380 396 396 392 392 380 396 388 388 388 384 24 2
2.128877 6.094336 4.619561 3.415748 1.46346 6.495192 2.38779 5.164726 6.598189 6.575468 4.807329 396 380 380 396 396 396 396 396 396 396 396 26 2
0.3657068 -4.398818 -1.785106 2.02917 0.1638106 1.380964 0.4939844 -0.65626 -0.07293493 -0.1142871 -3.280959 396 380 384 392 396 388 388 396 396 396 380 27 2
6.411148 -4.456348 -6.583152 5.851344 5.819231 5.03515 6.331769 6.967956 6.917953 7.014543 6.788682 388 396 396 388 388 388 388 388 388 388 388 28 2
10.9331 -2.709514 3.591354 8.725328 12.81568 10.01633 10.79968 -5.059013 -5.193053 10.44217 -4.956467 380 380 380 380 380 380 380 380 396 380 396 29 2
2.706094 -10.38605 -1.731573 8.851362 4.641358 5.461221 3.044379 2.816526 -0.01164746 7.410933 0.06552638 396 380 380 388 396 380 380 380 380 380 380 30 2
3.296237 0.4476952 2.460246 -0.6249859 -0.8248984 -0.7447046 -4.744408 4.258729 3.403299 4.22162 2.60204 396 396 396 396 396 396 396 396 396 396 396 31 2
4.475965 -1.328523 -13.28239 -2.824079 -1.754424 -1.469474 -2.279349 4.233711 4.247937 4.384316 4.430811 396 396 380 396 380 388 380 396 396 396 396 32 2
7.695368 -9.785795 -5.817094 14.65296 12.12392 14.57107 5.484027 7.800589 7.82955 8.07074 7.668033 396 396 380 396 396 396 396 396 396 396 396 33 2
-1.192614 -0.8760434 -1.035599 -2.044061 -1.417028 -2.328934 -2.074517 -1.218899 -1.434793 -1.32448 -1.446918 380 380 380 396 396 380 396 380 380 380 380 34 2
4.740546 -21.11365 -5.885995 6.151725 8.149323 8.572451 5.557334 5.449307 2.61608 4.645172 2.646055 396 380 396 396 396 396 396 396 396 396 396 35 2
-2.341211 3.734515 0.6544349 5.565112 -0.07339478 5.803274 -0.03378186 -2.410518 -0.7504789 -1.311096 -9.106119 396 380 388 396 396 396 396 396 396 380 396 36 2
0.4951919 0.3495282 2.331703 -0.5507728 3.184134 0.9345606 0.007143795 -0.2041215 -0.4087468 -2.71676 -0.2765846 396 380 384 388 396 396 396 380 380 396 380 37 2
-1.95155 -17.70503 -7.254424 1.503429 -0.8808784 1.907775 -0.7697743 4.053602 4.000594 4.21241 4.018539 396 380 388 388 396 384 396 396 396 396 396 38 2
