O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
20.11425 -17.35155 9.657734 18.96127 13.9246 22.40103 -2.26572 37.73227 32.61677 37.12543 35.81019 16 1
-13.68449 -16.60683 -18.09277 -12.49763 -0.7100152 -5.609218 -11.17388 -23.19078 -15.60934 -24.04325 -21.43747 16 1
-9.825346 -25.51707 -17.95914 -35.24788 -26.73768 -30.62338 -29.80295 -9.481437 -7.140325 -8.168081 -9.159246 16 1
12.88418 15.03645 10.49352 -2.871042 5.265655 7.101224 -0.09903841 -6.2644 -7.933961 -6.058798 -6.268177 16 1
12.34964 9.307813 16.39698 32.18813 17.48777 32.09303 17.01245 25.58494 24.46653 25.99587 25.36263 16 1
9.672533 7.924129 6.593334 -9.52268 3.000507 -9.705189 -0.795798 10.97531 13.30872 12.23032 11.39294 16 1
-9.919579 -1.911496 -4.183749 12.67735 3.71168 5.528144 2.337782 -4.956584 -8.779887 -5.071441 -5.329045 16 1
-6.090955 31.85386 12.30604 13.09561 -0.6852722 12.63383 1.62254 1.90783 1.098931 1.386944 1.851243 16 1
-17.69767 -25.75587 -22.84266 -31.52884 -26.35569 -25.27206 -40.36748 -19.64217 -20.95355 -18.39231 -20.6638 16 1
-13.87485 12.01754 -3.655072 1.549144 1.090334 -6.246572 -5.186316 -17.09225 -18.22087 -17.0281 -16.6963 16 1
32.62352 -20.44607 7.69905 13.74337 20.68314 19.16003 12.90308 13.0119 18.09143 12.74973 13.77687 16 1
-21.59965 39.32237 5.268747 6.047538 -9.007358 -1.542655 2.626015 -23.06788 -25.61026 -23.11831 -23.46249 16 1
-10.89303 25.14221 2.854341 -16.5451 -13.81906 -23.67342 -2.630099 -8.018812 -7.030336 -9.840002 -8.528868 16 1
18.00695 -27.75061 -6.041552 -30.3694 3.288528 -14.93922 -16.93024 11.28987 14.30994 10.96415 11.57031 16 1
-3.270998 20.90694 2.569096 -29.68686 -23.46804 -10.89772 -20.30795 -7.543544 -10.58458 -9.059627 -7.811358 16 1
33.80178 -0.4781638 17.27261 29.48056 30.88637 28.52264 27.50648 10.1569 13.09137 10.81351 9.752324 16 1
-16.08706 25.50707 3.843218 9.674479 -15.05766 3.291766 -16.3806 -8.963313 -11.50534 -7.034252 -9.495693 16 1
-40.86995 31.68339 -10.52356 -28.9534 -31.68995 -37.75962 -22.34791 -28.73207 -30.7185 -28.78746 -29.11968 16 1
5.31168 10.18521 2.738839 -26.4913 -2.735612 -18.04521 6.246806 7.852211 6.450532 6.225936 9.019515 16 1
-17.8381 29.9439 5.815606 3.401721 -10.08997 -5.424139 -12.30332 -15.2895 -20.86418 -15.00278 -16.32337 16 1
1.376429 57.09921 22.03041 -6.132208 -2.645478 -15.21658 6.396435 -11.80039 -12.56776 -11.45006 -10.72294 16 1
-17.36977 2.414401 -8.438047 -18.59576 -23.48966 -21.06974 -22.49479 -1.01098 -6.180066 -2.814358 -1.024262 16 1
38.01125 -33.23998 13.78838 37.84521 39.55412 41.53607 37.72387 51.09553 52.50583 50.51415 51.57963 16 1
-1.408881 34.10751 10.83502 -19.80577 -16.25578 -24.14081 2.731819 -4.468012 -2.190457 -3.865213 -3.976625 16 1
13.61447 -14.43723 1.670103 -20.36425 10.46839 -5.395332 12.41262 30.26564 23.68338 30.17654 30.02228 16 1
20.12645 -22.77732 5.72261 33.98089 30.06946 36.33092 22.79878 22.30011 26.43206 23.23735 21.43025 16 1
11.94514 5.635242 7.890245 9.449245 11.66534 12.70423 24.45899 6.224412 8.519377 4.124321 7.570057 16 1
-13.13775 5.593999 -4.606887 -7.689475 -12.8397 -2.98115 -23.10964 -9.018754 -8.598119 -7.559049 -9.369123 16 1
-14.65921 22.21907 -0.4637541 -22.27396 -17.37711 -7.262117 -27.46108 -8.291722 -11.34186 -6.9368 -9.409833 16 1
-2.521423 -67.14812 -33.26288 -13.51251 -3.193961 -17.92677 19.85502 -11.58789 0.8402912 -12.15541 -14.06047 16 1
9.000658 5.372169 7.807114 16.41612 14.2048 23.21955 -8.318944 4.896665 5.327141 6.266988 3.842597 16 1
20.8111 39.53638 28.17047 9.525597 13.19915 11.16261 6.772059 20.98668 22.82105 23.39237 20.98257 16 1
-18.51591 13.44399 -4.360907 -24.12269 -27.76372 -29.12835 -17.83321 -5.322698 -10.31043 -5.566307 -4.631868 16 1
2.664647 13.08421 7.467398 4.219645 11.26328 11.14114 0.1634153 7.144839 4.603977 6.806323 6.706927 16 1
39.25807 -24.50962 12.37885 31.18104 29.98722 17.3272 32.05826 19.57925 21.36028 19.00702 19.34439 16 1
-31.60592 27.31719 -1.458181 -24.73826 -28.87843 -26.41792 -24.57795 6.835059 1.703068 8.306082 5.836353 16 1
2.732664 32.47634 15.21442 3.781386 1.997221 2.970888 1.404226 9.806308 7.329126 10.76247 9.113565 16 1
-25.11978 5.300302 -10.18588 -7.65014 -25.04621 -14.73853 -18.03924 -12.78608 -14.96905 -11.4835 -14.19975 16 1
9.392236 -25.51292 -5.180072 18.38466 10.89124 18.69672 8.116175 -2.193912 -0.7603461 -2.457912 -2.004038 16 1
18.97517 44.13012 -85.18203 -16.84995 -14.74939 -17.72094 -11.35761 -31.29432 -45.58267 -21.48727 38.14019 17 1
6.586723 -3.65166 24.94094 -5.444492 -6.15061 -5.13981 -7.45291 41.70087 36.87568 34.86546 15.49939 17 1
15.59023 -7.917573 -29.7 11.3254 10.68496 10.22579 9.638188 42.58622 21.35733 28.61617 29.56202 17 1
31.12657 -15.78119 -24.07891 2.469282 3.776309 3.021777 4.748882 36.73886 39.57421 29.90412 49.06269 17 1
-2.117571 44.11285 -49.28812 -15.18736 -13.78683 -15.11831 -12.53161 -8.423277 -16.98337 -6.174126 -1.082586 17 1
16.56694 -129.3272 -3.838438 7.725777 11.43509 13.86754 13.05383 27.78723 -5.70938 15.28631 2.436455 17 1
32.95993 -12.45369 -20.29297 44.99609 44.95465 44.27201 44.03869 -9.193106 -15.8213 0.9604493 20.0907 17 1
-18.28097 -5.11836 -2.152031 -17.09394 -18.44132 -17.97052 -20.45224 -18.88955 -2.082163 -9.270445 -24.87796 17 1
-17.37548 6.999179 -17.78266 -16.16102 -17.70225 -16.73443 -16.88059 -11.8615 -9.205029 -10.94639 -23.60556 17 1
8.980501 2.949853 0.8131253 -9.013965 -7.564185 -7.525533 -7.442754 16.64583 10.90485 6.886499 13.26479 17 1
-30.40612 83.10042 59.81063 -16.32927 -16.14886 -16.60456 -16.83767 -37.38749 -32.53539 -36.6092 -27.90269 17 1
2.592222 -8.81397 -50.78234 6.247212 6.15458 7.1573 4.769365 8.388672 2.045415 12.13533 4.380405 17 1
28.13394 -44.53176 -7.596562 15.5961 17.49663 15.97348 20.03603 8.799994 12.19012 8.990595 23.14911 17 1
-2.359089 -57.58604 24.88188 22.53269 20.28972 22.18541 17.98658 0.4835156 30.04723 20.32704 -37.72089 17 1
1.28229 -74.50714 -60.45781 1.46522 0.4784619 3.031645 -1.01813 15.74247 -3.920654 9.168213 14.84755 17 1
-10.23422 34.60924 24.53891 -4.649673 -5.954942 -4.649854 -7.016357 -6.617554 -11.14971 -13.1724 -13.514 17 1
25.20715 -15.85805 -7.296562 3.590386 4.320083 3.723945 7.218789 39.81507 38.93111 24.20307 46.81942 17 1
-8.917839 22.50675 14.39187 -12.5358 -12.42025 -11.73079 -14.3166 -4.769155 -5.284356 -4.454624 0.9147876 17 1
8.268877 -27.70343 -4.858125 8.009233 6.051562 6.040781 6.128013 24.39357 25.69087 20.04542 -1.847048 17 1
-11.0154 35.80993 14.18469 -1.395742 -1.701714 -0.7184083 -6.532969 -10.28463 -10.04322 -1.868809 -23.7211 17 1
39.89446 -37.78666 -46.42531 21.97646 22.43816 21.4517 23.89075 88.94324 83.26694 59.45754 85.00298 17 1
20.46506 -33.72349 -18.49734 23.55994 23.79799 23.38053 22.27389 13.43131 13.93619 19.2696 -0.9962499 17 1
6.819546 -1.839282 29.13813 9.286968 9.389254 10.20902 10.26271 26.57695 26.25241 14.59614 23.00559 17 1
16.66887 -28.60983 -39.67422 22.29519 23.21796 21.48718 24.27949 1.266592 -0.3015428 7.522515 -8.340798 17 1
-21.8809 8.354136 -16.74375 -10.61235 -11.7889 -8.93206 -13.00328 -28.16579 -26.23206 -17.69093 -30.8053 17 1
3.260105 -11.0647 15.37781 -1.665864 -0.49979 -2.603579 -1.648286 -6.578623 -8.57143 -3.209131 -0.1239063 17 1
-32.35738 34.20227 18.91391 -43.65919 -44.22642 -44.07719 -44.144 -16.63886 -19.43408 -19.40338 -14.42007 17 1
18.67667 -26.15071 -17.85609 0.803623 0.3627197 0.5584375 0.7460303 24.5493 34.39579 19.15971 32.76054 17 1
-11.77682 27.83788 15.24578 -20.14816 -20.17886 -20.65522 -20.19185 -9.468467 -6.397437 -10.80681 -11.69917 17 1
-1.554907 15.75821 19.38594 -1.980615 -1.414243 -1.680683 0.6647021 -20.02322 -23.83407 -19.14847 -11.37302 17 1
-48.59896 94.40092 17.30756 -23.88321 -27.33286 -30.17852 -26.90654 0.5887243 -30.2293 -28.08717 3.624531 23 1
20.74268 31.63373 23.24591 7.533225 26.52353 -6.2511 27.3971 -0.2210107 -8.623316 6.067149 -12.03974 23 1
6.704999 56.11943 24.31873 -27.61328 -0.04872856 -30.59324 0.6214711 2.097923 -3.535806 -0.8358411 14.89545 23 1
-36.72461 36.00812 -5.399585 -28.76414 -40.2895 -3.572803 -40.90279 -15.69058 -32.03518 -6.660705 -29.02789 23 1
31.1245 -30.2419 1.898719 10.15969 -2.826566 16.06189 -2.878505 13.25957 16.7812 14.84012 4.483797 23 1
-18.07279 24.173 0.3905229 -14.56626 -0.8044238 -35.77522 0.8066064 -17.49743 4.434078 -30.46307 29.59656 23 1
-0.8910534 72.68967 27.79767 -2.085652 -1.286563 -17.71079 -1.259324 -8.270749 -17.5343 -15.90754 -16.8601 23 1
-1.858369 -48.68625 -22.10718 15.12127 1.633808 16.8069 0.7099336 -8.61492 -23.32148 -16.72449 -42.82914 23 1
-0.4227295 -0.6876561 -4.271382 3.096181 15.23567 -8.789499 17.17359 -35.35431 -31.50518 -40.91833 -23.60443 23 1
-16.42132 91.07463 34.72689 -2.214135 -15.37299 -19.89421 -14.50373 18.09088 -13.70476 6.686555 -3.40414 23 1
14.4554 -16.70949 4.015228 39.6833 38.44066 19.06468 39.97967 9.196791 23.60089 10.97063 12.07534 23 1
-40.31324 -0.3645943 -24.55582 -20.18575 -31.50064 -14.83432 -32.07964 -37.04411 -75.13823 -72.53738 -28.22657 23 1
15.98698 15.49181 19.43945 34.76243 22.43199 41.93859 23.07123 24.43829 25.7573 46.66008 -0.2903588 23 1
-3.290542 14.6104 4.51599 -25.89773 3.747283 -23.58332 4.184873 11.64445 6.165099 21.84763 1.451143 23 1
-48.09043 -1.205276 -20.65739 -13.12049 -23.13877 3.760286 -22.40273 19.15793 -13.67584 -2.962464 3.63553 23 1
22.8003 -194.4585 -66.79665 23.70722 49.28962 45.43343 49.31125 10.54457 37.52628 4.488873 51.73897 23 1
-19.50133 32.43969 7.184942 1.485291 -8.399942 10.29892 -9.50543 12.24428 -15.45769 8.599005 0.1962775 23 1
44.86788 -47.24705 4.816014 7.482177 0.3388678 -16.37865 -0.6143817 24.6876 31.42584 16.33433 -4.203267 23 1
16.13206 -48.85127 -12.2544 25.37949 12.39662 47.46353 11.62612 -1.606006 17.93715 16.18363 -2.266883 23 1
-0.2543604 46.23848 20.25648 -16.43073 -6.471929 -17.83493 -6.576919 6.831522 12.23217 6.616248 -0.9673506 23 1
-28.80813 -13.51266 -20.41268 -18.88516 -37.91604 1.12723 -37.98698 -8.04683 -22.53248 -0.7138038 -37.72252 23 1
-31.90039 104.4377 30.38431 -27.79639 -27.55086 3.688101 -27.6705 21.96226 -28.12773 2.218147 5.278648 23 1
20.61434 -23.65087 1.623242 35.38976 23.93363 1.6242 24.66513 1.465854 19.16037 7.191426 8.8097 23 1
-16.57436 -26.44806 -22.11935 8.642447 -8.431212 9.542811 -8.059136 -35.45228 -39.21952 -44.77115 -27.64073 23 1
