O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
-0.7797337 -2.459651 -0.5391674 3.966376 0.7098604 6.029498 0.7041823 1.870898 1.567582 1.970503 1.726705 396 380 392 384 388 388 392 396 396 396 396 16 1
-1.314464 0.26171 -0.8660975 2.542531 2.551465 2.293143 2.79851 -7.504241 -5.968999 -5.021616 -5.169336 396 380 396 396 396 396 396 396 396 396 396 17 1
0.02591529 2.408601 1.921767 2.499761 2.734453 2.284876 2.638165 5.094033 1.482782 2.292166 -1.901608 380 380 380 392 396 392 396 396 380 396 380 23 1
5.865641 -5.222292 -3.209771 -1.204621 4.407021 -5.50156 -1.603252 -8.449282 -8.696623 -10.51055 1.849854 392 396 396 396 396 392 396 396 396 392 396 24 1
1.054216 0.613436 -0.3000223 1.219953 2.462979 0.8035639 0.9364152 1.368297 1.482613 1.153623 -0.1549788 380 396 396 380 380 380 380 396 396 388 396 26 1
-0.1273699 13.45447 5.393111 -0.3298446 -0.8631226 -0.6856465 -4.661108 -0.948562 -0.5622959 -1.338913 -1.484053 396 396 396 392 396 396 396 380 396 396 380 27 1
4.666661 -0.6462027 2.176848 -1.907744 -2.830447 -1.625627 -5.005265 4.976456 4.995659 4.929354 4.885542 396 380 396 392 392 392 392 396 396 396 396 28 1
-4.43068 -0.9662781 -2.083441 -2.321698 -7.0741 -1.134819 -7.476944 -0.5696689 -0.8410231 5.481723 -0.7066234 384 396 392 380 380 380 380 396 396 396 396 29 1
3.610612 3.244408 2.933729 5.701801 1.308463 5.044689 -2.153257 -3.901888 9.861429 7.831026 10.18311 396 380 380 380 380 380 380 396 380 396 380 30 1
4.197093 5.239936 5.335351 9.936884 10.06857 15.63417 5.915254 7.164012 4.175826 7.063669 0.496722 396 380 396 396 396 396 396 396 396 396 396 31 1
1.88396 0.2142748 1.506948 3.465749 2.790712 1.779159 2.907716 2.048041 2.022229 2.019897 2.123535 396 380 396 384 384 384 384 396 396 396 396 32 1
0.8561369 -4.739915 -0.475567 12.00132 6.700616 11.70142 3.192506 0.9856135 0.9113663 1.144596 0.9085973 396 380 392 388 392 388 380 396 396 396 396 33 1
1.026982 -1.310415 0.2702267 1.366358 1.445292 2.963106 1.452129 0.7315828 0.8785278 1.15997 1.077187 380 384 384 380 380 388 380 396 380 396 380 34 1
5.260855 -3.131454 2.466857 7.751067 6.189619 6.304711 -1.432614 7.112477 3.668802 5.413968 -2.07709 396 380 380 388 396 396 388 396 396 396 380 35 1
6.220146 -9.906926 0.4617271 12.12974 8.924274 11.41213 8.820993 5.666247 7.557478 6.306828 4.198769 396 380 380 392 392 396 392 388 396 396 384 36 1
2.828481 4.415638 2.884236 1.813845 6.985229 2.216288 4.121101 -1.037835 -0.9480677 0.8882422 -0.9812889 396 380 396 396 396 388 396 396 396 380 396 37 1
5.761433 5.983978 6.147237 3.120669 1.464156 3.225166 1.323126 5.153358 5.170303 5.019491 5.27104 396 396 396 396 396 396 380 396 396 396 396 38 1
2.696606 4.493758 3.215141 4.710743 3.377546 -0.1737811 3.334347 0.3727086 0.0797684 3.015637 0.2683764 388 388 388 384 388 392 388 388 388 392 388 39 1
1.691492 -0.4872827 -2.263968 2.860195 3.878081 1.157811 2.480047 0.4010835 1.351816 3.214124 0.4653112 396 396 380 396 392 392 396 396 396 396 396 41 1
5.447148 2.176239 5.64438 13.40651 5.81112 13.45715 -0.04801709 7.453172 1.483945 8.541604 -2.886086 396 380 396 396 396 396 380 396 396 396 396 42 1
6.963987 16.45404 11.80834 7.11609 7.387076 1.684635 8.398012 10.89974 10.67782 3.33549 11.12918 396 392 396 392 392 396 396 396 396 396 396 43 1
3.28581 11.88161 7.187762 -0.3235408 -0.2670478 2.330423 -0.7535869 7.895702 5.048202 7.854945 4.74408 392 396 396 380 380 380 380 396 396 396 396 44 1
1.484397 -0.6729066 0.7760279 -0.6055947 -3.375238 -2.30582 -6.032904 3.341221 -3.805057 1.607914 -3.803114 380 380 380 392 380 396 380 392 380 388 380 45 1
5.801494 -6.591345 1.374578 5.434134 5.788898 6.145515 2.427308 9.813782 7.660443 6.970061 5.476508 392 392 392 388 388 396 396 392 396 392 396 46 1
-7.593699 3.174087 -1.902092 -3.459878 -7.975893 -3.469289 -8.081204 0.7076622 -0.04740871 0.9936482 -0.0735154 396 392 396 380 396 380 396 380 380 380 380 47 1
-1.726624 -2.423951 -4.231361 -1.651331 -1.722853 -1.780957 -1.108893 -0.6887894 -0.8379302 -0.9703746 -0.6866375 396 384 380 396 396 388 396 396 396 396 396 48 1
-1.517722 3.607225 1.232434 2.317843 -1.50455 0.9436172 -1.453571 1.421965 -1.406966 0.9832684 -3.278146 396 380 396 392 396 380 396 396 396 396 396 49 1
-2.054798 -0.148898 0.3798893 1.920945 -0.3260739 3.220384 -0.25844 8.143774 2.669898 8.439738 2.390818 396 380 380 396 396 396 396 380 380 380 380 50 1
2.731408 11.79789 6.826932 7.912453 4.557128 4.311666 4.771999 2.12761 3.403945 -0.09029982 4.141278 396 380 380 396 396 396 396 396 396 396 396 52 1
2.110877 -1.776143 0.8364952 1.821765 1.730162 3.140459 1.741784 3.087941 2.024617 4.597125 2.239428 380 380 380 396 396 396 396 380 380 396 380 53 1
-5.219608 3.249282 -1.998546 0.4589152 -2.954669 -2.056396 -6.378042 -6.992338 -6.085174 0.88592 -8.489328 380 392 380 380 380 380 380 396 396 392 396 56 1
-6.676826 -1.663698 -5.42562 -0.100891 -3.589938 7.850645 -3.573305 -7.619391 -7.222548 6.321964 -7.039581 392 388 388 380 380 396 380 380 380 380 380 57 1
4.632605 -2.413382 2.003867 1.068614 4.079256 -0.02482868 4.202876 6.593829 7.357979 4.583592 8.605308 396 388 396 396 396 388 396 396 396 396 396 58 1
5.391963 -9.549641 -0.7887503 4.956322 6.409397 -0.3951105 4.25006 3.440361 5.74586 2.194392 5.552632 380 384 384 384 380 392 380 380 380 380 380 59 1
-2.660907 -9.75825 -4.811691 1.921111 -0.4411423 4.834124 -0.213794 2.76294 -1.082691 -0.6431795 -1.917708 380 388 380 380 380 380 380 380 380 392 380 60 1
-5.599199 -7.106342 -2.620657 7.624232 0.2818325 7.875797 0.2641774 11.72546 10.97049 11.31622 10.29279 380 380 380 388 380 388 380 396 396 396 396 61 1
-0.2255407 -1.166862 -0.7180358 1.108779 -0.9943956 4.603049 -1.086596 -1.518158 -1.530818 -1.39889 -1.46314 396 396 396 396 380 392 380 380 380 380 380 62 1
5.523093 -12.67162 -4.572576 0.3848541 13.43258 2.492377 4.381347 -1.270673 2.526595 -12.54719 2.534669 380 396 396 384 384 384 384 380 380 380 380 63 1
4.236435 2.858718 3.408784 1.71254 2.655629 2.861224 1.049075 3.910065 1.587671 2.803107 0.5218762 396 396 396 380 396 380 396 396 396 396 396 64 1
5.293223 -2.141406 2.255131 4.052429 4.743441 2.155196 4.321411 3.350024 3.073161 3.690633 3.090807 392 392 392 392 388 388 388 380 380 380 380 65 1
-2.34978 -0.9948419 -1.396469 -0.2436152 -2.271616 -0.05858822 -2.302163 0.03132636 -1.593709 0.04462276 -1.420652 380 380 396 396 396 396 396 396 380 396 380 66 1
2.777163 8.401068 5.326822 3.221249 1.512074 -2.988732 3.962513 3.961743 2.499275 3.435334 2.793617 388 392 392 396 388 396 380 396 388 396 388 70 1
1.870804 -0.89948 0.9462696 2.432278 1.652722 -1.225145 1.714861 1.692291 1.477314 1.380788 1.527945 396 380 384 388 396 392 396 396 396 396 388 74 1
-5.838179 -24.36926 -13.58217 -5.914573 -6.00556 -6.258392 -5.968859 -3.043445 -3.156268 -2.544778 -2.974985 380 396 396 380 380 380 380 396 380 396 396 75 1
-4.580654 0.8000842 -1.9052 -0.2186619 -3.252277 -0.2903472 -2.660235 -2.373075 -3.271962 -2.320907 -2.381602 380 388 380 380 380 380 380 380 380 380 380 16 2
-4.593264 0.9594268 -2.291589 -6.95613 -7.173653 -7.048046 -7.557421 0.9768863 1.020696 0.6338795 -3.845899 396 384 380 396 396 396 396 380 380 380 380 17 2
-4.028392 -14.6371 -8.332443 0.0802417 0.5332451 -0.4128672 0.5667182 -2.108636 -2.564246 -4.225535 -2.897462 396 384 388 384 388 380 388 388 388 384 388 23 2
-0.662897 3.050392 0.6357301 -5.183691 0.8056878 -5.406697 -1.53416 4.9776 4.975968 4.478156 2.005764 388 388 384 384 388 388 380 388 388 388 380 24 2
-0.1556762 1.239575 0.6315645 0.9066416 0.2000317 0.7542391 1.102168 -0.611791 2.842955 -0.752731 1.697193 380 384 380 380 380 380 380 392 388 388 396 26 2
-0.6272746 -0.5833423 -0.03864885 2.772481 -0.9684275 -0.548705 0.5848668 -1.930988 -1.190247 -2.346702 1.952538 396 396 396 384 396 384 396 396 396 396 396 27 2
-1.588985 -1.123029 -1.199223 -0.4248452 -6.269795 -0.2678241 -6.022039 -0.6445681 -1.163971 -0.4922617 -0.7035131 396 396 396 388 388 388 388 396 396 396 396 28 2
23.48262 13.44198 17.44016 3.201033 9.432964 4.422668 7.056685 10.65656 10.47637 28.44775 10.40028 380 380 380 396 380 396 380 384 384 396 384 29 2
-1.144037 -6.2586 -1.542271 11.74203 10.29235 9.318449 3.783913 7.592744 -8.259993 6.955235 -8.301573 396 380 380 380 396 380 380 396 396 396 396 30 2
