Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
5.435446 2.152312 0.6149105 2.049516 1.282229 1.300388 1.906652 1.445132 2.800739 0.5687125 1.561251 2.758046 1.450589 -0.3380919 1.349212 0.9783779 0.3426274 1.221434 1.304453 1.540714 -2.397105 -1.474346 0.1621462 -1.64761 0.9005508 0.9280944 -2.969598 -1.592399 -3.172469 -0.524805 -1.93141 -1.736918 -2.509536 -3.273332 -2.477992 -1.577835 -2.466356 -2.954579 -2.714343 -3.87128 0.890925 4.685595 1 -168
6.332495 2.416693 0.8358036 2.30746 1.452376 2.249117 2.081852 2.297256 2.534478 1.324299 0.9515464 3.185051 0.8580387 -0.2679089 1.749617 1.039265 0.5761672 0.9099487 1.504666 0.7341482 -2.424901 -1.540741 0.3679863 -2.171143 0.972143 0.2403366 -3.007043 -1.588727 -3.36265 -0.7794808 -2.303904 -2.143733 -2.706226 -3.431384 -2.587741 -2.060403 -2.64837 -3.282214 -2.904255 -3.931109 -0.1228749 6.34404 1 -164
6.739242 2.457347 1.237936 2.317302 1.514472 2.827652 2.097549 2.905823 2.259965 1.895577 0.6961674 3.603517 0.6403611 -0.302283 1.867286 1.022913 0.6976547 0.6815987 1.570397 0.09238473 -2.45466 -1.528093 0.5876552 -2.52086 0.7779139 -0.3568828 -2.93332 -1.55301 -3.380695 -0.9484142 -2.512932 -2.499172 -2.8026 -3.567687 -2.615887 -2.427926 -2.699024 -3.578952 -3.009923 -3.952121 -0.9679649 8.121564 1 -160
6.498915 2.286265 1.734014 2.096741 1.444834 2.663069 1.948527 3.104037 2.066057 2.153373 0.8642395 3.707391 0.8307461 -0.3460959 1.658719 0.9186519 0.7999613 0.6321512 1.536955 0.04194256 -2.323409 -1.405377 0.7837115 -2.522491 0.4496658 -0.6310353 -2.645999 -1.383168 -3.18891 -0.9575159 -2.483956 -2.583013 -2.796082 -3.502731 -2.543742 -2.555488 -2.651556 -3.57621 -2.99341 -3.855578 -1.385452 8.111166 1 -156
6.192269 2.011167 2.029007 1.783764 1.27893 1.894887 1.719027 2.834269 1.959971 2.05086 1.220458 3.411659 1.209891 -0.366963 1.248592 0.7508446 0.8627883 0.7001057 1.467277 0.5236388 -2.050094 -1.217814 0.9521484 -2.275593 0.2672216 -0.5137553 -2.26191 -1.092247 -2.88858 -0.7632545 -2.285639 -2.4009 -2.731007 -3.220186 -2.438299 -2.478347 -2.583337 -3.31884 -2.91381 -3.64912 -1.271696 6.352588 1 -152
5.991598 1.67695 1.881343 1.461442 1.034308 1.179532 1.480731 2.090772 1.899651 1.535655 1.467564 2.898863 1.527174 -0.457353 0.7390829 0.5889116 0.7067474 0.7129858 1.248878 0.9696985 -1.821822 -1.051013 1.04246 -2.051616 0.3014204 -0.296815 -1.982405 -0.7575431 -2.627012 -0.4234293 -2.099031 -2.168861 -2.611604 -2.861916 -2.362545 -2.239429 -2.496347 -2.999474 -2.813917 -3.436388 -0.7000731 5.822925 1 -148
5.478222 1.353625 1.35882 1.197083 0.7103142 1.051876 1.289343 1.192949 1.724908 0.8540568 1.378807 2.096497 1.515063 -0.5772701 0.2843508 0.494721 0.4287533 0.6211472 0.7293255 0.812387 -1.673298 -0.9273586 1.098401 -1.968233 0.4244225 -0.3541449 -1.801653 -0.3936671 -2.444498 -0.03288741 -2.027062 -1.9843 -2.408712 -2.466487 -2.246326 -1.804933 -2.342708 -2.654578 -2.666647 -3.198341 -0.1016516 7.979663 1 -144
4.695539 1.088495 0.732743 1.003071 0.3329968 1.29069 1.138995 0.575762 1.378006 0.4794261 0.9350114 1.078672 1.092592 -0.5326816 0.05076521 0.4553051 0.3761576 0.5080007 0.2386751 0.07342777 -1.442577 -0.7966866 1.284789 -1.972441 0.6710281 -0.5864039 -1.549416 0.02350062 -2.279371 0.4033929 -1.974134 -1.673094 -2.143626 -1.971389 -2.032233 -1.184974 -2.124708 -2.238717 -2.445029 -2.825243 0.2038452 9.66186 1 -140
4.104938 0.8267071 0.3357522 0.7878122 -0.003430724 1.301733 0.9740631 0.3474035 1.051746 0.4331365 0.3446876 0.2590504 0.5003679 -0.302898 0.007361675 0.4470968 0.5839098 0.4193211 0.1750738 -0.6952005 -1.050058 -0.6395732 1.549541 -1.973027 1.101715 -0.5883378 -1.183972 0.4232086 -2.061432 0.8776767 -1.79081 -1.130999 -1.882244 -1.424257 -1.770519 -0.5387726 -1.889822 -1.767381 -2.152755 -2.351919 0.3120151 8.033063 1 -136
3.735207 0.5194013 0.338176 0.4877619 -0.1944006 1.037279 0.763879 0.4655618 0.8027529 0.4406502 -0.2164605 -0.04590323 -0.0475839 -0.06772757 0.0342474 0.4524401 0.8200333 0.3177516 0.4445641 -1.096163 -0.6100073 -0.5101557 1.717139 -1.945118 1.521239 -0.4333281 -0.826847 0.7189811 -1.809088 1.22855 -1.47309 -0.5946679 -1.657164 -0.9280449 -1.502956 -0.1048517 -1.652681 -1.343771 -1.811582 -1.924565 0.1645306 4.786003 1 -132
3.30566 0.1849724 0.5195128 0.1480626 -0.2689905 0.8350099 0.5101985 0.8058468 0.6138326 0.3484786 -0.6604939 0.4346645 -0.502801 0.04430304 0.08464642 0.4384565 0.9389396 0.1260893 0.8019146 -1.120442 -0.308172 -0.4381828 1.753493 -1.926699 1.573795 -0.5251836 -0.5717254 0.9365038 -1.601067 1.286578 -1.175588 -0.3566897 -1.449083 -0.5160795 -1.261959 0.01270918 -1.413653 -1.105104 -1.490972 -1.626437 -0.22386 2.839459 1 -128
2.956474 -0.05505146 0.5731647 -0.07709118 -0.3196248 0.8223538 0.2757893 1.187341 0.5168349 0.1990867 -0.9502099 1.596324 -0.8492716 0.04525553 0.1642012 0.4001065 0.9257056 -0.1736409 1.151328 -0.9925585 -0.1952192 -0.3816072 1.686753 -1.915513 1.173613 -0.8826849 -0.4185258 1.113575 -1.436433 1.122041 -1.03911 -0.3782516 -1.273586 -0.2016929 -1.097793 -0.05949779 -1.22749 -1.030473 -1.275671 -1.414491 -0.6362105 2.371774 1 -124
3.11443 -0.07285482 0.5255673 -0.06464356 -0.3170281 0.9813497 0.1473035 1.627368 0.3253162 0.2052362 -1.173199 2.544687 -1.124231 0.01373573 0.2631008 0.3259914 0.9003758 -0.4943593 1.317973 -0.9857283 -0.1477132 -0.3251348 1.579797 -1.880603 0.6768131 -1.32961 -0.3323913 1.192628 -1.290226 0.9340184 -1.073889 -0.4881073 -1.280188 -0.01153416 -1.093722 -0.1600566 -1.207974 -0.9528557 -1.249394 -1.237005 -1.236502 2.853276 1 -120
3.385661 -0.01334994 0.6084045 0.01009797 -0.2273949 1.165595 0.07685974 2.020717 -0.05393113 0.3579589 -1.37281 2.613863 -1.321573 0.02880843 0.319481 0.2069907 0.9707634 -0.7174226 1.219222 -1.162834 -0.01205609 -0.255576 1.536626 -1.770739 0.474303 -1.741781 -0.2261281 1.181419 -1.147155 0.8814612 -1.17268 -0.5158138 -1.490511 0.1321565 -1.234666 -0.1039105 -1.334104 -0.7240368 -1.383799 -1.108734 -1.955185 3.855772 1 -116
2.612205 -0.1618597 0.8814898 -0.1514975 -0.1670343 1.130147 -0.05724497 1.971964 -0.3038002 0.4957733 -1.427502 2.177189 -1.337464 0.133255 0.3091789 0.1273346 1.100568 -0.75315 1.228274 -1.415206 0.2773117 -0.098083 1.648267 -1.522048 0.6729183 -1.80422 -0.001622568 1.290981 -0.9238105 1.076151 -1.146209 -0.1912379 -1.5809 0.419067 -1.280244 0.2634266 -1.367118 -0.2995632 -1.429015 -0.9753115 -2.076921 2.655677 1 -112
0.6517105 -0.4660994 1.096911 -0.4749554 -0.2177901 0.8006018 -0.2018177 1.449058 -0.2957548 0.6344313 -1.275835 1.829655 -1.174476 0.2911884 0.3284748 0.1792888 1.21922 -0.5903453 1.571904 -1.525301 0.636557 0.194568 1.87105 -1.141912 1.009226 -1.390215 0.2999066 1.63615 -0.5808175 1.408864 -0.9052994 0.4367787 -1.356719 0.8626198 -1.083668 0.7423403 -1.181716 0.1785712 -1.243842 -0.7387286 -1.469545 -2.014211 1 -108
-0.940564 -0.6287248 0.9802498 -0.6286705 -0.2471941 0.4006385 -0.2004078 0.9699646 -0.3809018 0.8571295 -1.076726 1.690614 -1.008613 0.3903982 0.42402 0.3065323 1.277743 -0.3725002 1.864721 -1.328589 0.8836306 0.5215878 2.016635 -0.7803628 1.084531 -0.9909889 0.4983777 1.973722 -0.2446785 1.562989 -0.6622801 0.8313059 -1.082543 1.194625 -0.8393681 0.9460586 -0.9538547 0.4120788 -1.048251 -0.5282838 -1.005826 -6.138179 1 -104
-0.4589386 -0.5041595 0.5720497 -0.4566478 -0.1105315 0.2531099 -0.02605047 0.9544426 -0.7417563 1.194106 -0.9500814 1.618644 -0.9051885 0.3450476 0.4415673 0.3474423 1.245021 -0.2883753 1.796602 -0.9554995 0.9157288 0.6894979 1.973179 -0.621281 0.9129549 -1.022377 0.4497504 1.973429 -0.08347566 1.383364 -0.7039871 0.618794 -1.085503 1.161371 -0.8172344 0.7027588 -0.9295794 0.193423 -1.103474 -0.645969 -1.325636 -6.006631 1 -100
1.622694 -0.2138434 0.1081414 -0.1083658 0.08693269 0.2797937 0.1996311 1.173036 -1.106867 1.453212 -0.7479162 1.370299 -0.6852853 0.2256137 0.2879681 0.2472477 1.112842 -0.3174447 1.408804 -0.5731055 0.8087369 0.6686181 1.722076 -0.5841612 0.722745 -1.259765 0.221129 1.631368 -0.0793842 1.038499 -0.9389066 0.03557175 -1.306364 0.8303652 -1.003936 0.1734228 -1.11279 -0.2563091 -1.336188 -1.061334 -1.928751 -2.808113 1 -96
3.118377 -0.03264105 -0.3224577 0.1096572 0.09460413 0.1300818 0.2926751 1.02511 -1.225111 1.333012 -0.3712253 0.714848 -0.2897152 0.161665 0.07988295 0.09705429 0.8871289 -0.3004658 0.7301712 -0.2121513 0.6817992 0.6074211 1.297775 -0.4411247 0.4763697 -1.349374 0.03513326 1.261845 -0.06934131 0.7780316 -1.008636 -0.4490844 -1.377169 0.5195544 -1.101094 -0.2802822 -1.225369 -0.4821279 -1.420842 -1.337464 -1.924377 0.7878233 1 -92
3.072037 -0.08997439 -0.685398 0.05563786 -0.1911564 -0.1811015 0.1553157 0.3702078 -1.151185 0.8193484 0.001937189 -0.2844019 0.0681135 0.144132 -0.1151829 -0.05171838 0.6094606 -0.2401559 -0.05066805 0.06624425 0.5874065 0.593722 0.9123512 -0.2212573 0.2736555 -1.219877 0.03235851 1.128502 0.03088224 0.7250562 -0.8014086 -0.5850783 -1.123911 0.4414425 -0.9174063 -0.3927383 -1.066402 -0.3617232 -1.202804 -1.177516 -1.253336 3.276615 1 -88
2.060059 -0.2872789 -0.7890685 -0.177578 -0.5789334 -0.4369191 -0.1095371 -0.347046 -0.9902354 0.2279323 0.2062995 -1.176149 0.2397991 0.1291844 -0.3220612 -0.1855676 0.3514834 -0.2301037 -0.4304331 0.2208737 0.5735918 0.6176147 0.8342808 -0.06555104 0.4227017 -0.8428941 0.1718466 1.23271 0.2068329 0.9091157 -0.4730273 -0.2989614 -0.7261841 0.5956399 -0.5750107 -0.126203 -0.737381 -0.07596291 -0.8335804 -0.6742568 -0.4449506 2.934996 1 -84
0.8493474 -0.4810278 -0.6301144 -0.4301169 -0.8161108 -0.6492941 -0.3418516 -0.7608252 -0.7058357 -0.179287 0.2579291 -1.428417 0.277312 0.1201963 -0.5537269 -0.2974033 0.1155808 -0.2291036 -0.2252128 0.2381879 0.6032329 0.6251833 1.029498 0.02840945 0.7659905 -0.2225282 0.3077362 1.337179 0.378737 1.166154 -0.1577233 0.2256364 -0.3613698 0.8083977 -0.2557033 0.3027971 -0.4004072 0.2026599 -0.4860268 -0.1316299 0.2137613 -0.1101917 1 -80
-0.2187487 -0.5994409 -0.4767035 -0.606149 -0.9184128 -0.914497 -0.5102063 -0.8231618 -0.3220715 -0.4998676 0.1812589 -0.9519209 0.2005854 0.1143453 -0.8056168 -0.4547732 -0.1240214 -0.1820044 0.1968462 -0.02533155 0.5786304 0.5556411 1.211044 0.07832244 0.9283416 0.3592319 0.3715226 1.234741 0.4589247 1.254893 0.1200573 0.6395525 -0.02763142 0.8598742 0.01998437 0.6181939 -0.06369688 0.4338199 -0.1660833 0.272751 0.6322044 -2.630489 1 -76
-1.421062 -0.6264234 -0.370485 -0.6906191 -0.9903543 -1.125622 -0.612075 -0.6129065 0.0157456 -0.7957522 0.01508691 -0.1494972 0.0105958 0.159453 -0.9549232 -0.6269006 -0.2883706 -0.1465495 0.560497 -0.5502147 0.5519419 0.4385522 1.229132 0.04419024 0.9275662 0.5596976 0.4187436 0.9980133 0.4654843 1.143546 0.347849 0.8435848 0.2976175 0.7310383 0.2898262 0.7303194 0.2755024 0.6369146 0.1579296 0.6059667 0.78496 -3.27805 1 -72
-2.818689 -0.5302663 -0.1868225 -0.6444741 -0.958819 -0.9899371 -0.6034132 -0.3848332 0.2278159 -0.8887268 -0.08745076 0.5424364 -0.1228538 0.2575769 -0.8538613 -0.6529619 -0.3409718 -0.1733268 0.764405 -0.9170167 0.563815 0.3316554 1.064898 -0.0868176 0.8133233 0.3269871 0.4454975 0.7462566 0.43045 0.8477402 0.4167109 0.825078 0.5445331 0.5006704 0.4869275 0.6082438 0.5154337 0.6996106 0.4082681 0.865978 0.8521051 -2.845155 1 -68
-3.843906 -0.3074479 0.05225693 -0.4423661 -0.7224009 -0.4102113 -0.50077 -0.4018738 0.3715988 -0.8157248 -0.09760783 1.020529 -0.1263989 0.3087379 -0.5490689 -0.4920403 -0.3712495 -0.2244244 0.7604523 -0.8527716 0.5096772 0.2155514 0.7222021 -0.2346303 0.4828848 0.02634636 0.3913157 0.4789412 0.3339785 0.4279846 0.3048342 0.6209354 0.6489081 0.2438237 0.5331399 0.3454302 0.5940456 0.5643175 0.506853 0.9736506 1.043395 -2.088863 1 -64
-4.191668 -0.01608829 0.2067645 -0.1494385 -0.3970043 0.2816024 -0.3584766 -0.5635541 0.5221334 -0.7926629 -0.1982529 1.283872 -0.2201056 0.2799744 -0.2265308 -0.2897875 -0.4121736 -0.2609712 0.7843428 -0.5373065 0.3958057 0.08544325 0.3715568 -0.2831299 0.2046713 0.1758197 0.3021541 0.2315769 0.2204108 0.1934382 0.2557035 0.6013939 0.7011861 0.1034655 0.5398294 0.2791616 0.6134741 0.4598739 0.5439618 1.009321 1.300386 -3.050255 1 -60
-3.83752 0.2698898 0.137917 0.1437265 -0.1920293 0.7192001 -0.2126805 -0.5481738 0.5870379 -0.7845004 -0.4591071 1.122491 -0.5334876 0.2120936 -0.03016666 -0.2228933 -0.3915435 -0.315114 0.9660956 -0.2374509 0.3311514 -0.03870059 0.1927817 -0.2311755 0.365973 0.7536142 0.2083611 0.04399836 0.1378604 0.3122588 0.4356085 0.9596237 0.837085 0.100404 0.6768963 0.5318413 0.7111269 0.5616124 0.6664098 1.042338 1.284663 -6.277562 1 -56
-2.544775 0.421884 -0.1005571 0.3186674 -0.07653981 0.8537077 -0.1120552 -0.3419674 0.4927299 -0.6122016 -0.7410237 0.6587584 -0.8998777 0.1451869 0.06903529 -0.2659605 -0.2781995 -0.3989475 1.137618 -0.08521766 0.2861538 -0.168534 0.1371538 -0.182751 0.7975039 1.231184 0.02482683 -0.1004679 0.03056713 0.5235705 0.6449183 1.338153 0.979006 0.1025952 0.8416384 0.8043171 0.8282967 0.7065728 0.8135086 0.9953018 0.9472228 -9.220931 1 -52
-0.5512699 0.4050801 -0.2949434 0.3476793 0.1104435 0.8353885 -0.05356341 -0.1716628 0.3379423 -0.2402708 -0.8248192 0.4088269 -1.04002 0.1305744 0.1918778 -0.2205804 -0.1657515 -0.438622 1.229174 0.0846459 0.1747914 -0.2736548 0.07928056 -0.1734281 1.045407 1.317002 -0.2347537 -0.1978315 -0.1376027 0.5533223 0.6244714 1.394396 0.8801658 0.0388003 0.7536711 0.8394255 0.7479852 0.649577 0.7626991 0.8068981 0.6169065 -10.34767 1 -48
1.205878 0.4263381 -0.3487175 0.4175071 0.3498085 0.8451595 0.06735864 0.01627572 0.1691723 0.2379515 -0.5073561 0.4755505 -0.7356815 0.1634906 0.3508453 -0.03325051 -0.1552121 -0.3790909 1.150571 0.6264331 -0.01399075 -0.317717 -0.08429711 -0.1774229 0.8569862 1.016406 -0.462002 -0.3198607 -0.3328371 0.324176 0.3338226 1.055786 0.4470119 -0.1381978 0.3563475 0.6038996 0.3848951 0.3061228 0.4302968 0.46435 0.2917763 -9.368547 1 -44
1.856013 0.5771669 -0.3312079 0.5939 0.5346577 0.8318139 0.2687044 0.2557442 0.07062589 0.5435122 0.1097823 0.4625856 -0.0867376 0.1609271 0.474612 0.1594278 -0.2537986 -0.2445485 0.6762855 1.341386 -0.265461 -0.3606599 -0.4399403 -0.2087986 0.3554437 0.5090349 -0.6377837 -0.6204284 -0.5137831 -0.1120685 -0.0751677 0.3801476 -0.07829929 -0.465298 -0.1048022 0.1702652 -0.05732602 -0.2142501 -0.003560544 0.01084143 -0.03540745 -5.233549 1 -40
