Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
-1.531706 -3.601414 -2.688339 -3.515831 -4.649227 -2.307508 -2.908159 -1.215704 -2.447644 -1.295265 -0.2922693 -1.873606 -0.3361171 -1.025007 -1.646831 -3.498421 -0.128248 0.2372735 -1.365583 -0.8463371 1.405061 2.013945 0.4986079 1.434982 -0.6513824 -0.4333383 2.678675 2.432879 2.695545 0.4116401 1.611123 0.9258395 3.1611 2.752934 3.270028 1.651394 3.109434 1.669418 3.339107 2.004411 -2.153653 3.108159 1 -168
-1.004096 -3.654873 -2.860897 -3.57424 -4.865844 -2.604683 -2.972762 -1.769575 -2.628703 -1.837695 0.06263835 -2.043174 -0.0006390052 -0.966197 -1.9319 -3.446863 -0.4513709 0.3958565 -1.901712 -0.913966 1.40069 2.195318 0.1689175 1.484013 -1.349197 -0.4663116 2.885472 2.339775 2.881691 0.2979411 1.797341 0.8647274 3.322883 2.68318 3.429295 1.664541 3.276018 1.873593 3.509105 2.190638 -1.778526 4.2997 1 -164
-1.332574 -3.61996 -2.746161 -3.567068 -4.787643 -2.525103 -2.923069 -2.361986 -2.833749 -2.565424 0.05235796 -2.38823 -0.005438582 -0.7937357 -2.022704 -3.177978 -0.6827915 0.5961753 -2.371114 -0.6459828 1.430937 2.343765 -0.07723197 1.485248 -1.755608 -0.6520547 2.995329 2.279873 2.956638 0.2374622 1.900678 0.8769808 3.494054 2.58218 3.627192 1.695965 3.466065 2.090722 3.675559 2.311334 -1.23413 4.971252 1 -160
-2.444401 -3.43642 -2.571774 -3.397893 -4.497231 -2.373222 -2.758924 -2.502211 -2.997214 -2.831608 -0.3551025 -2.186462 -0.4213156 -0.4705517 -1.843091 -2.740625 -0.6629587 0.8124543 -2.078522 -0.2152387 1.577096 2.565546 -0.02221407 1.47024 -1.676871 -0.9329718 3.114029 2.379085 3.026254 0.2082182 1.936894 1.11355 3.67212 2.59993 3.842174 1.693348 3.649056 2.292167 3.836916 2.475725 -0.89166 2.043706 1 -156
-3.513686 -3.23232 -2.545299 -3.17587 -4.21896 -2.543787 -2.589835 -2.348133 -3.051225 -2.421555 -0.9208826 -1.541968 -0.9828205 -0.06087245 -1.519247 -2.269126 -0.4047734 1.042176 -1.165954 0.06194969 1.873418 2.873065 0.3162778 1.399348 -1.317503 -1.120286 3.398877 2.612227 3.144757 0.2551405 1.930753 1.569539 3.795015 2.758127 3.975654 1.767618 3.751398 2.505706 3.949991 2.711467 -0.654362 -4.094034 1 -152
-3.367504 -3.135647 -2.507723 -3.057198 -4.017637 -3.018336 -2.485811 -2.214381 -3.050648 -1.819973 -1.315145 -1.14526 -1.325716 0.2641293 -1.220867 -1.908627 -0.05613855 1.209709 -0.4059224 0.01162322 2.189993 3.112636 0.729041 1.173984 -0.9751155 -1.197321 3.758184 2.824411 3.176983 0.4062056 1.770141 1.970998 3.702006 2.886098 3.879813 1.925241 3.639292 2.677869 3.886815 2.858473 -0.4562302 -9.372456 1 -148
-2.12279 -3.095451 -2.263352 -3.021373 -3.79069 -3.212601 -2.405274 -2.090721 -3.08949 -1.387622 -1.460786 -1.247674 -1.431312 0.4774316 -0.994422 -1.692734 0.2509474 1.228082 -0.2095362 -0.4061882 2.405549 3.192742 0.9981268 0.7924988 -0.8197727 -1.24206 4.006605 2.925888 3.027009 0.5956514 1.395976 2.108863 3.327852 2.863021 3.508625 2.062026 3.286733 2.749976 3.597611 2.780282 -0.400468 -11.19712 1 -144
-1.101295 -2.983714 -1.90014 -2.940197 -3.454913 -2.716782 -2.281158 -1.924371 -3.155025 -1.208242 -1.502891 -1.649177 -1.493291 0.7056701 -0.7735018 -1.553026 0.4481964 1.100503 -0.5639523 -1.106571 2.512273 3.149839 0.9786545 0.3128986 -0.900637 -1.318258 4.078773 2.872344 2.74183 0.6025973 0.9473317 1.849383 2.817898 2.691362 2.994202 1.992266 2.826432 2.627527 3.183231 2.466078 -0.4014531 -8.970712 1 -140
-0.8481912 -2.731222 -1.569497 -2.724427 -3.036108 -1.785544 -2.077748 -1.690458 -3.169813 -1.246754 -1.581359 -2.002742 -1.610882 1.012426 -0.4903667 -1.407481 0.5598226 0.8796241 -1.251229 -1.90406 2.542343 3.064095 0.6605821 -0.1932112 -1.260407 -1.510558 3.998532 2.658989 2.415725 0.2949354 0.5747752 1.212281 2.366736 2.421818 2.532152 1.623487 2.389758 2.270682 2.769317 2.048588 -0.3572564 -3.847341 1 -136
-0.8605818 -2.424932 -1.290058 -2.441947 -2.693964 -0.8733699 -1.871079 -1.404459 -3.042441 -1.192031 -1.748847 -2.013634 -1.800247 1.314028 -0.1858088 -1.254124 0.7007673 0.6228963 -1.746599 -2.593212 2.549901 2.979882 0.3281306 -0.6279841 -1.681399 -1.739919 3.837842 2.423079 2.12014 -0.1032261 0.3042477 0.6012883 2.035312 2.16635 2.197781 1.209279 2.036476 1.876646 2.420597 1.748146 -0.2788272 0.3959234 1 -132
