Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
1.650628 -1.306023 0.3113459 -1.399174 -0.9421484 1.436514 -1.826828 2.068016 -0.3761227 0.7584952 -1.474448 2.516424 -1.378996 -3.033895 0.700782 -3.572848 0.2885947 -3.195103 2.054031 -1.545325 -1.254807 -2.484273 1.161418 -2.356766 3.134187 -0.9253505 1.193968 0.3426018 -0.7764052 2.695716 -1.225708 1.553789 0.3293299 0.4169292 0.2330409 1.93855 0.2923055 1.26339 0.8105028 0.5449131 -5.675151 7.053843 1 -168
0.8610399 -1.258504 0.4030176 -1.357508 -0.9131779 1.179449 -1.927289 1.841962 -0.2549097 0.5809796 -1.154358 2.186677 -1.060322 -2.679111 0.8278627 -3.401807 0.400001 -3.061701 1.414948 -1.123264 -1.017658 -2.217327 1.064025 -2.364929 2.50862 -1.493458 1.309203 0.3356448 -0.8093749 2.37217 -1.61616 1.112385 0.06202661 0.3486611 -0.04931072 1.800792 0.001567916 1.057706 0.5273838 0.3781675 -4.993908 10.1797 1 -164
1.217129 -0.9131235 0.3958339 -1.007098 -0.7622615 1.440361 -1.742491 1.76483 -0.03457939 0.3882996 -0.9823584 1.879916 -0.89799 -2.279743 0.9456469 -3.030414 0.318734 -3.000961 0.5393707 -1.138654 -0.9370775 -1.971537 0.7473163 -2.477263 1.525861 -1.738697 1.349056 0.1170494 -0.8392714 1.58696 -1.995333 0.2544926 -0.2405538 0.0692677 -0.3759869 1.209195 -0.3149612 0.534089 0.1433244 0.1034767 -4.215613 14.36577 1 -160
2.368678 -0.5348784 0.4200195 -0.6351216 -0.5574561 1.924977 -1.418705 1.761176 0.3598456 0.2762892 -1.077713 1.892189 -1.018113 -1.919579 0.9635511 -2.660844 0.1976 -2.98021 0.1786272 -1.418299 -0.9364938 -1.912306 0.5266402 -2.663886 1.018615 -1.519874 1.329593 -0.1239647 -0.9129469 0.9093247 -2.163965 -0.4077343 -0.470235 -0.336882 -0.6395249 0.5457527 -0.5518298 0.05080149 -0.1779043 -0.3011147 -3.41066 16.02655 1 -156
3.283982 -0.3498282 0.4538597 -0.4664466 -0.4160842 2.17018 -1.163944 1.736332 0.9447973 0.3024106 -1.472749 2.403833 -1.44548 -1.629985 0.889039 -2.392502 0.1497965 -2.909978 0.6152173 -1.81532 -0.9108413 -1.953863 0.5669107 -2.795612 1.206641 -0.9949334 1.34181 -0.2153088 -0.9920973 0.7610045 -2.076235 -0.4898035 -0.5287651 -0.6444702 -0.7657164 0.1645302 -0.6400985 -0.08729801 -0.3468632 -0.7118587 -2.536329 13.762 1 -152
3.648311 -0.3306603 0.4394792 -0.4566977 -0.4276217 2.007994 -1.057358 1.66096 1.516884 0.2555225 -1.8428 3.02643 -1.825148 -1.425875 0.7522968 -2.167387 0.03170956 -2.754161 1.165775 -2.036688 -0.9136401 -1.891685 0.607663 -2.757607 1.416168 -0.3888364 1.423977 -0.2353642 -0.9869312 0.8707923 -1.860033 -0.3050689 -0.5248082 -0.7227536 -0.8077396 0.0407565 -0.6529674 0.01739914 -0.4173966 -0.9268932 -1.74679 10.58083 1 -148
3.859484 -0.3277908 0.4131953 -0.4516816 -0.4842777 1.561467 -1.028772 1.624331 1.759463 0.07772081 -1.821369 3.228703 -1.795664 -1.329035 0.6193175 -1.884473 -0.2935517 -2.491901 1.188353 -1.753293 -1.024042 -1.632956 0.3328569 -2.549938 1.145503 0.101424 1.517994 -0.3403461 -0.8549576 0.7546559 -1.63559 -0.2949134 -0.5912672 -0.6365381 -0.82555 -0.03825945 -0.672235 0.04905124 -0.4448627 -0.8538259 -1.420885 9.24434 1 -144
4.363408 -0.2321422 0.3989092 -0.3452774 -0.4234503 1.138161 -0.9338862 1.69454 1.579796 -0.03812429 -1.39776 2.931705 -1.365522 -1.362101 0.4921598 -1.580271 -0.7173346 -2.202883 0.7001804 -1.17896 -1.206536 -1.340435 -0.2147641 -2.328594 0.565397 0.130706 1.549054 -0.5378214 -0.7062878 0.3883541 -1.555538 -0.5352962 -0.7601618 -0.581156 -0.8889158 -0.1534221 -0.7687961 -0.08237705 -0.5190004 -0.6283901 -1.687321 10.34014 1 -140
5.17487 -0.08965025 0.4011204 -0.1827346 -0.2670363 0.9830753 -0.7547119 1.936103 1.22758 0.1711309 -0.9194537 2.548852 -0.8768329 -1.458634 0.3167956 -1.431132 -0.9185129 -2.039878 0.2000598 -0.9987651 -1.295123 -1.241962 -0.6737834 -2.261236 0.144363 -0.4593033 1.492594 -0.7089844 -0.6741471 0.07692757 -1.71853 -0.7998912 -0.9635552 -0.6708482 -1.028349 -0.2304714 -0.9484022 -0.1805928 -0.6839066 -0.5163279 -2.303021 12.62229 1 -136
5.743902 -0.005769556 0.3665436 -0.07598166 -0.2114957 0.8926577 -0.6108276 2.263576 1.01706 0.7614853 -0.6136644 2.230125 -0.5801215 -1.468924 0.1498891 -1.489065 -0.7032896 -1.961904 0.0757263 -1.267227 -1.141986 -1.284943 -0.7937112 -2.250933 0.1883419 -1.218176 1.450029 -0.7620832 -0.6869664 -0.04552613 -1.937227 -0.8918996 -1.042106 -0.814909 -1.12646 -0.3151323 -1.075644 -0.1227587 -0.8015068 -0.5972944 -2.773694 13.53185 1 -132
