Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
4.056348 -0.3253344 0.5205756 -0.5200775 -2.079115 -1.341933 -1.686749 2.314812 2.804636 0.6054115 0.2973488 2.57067 0.3693914 -2.050373 -2.246444 -2.81576 0.1363745 -3.095635 1.056889 0.6527615 0.4050177 -1.26382 1.042801 -0.988956 0.1961056 2.317661 0.7423002 0.4999312 -0.9503031 0.05723875 0.887447 -0.8557459 0.8382624 -1.483418 0.656959 -0.991854 0.5677921 -1.450798 0.3540824 -1.898039 -1.354227 3.447758 1 -168
2.887177 -0.2955158 0.2359996 -0.4853445 -2.292878 -1.43638 -1.755619 2.447461 2.576122 0.4253879 0.09722507 3.242568 0.189992 -2.201607 -2.404565 -3.112725 0.2416742 -3.180577 1.755717 0.4725691 0.6120186 -1.342115 1.215771 -1.09374 0.9159874 2.293845 0.9057903 0.77021 -0.9016358 0.3968855 1.148723 -0.5509355 1.07048 -1.282769 0.9188858 -0.9429532 0.7878364 -1.243091 0.5750336 -1.862848 -1.91263 2.11455 1 -164
1.260144 -0.4161282 -0.04703156 -0.588019 -2.55247 -1.559809 -1.800044 2.281597 2.29486 0.398943 0.03885717 3.369202 0.1318379 -2.373518 -2.637282 -3.356943 0.3265611 -3.218784 2.376497 0.4575155 0.8077716 -1.234519 1.521016 -1.073389 1.797318 2.15959 1.121187 1.093075 -0.7159874 0.8018662 1.375884 -0.09146566 1.362619 -0.8675024 1.198581 -0.7328239 1.048925 -0.9337922 0.8506868 -1.514442 -2.25237 -0.1082295 1 -160
0.1878941 -0.7144474 -0.1233112 -0.8883598 -2.79904 -1.595724 -1.813322 1.935835 1.934765 0.3102216 0.1238227 2.870976 0.1767219 -2.565633 -2.855236 -3.562169 0.3142453 -3.22441 2.615933 0.3075659 0.8741366 -1.03012 1.857273 -1.044713 2.508407 2.046532 1.270594 1.36893 -0.4699788 1.151634 1.496837 0.3675589 1.619571 -0.3444193 1.448439 -0.3972994 1.290788 -0.568661 1.150836 -0.8525543 -2.529203 -1.850882 1 -156
-0.1091029 -0.9680803 -0.1544431 -1.165364 -3.039871 -1.65444 -1.785741 1.684086 1.634831 0.05424972 0.269342 2.232204 0.2784949 -2.786639 -3.039829 -3.826792 0.2326952 -3.195084 2.439557 0.01050845 0.8106808 -0.9601902 2.081316 -1.104626 2.767362 2.082934 1.29909 1.48175 -0.3431385 1.391046 1.51138 0.6601039 1.774699 -0.02136998 1.615029 -0.08648166 1.466478 -0.1568355 1.393376 -0.2501731 -2.853109 -1.669997 1 -152
0.02229682 -0.9208345 -0.3941094 -1.130683 -3.250534 -1.691391 -1.658374 1.738646 1.533475 -0.1700799 0.357852 2.09657 0.3429723 -3.031784 -3.156362 -4.095561 0.1588701 -3.143581 2.169846 -0.3049383 0.7027464 -1.118513 2.128893 -1.292267 2.624596 2.129886 1.19412 1.37377 -0.4438348 1.522074 1.383547 0.724391 1.782267 -0.03628388 1.633021 0.07316327 1.506902 0.18245 1.458061 -0.04676099 -3.271668 0.317131 1 -148
0.7245068 -0.6129628 -0.8464077 -0.7950847 -3.332102 -1.28785 -1.436718 1.98838 1.461132 -0.1026498 0.2594471 2.432674 0.2223852 -3.220156 -3.115643 -4.210492 0.1021077 -3.071644 2.045612 -0.6838679 0.5719333 -1.370117 2.109284 -1.556569 2.401426 1.938392 0.9652315 1.123379 -0.670322 1.52116 1.050528 0.5745139 1.600985 -0.214313 1.450774 0.04910432 1.370887 0.2846559 1.299064 -0.1985832 -3.774542 2.952463 1 -144
2.111454 -0.3179594 -1.161373 -0.4542288 -3.211404 -0.490118 -1.23636 2.243845 1.191703 0.2230543 -0.01316719 2.475611 -0.07299861 -3.21933 -2.8743 -4.05974 0.03462408 -2.894969 1.955252 -1.082737 0.4152477 -1.450039 2.111043 -1.733715 2.34457 1.5027 0.729221 0.9126803 -0.7895857 1.431961 0.5840749 0.3667212 1.279736 -0.2772067 1.147499 -0.03510445 1.107606 0.1816236 1.014791 -0.357484 -4.229773 4.596561 1 -140
3.273124 -0.2704189 -1.14082 -0.3778405 -3.034446 -0.07747039 -1.182039 2.301177 0.8916935 0.4852149 -0.2044495 1.782638 -0.2373044 -3.056135 -2.608892 -3.732491 -0.07902015 -2.568483 1.631672 -1.090489 0.2630211 -1.269319 1.99937 -1.66253 2.341025 1.057867 0.6246341 0.8363363 -0.7008242 1.31735 0.2334218 0.2538838 1.003111 -0.1467908 0.9147345 -0.03154826 0.8685396 0.1010825 0.8009403 -0.240374 -4.311831 5.042685 1 -136
3.153765 -0.5100048 -1.09423 -0.5998507 -3.048284 -0.4797456 -1.301896 1.878824 0.8804671 0.4440683 -0.121863 0.7754812 -0.07965283 -2.905069 -2.536792 -3.517745 -0.2168832 -2.190816 0.9862404 -0.4155629 0.1841595 -1.012398 1.630293 -1.314436 2.077933 0.7828356 0.6988534 0.843298 -0.4712401 1.152483 0.1752957 0.1985069 0.9428838 0.0418419 0.8615244 0.05650187 0.8034446 0.2280049 0.7838545 0.07866625 -3.731616 5.888885 1 -132
