Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
3.26763 1.256855 2.498053 1.093537 1.978493 2.222868 3.903713 0.2363297 3.133441 0.5957661 3.300409 -2.877528 3.252668 1.226794 2.743502 2.666921 1.203349 1.246044 -3.709787 1.83099 -1.253316 -1.196451 -1.740435 0.9069954 -2.253903 0.526741 -3.513891 -2.085489 -1.91216 -2.555202 -0.8860757 -4.838294 -4.27705 -4.341682 -4.322913 -3.449415 -4.220397 -5.17239 -4.672337 -5.914228 4.339677 21.76221 1 -168
3.27296 0.98339 2.173645 0.8399872 1.936069 1.541734 3.919663 0.04267615 3.134499 0.4912908 3.618259 -2.247927 3.576971 1.020133 2.586669 2.446192 0.9927445 1.263452 -3.565781 1.880183 -1.381191 -1.219127 -1.821463 1.101229 -2.560119 0.8410421 -3.454644 -2.146396 -1.770259 -2.698858 -0.6506988 -4.806638 -4.081378 -4.292837 -4.194172 -3.410366 -4.005025 -5.027481 -4.532024 -5.827513 4.35962 21.67151 1 -164
2.777822 0.8317125 1.764137 0.7248822 1.878841 1.136185 3.68184 -0.02157636 2.962271 0.5201744 3.544057 -1.782302 3.530129 0.711328 2.41924 2.097822 0.9022024 1.155283 -3.362418 1.41133 -1.505041 -1.343981 -1.754906 1.177751 -2.49374 0.9952169 -3.440204 -2.102145 -1.700366 -2.584114 -0.4337646 -4.634333 -3.788179 -4.105902 -3.946649 -3.217846 -3.691622 -4.73412 -4.284103 -5.60049 3.923322 22.38229 1 -160
2.520895 0.7935348 1.542376 0.7061554 1.818183 1.304427 3.363314 -0.01886411 2.676553 0.3810176 3.082905 -1.846244 3.12135 0.3698002 2.329197 1.700433 0.869895 0.9102047 -3.385011 0.5835834 -1.596553 -1.507456 -1.56921 1.102677 -2.147394 0.954122 -3.440982 -1.985367 -1.690966 -2.262168 -0.3457791 -4.477723 -3.604504 -3.895804 -3.750923 -2.918525 -3.505987 -4.498539 -4.111186 -5.375727 3.218939 24.58535 1 -156
2.68078 0.9403434 1.660694 0.8409231 1.786387 1.813945 3.168609 -0.04903232 2.603492 0.1825961 2.797087 -2.119126 2.898756 0.03180517 2.290296 1.364412 0.8064177 0.6624808 -3.491786 0.4742175 -1.657574 -1.60215 -1.415577 1.120629 -1.953868 1.142558 -3.461913 -1.913574 -1.638625 -2.126776 -0.2523733 -4.460817 -3.60889 -3.833201 -3.70854 -2.790158 -3.536178 -4.532697 -4.1117 -5.344558 2.744685 25.598 1 -152
2.885102 1.151462 1.992747 1.019482 1.743671 2.165241 3.052541 -0.1511573 2.840876 0.1528874 2.976608 -2.362882 3.086548 -0.2843493 2.211109 1.130751 0.7359406 0.5752895 -3.515131 1.554805 -1.675638 -1.570017 -1.353534 1.453562 -2.060948 1.750596 -3.493445 -1.901617 -1.467007 -2.228685 -0.03768212 -4.521444 -3.72131 -3.872524 -3.77769 -2.885016 -3.662848 -4.79692 -4.215681 -5.51635 2.699905 23.89275 1 -148
2.884655 1.208632 2.095429 1.061702 1.574451 2.019299 2.796071 -0.3701732 3.042464 0.1506443 3.364436 -2.811971 3.420061 -0.5548647 2.032838 0.9171672 0.669452 0.6051555 -3.698515 2.924879 -1.620976 -1.459654 -1.360525 1.900256 -2.235538 2.194582 -3.457672 -1.876608 -1.235531 -2.213936 0.1204005 -4.561142 -3.792919 -3.82255 -3.824141 -2.902341 -3.740299 -5.011516 -4.278462 -5.69663 2.793671 22.74974 1 -144
2.905041 1.164995 1.764133 1.054259 1.377009 1.546403 2.428625 -0.5042586 2.868857 0.03399053 3.482173 -3.361845 3.505165 -0.716156 1.805075 0.7096758 0.6001225 0.61606 -4.123776 3.611787 -1.485746 -1.348651 -1.406339 2.126755 -2.322315 1.923406 -3.317634 -1.797383 -1.066205 -2.007006 0.008416522 -4.606939 -3.829014 -3.648508 -3.829072 -2.741152 -3.784973 -4.990063 -4.246778 -5.733469 2.515649 24.81963 1 -140
3.119528 1.270276 1.44854 1.21423 1.37687 1.259429 2.168648 -0.1830146 2.436543 0.09738456 3.169467 -3.311825 3.17732 -0.6975722 1.694854 0.6247745 0.6710892 0.6606529 -4.114835 3.584861 -1.22358 -1.20333 -1.350423 2.136733 -2.212494 1.245515 -3.092674 -1.636264 -0.9835417 -1.821077 -0.2827189 -4.556847 -3.949259 -3.43705 -3.8926 -2.612309 -3.883541 -4.805343 -4.194721 -5.619637 1.704429 26.00352 1 -136
2.753729 1.486373 1.55443 1.441764 1.501101 1.23773 2.079257 0.3479105 2.139732 0.4424088 2.83949 -2.512816 2.80577 -0.540827 1.737001 0.7102267 0.9329214 0.845138 -3.331493 3.271676 -0.8491545 -0.9823205 -1.120341 2.126854 -1.920739 0.7936376 -2.811604 -1.394142 -0.902218 -1.778955 -0.4537928 -4.264393 -3.966434 -3.237959 -3.869729 -2.61548 -3.873318 -4.577432 -4.07673 -5.379268 1.014092 22.39795 1 -132
1.248412 1.451258 1.898657 1.365093 1.51405 1.074583 2.058878 0.3898931 2.214378 0.6304295 2.814856 -1.748702 2.751845 -0.3648001 1.753753 0.8956972 1.146637 1.088052 -2.587144 2.960765 -0.5364524 -0.774439 -0.9192785 2.156941 -1.804511 0.7361622 -2.558198 -1.167419 -0.8080351 -1.873266 -0.3923219 -3.926673 -3.59293 -3.102196 -3.524658 -2.669307 -3.522934 -4.356269 -3.763909 -5.083778 1.261659 17.66516 1 -128
-0.3308558 1.066941 2.166522 0.9219639 1.421786 0.6479076 2.033072 -0.02666354 2.397703 0.4252391 2.904952 -1.542368 2.83477 -0.2084924 1.685969 1.092725 1.172071 1.23054 -2.413482 2.629886 -0.3594609 -0.6685385 -0.8536019 2.116842 -1.839954 0.7543014 -2.418162 -1.008858 -0.796434 -1.935302 -0.301358 -3.718935 -3.034828 -3.026745 -3.025432 -2.657646 -2.998181 -4.127456 -3.349672 -4.806715 2.077457 15.86838 1 -124
-0.9262555 0.6472527 2.138613 0.4800257 1.34791 0.1560052 1.937294 -0.2940597 2.206095 0.1418275 2.814637 -1.375123 2.71826 -0.01756664 1.662012 1.23028 1.192061 1.209012 -2.173717 2.069614 -0.1705783 -0.643346 -0.6986284 1.923363 -1.554314 0.5798761 -2.319412 -0.7998045 -0.8756534 -1.717611 -0.3120161 -3.392655 -2.611756 -2.871695 -2.636493 -2.454095 -2.5554 -3.808892 -2.95507 -4.462262 2.415649 14.75664 1 -120
-0.6776201 0.4671596 1.856619 0.329037 1.31001 -0.06497955 1.66338 -0.2042854 1.698393 0.1012231 2.42502 -0.7498199 2.296146 0.1876825 1.673532 1.236038 1.330642 1.017668 -1.493912 1.319737 0.07692914 -0.6945764 -0.3553763 1.613366 -1.040242 0.2683408 -2.203095 -0.5066526 -0.9925005 -1.26634 -0.3727611 -2.850831 -2.307542 -2.58161 -2.348392 -2.094525 -2.210038 -3.411935 -2.580888 -4.002017 2.090759 12.04819 1 -116
0.01921096 0.5097977 1.631513 0.4059049 1.233815 0.2401192 1.238423 0.04020962 1.416289 0.1649168 1.83918 -0.06149939 1.728776 0.2360297 1.528451 1.015187 1.394002 0.64859 -0.9620023 0.7954012 0.1635783 -0.9126816 -0.07254779 1.292457 -0.7979407 0.04035783 -2.219976 -0.3524363 -1.163295 -0.8999689 -0.4225804 -2.435706 -2.041631 -2.315613 -2.09433 -1.81519 -1.945897 -3.06169 -2.265095 -3.553599 1.627004 10.18456 1 -112
0.8115531 0.548303 1.492074 0.463472 1.070047 0.7910711 0.848527 0.2750152 1.582047 0.00688076 1.278353 0.2398342 1.243259 0.02053599 1.170177 0.5967043 1.172647 0.1574653 -1.011829 0.6182894 -0.09384931 -1.337553 -0.07350493 1.046465 -0.8966653 0.01922341 -2.472792 -0.4970965 -1.391587 -0.7308785 -0.3903224 -2.30753 -1.748486 -2.198254 -1.843666 -1.666924 -1.713785 -2.799206 -1.967862 -3.149458 1.331918 11.5074 1 -108
1.268157 0.4868181 1.262143 0.4215593 0.8557947 1.092749 0.6036828 0.5108171 1.876459 -0.3591774 0.9737652 0.2206211 1.007032 -0.3418678 0.7551309 0.1819604 0.7567291 -0.2899584 -1.406633 0.5912008 -0.565264 -1.809521 -0.3606313 0.8850998 -1.119623 0.1653782 -2.793222 -0.8092701 -1.599771 -0.6698428 -0.2294412 -2.27751 -1.365078 -2.148678 -1.543238 -1.545961 -1.411971 -2.551696 -1.581648 -2.694962 1.085165 14.47477 1 -104
1.215486 0.4940095 0.9966815 0.4434244 0.6250176 1.051036 0.4865384 0.7949167 1.984481 -0.544998 1.085993 0.25925 1.135453 -0.6891987 0.4133813 -0.1152494 0.4084169 -0.5602284 -1.544033 0.7391935 -0.9754592 -2.127471 -0.7089062 0.7751047 -1.229496 0.502122 -2.932623 -1.04506 -1.701545 -0.6188807 0.03441863 -2.104114 -0.9861448 -2.026142 -1.207482 -1.446053 -1.078258 -2.248436 -1.171277 -2.216439 0.6514232 15.1812 1 -100
0.9318499 0.59185 0.8320109 0.5424126 0.4307508 0.9571696 0.4594971 1.016605 1.915006 -0.3406523 1.407696 0.354348 1.439602 -0.9736364 0.156223 -0.3319355 0.2381366 -0.7116221 -1.236633 1.006497 -1.218447 -2.277765 -0.8379622 0.6576067 -0.9992983 0.9431916 -2.873866 -1.083927 -1.718601 -0.4646481 0.2763622 -1.740786 -0.7525101 -1.822753 -0.9542618 -1.340812 -0.8446417 -1.888547 -0.8976557 -1.832792 0.1073886 12.8796 1 -96
0.6048944 0.611357 0.777227 0.5575028 0.3448059 0.8982849 0.4628781 1.075505 1.793713 0.0168418 1.508661 0.1268255 1.52858 -1.140648 0.002991481 -0.4685547 0.1895599 -0.8274353 -0.8791345 1.200807 -1.291961 -2.288273 -0.6858369 0.5224449 -0.4583018 1.208984 -2.747174 -0.9450819 -1.704612 -0.1718751 0.3385435 -1.323599 -0.6733692 -1.598927 -0.8460764 -1.156222 -0.7534988 -1.502923 -0.7769865 -1.528435 -0.2650367 10.26354 1 -92
0.08228362 0.604975 0.7365865 0.5535541 0.3446124 0.675249 0.4593468 1.098064 1.679887 0.269097 1.361772 -0.2925615 1.380786 -1.16078 -0.005249955 -0.5055482 0.1790888 -0.8950672 -0.6591147 1.399802 -1.212639 -2.139646 -0.4046585 0.4328932 0.08830965 1.20606 -2.576894 -0.7460728 -1.618565 0.1384835 0.2007429 -0.9575672 -0.6935888 -1.386549 -0.8272122 -0.9101406 -0.7793903 -1.146266 -0.7158013 -1.225488 -0.5079184 8.47506 1 -88
-0.4996461 0.6590138 0.5866154 0.6289618 0.3521953 0.424469 0.4249312 1.139316 1.496634 0.4111268 1.148081 -0.6169428 1.166129 -1.120813 0.09578583 -0.5084305 0.1434316 -0.9734764 -0.6158011 1.58139 -1.095459 -1.914428 -0.2117112 0.3795526 0.3713204 0.9241636 -2.325051 -0.6370097 -1.427236 0.2637428 0.01173863 -0.7749022 -0.7005461 -1.221624 -0.782095 -0.7390772 -0.8131117 -0.900184 -0.6314781 -0.9532469 -0.8243649 8.078055 1 -84
-0.7775371 0.5723531 0.4030967 0.5737168 0.3116684 0.3723064 0.2415606 1.145483 1.180357 0.6185436 0.7679492 -0.6757399 0.8060895 -1.08124 0.2043519 -0.5383756 0.1205225 -1.136213 -0.5697771 1.345837 -0.9930906 -1.728061 -0.1079278 0.261299 0.5369364 0.4498163 -1.997395 -0.5657858 -1.180223 0.2260411 -0.03447877 -0.7256995 -0.536802 -1.056274 -0.5865994 -0.6751317 -0.6563972 -0.7287111 -0.4372585 -0.7301574 -1.195254 8.576191 1 -80
-0.713577 0.1913087 0.3660719 0.203276 0.165674 0.2784808 -0.1260524 1.126507 0.8380476 0.9328016 0.2695808 -0.2976336 0.3449808 -1.046725 0.2154309 -0.6091439 0.1527539 -1.313576 -0.1614873 0.6350712 -0.8217059 -1.569783 0.05654565 0.07473803 0.8252585 0.1318457 -1.603551 -0.3574299 -0.9309031 0.2477152 0.1287238 -0.5126693 -0.1846752 -0.7631028 -0.2161849 -0.5538743 -0.2663846 -0.4683475 -0.09910628 -0.4635692 -1.515728 7.410397 1 -76
-0.6639224 -0.3154767 0.3070087 -0.3116561 -0.1053851 -0.04117169 -0.52477 0.9808287 0.5558161 1.035815 -0.1489886 0.1771736 -0.06614518 -0.9637921 0.10764 -0.7287201 0.154732 -1.392246 0.3223411 -0.06976808 -0.554568 -1.347662 0.2132587 -0.03626913 1.018422 0.1437652 -1.112349 -0.03882037 -0.6549332 0.3699042 0.4099089 -0.1088981 0.2406961 -0.3274284 0.2250786 -0.258915 0.2038131 -0.07495648 0.3112944 -0.06566208 -1.593333 4.728446 1 -72
-0.918169 -0.6526408 -0.01387785 -0.6434249 -0.3616973 -0.3246437 -0.7918745 0.7411797 0.2671215 0.8527119 -0.5279406 0.4639076 -0.4926701 -0.7374516 -0.01740686 -0.8169468 0.0840921 -1.323759 0.625321 -0.4803517 -0.2590626 -1.013255 0.2664361 -0.02115203 1.024303 0.3432524 -0.5665305 0.2541559 -0.306905 0.5173828 0.6897048 0.3357992 0.6371287 0.1197074 0.6210341 0.134732 0.6243606 0.3083485 0.6950039 0.3630677 -1.407495 1.708471 1 -68
-1.174904 -0.6745565 -0.4185668 -0.6493644 -0.4443554 -0.3430819 -0.846382 0.7241324 -0.1933649 0.7905827 -0.8693586 0.9000391 -0.9408261 -0.3498466 -0.04159635 -0.7577257 0.07423775 -1.116465 1.147244 -0.8605456 0.07129409 -0.5615185 0.356057 -0.05085465 1.137469 0.4444973 -0.05183901 0.4935206 0.04761828 0.6640373 0.839435 0.8051506 0.9069732 0.475276 0.9080095 0.454945 0.9247475 0.5843281 0.963361 0.6680691 -1.401396 -2.634514 1 -64
-0.9176746 -0.4959757 -0.6692786 -0.4657158 -0.3943831 -0.1263394 -0.7285804 0.8847927 -0.8416047 0.8417745 -1.152061 1.453169 -1.335464 0.08695933 0.01895641 -0.6104869 0.1921499 -0.8437842 1.726625 -1.496957 0.4683293 -0.05261873 0.5365545 -0.2444467 1.221211 0.2431385 0.437225 0.6841212 0.3049205 0.7436777 0.7794325 1.160056 0.9683235 0.7492494 1.022573 0.6303086 1.034413 0.7913841 1.044638 0.8902199 -1.694774 -6.844052 1 -60
-0.2599762 -0.3439243 -0.6623635 -0.3230752 -0.3245868 0.2157017 -0.5888448 0.8347095 -1.356015 0.7098167 -1.359653 1.674572 -1.575627 0.3935752 0.04345788 -0.5025392 0.3340373 -0.5927485 1.869989 -1.968915 0.8352094 0.3788085 0.6743345 -0.4523661 0.966201 -0.04997736 0.8870802 0.8041268 0.4854408 0.7270984 0.6225243 1.306674 0.8926022 0.963742 0.9715431 0.7398269 0.9841408 0.9538965 0.9791679 1.080174 -1.758726 -9.209109 1 -56
