Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
4.984538 0.9099825 0.4947971 0.7988708 -0.1874028 0.7296919 -0.2505998 -1.581328 2.152347 0.2218356 0.9028203 -0.5656616 0.9784535 2.025062 0.7467776 0.1270065 0.5458168 1.014881 1.333495 3.573124 0.3921912 0.8840555 0.3942021 0.475701 1.283988 1.171785 -0.9404762 -1.097371 -0.7428576 -0.3055571 -1.251439 0.4989185 -1.0751 -1.374504 -1.196339 -0.1898887 -1.172869 -0.668662 -1.464608 -1.719589 5.77654 -16.6326 1 -168
4.591362 0.9232346 0.6650376 0.7748541 -0.2213867 0.6794286 -0.08360396 -1.630542 2.372062 0.04948464 1.370016 -1.149397 1.371904 2.011467 0.5953298 0.2230669 0.4531558 0.9917032 1.100579 3.113004 0.3629808 0.8641608 0.3352441 0.4392694 1.328483 1.845795 -0.9571306 -1.261055 -0.748494 -0.4608031 -0.8990208 0.4640349 -0.9600182 -1.433238 -1.152216 -0.317688 -1.092332 -0.6230158 -1.33658 -1.811955 6.071448 -16.85868 1 -164
4.254233 1.069124 0.7571035 0.9010242 -0.118555 0.6642032 0.08812398 -1.507519 2.34277 -0.1190431 1.621056 -1.671364 1.567831 2.160936 0.4837402 0.518851 0.2724297 0.979307 0.5380213 2.156677 0.3669486 0.9937559 0.1538686 0.3380195 0.9711494 2.000882 -0.8591 -1.429049 -0.7365566 -0.7077274 -0.7772118 0.1823974 -0.9667622 -1.53352 -1.176036 -0.4844714 -1.106379 -0.7091131 -1.343577 -1.83172 6.133812 -14.43858 1 -160
4.117353 1.203508 0.6305347 1.045213 -0.007469318 0.6792689 0.1868253 -1.27885 2.21201 -0.3604099 1.505851 -1.936937 1.430527 2.331531 0.377781 0.786067 0.04408995 0.9066579 -0.2289396 1.313617 0.3645341 1.123154 -0.2072689 0.2112173 0.3881284 1.564183 -0.7099718 -1.574438 -0.7679676 -0.949762 -0.8872702 -0.2885644 -1.060374 -1.657801 -1.244807 -0.6287045 -1.189941 -0.8758659 -1.473659 -1.888129 6.001942 -9.206895 1 -156
3.880565 1.252751 0.3641807 1.105345 -0.01457463 0.5447955 0.2731946 -1.302294 2.349887 -0.7732487 1.399076 -1.766228 1.316397 2.417554 0.2147736 0.8695535 -0.22259 0.8232714 -0.677923 1.315965 0.3399304 1.131644 -0.6765059 0.2617632 -0.06086322 1.517323 -0.6040452 -1.741446 -0.8042499 -1.167326 -0.8357705 -0.6615857 -1.059805 -1.837072 -1.221449 -0.8390124 -1.171942 -1.023383 -1.535447 -2.085116 6.210684 -5.506798 1 -152
3.335936 1.215007 0.2141017 1.055281 -0.1492761 0.1995449 0.3005852 -1.668751 2.823385 -1.177771 1.526676 -1.438172 1.463655 2.433636 0.03175564 0.8226793 -0.4911467 0.7976301 -0.7272464 1.907081 0.3008021 1.098284 -1.133201 0.5389984 -0.3045416 2.304589 -0.5011789 -1.945892 -0.7615204 -1.424563 -0.4227936 -0.8313143 -0.908528 -2.032516 -1.084088 -1.159887 -0.999587 -1.109919 -1.415686 -2.262405 6.932557 -5.352246 1 -148
2.617506 1.16327 0.1609174 0.9964419 -0.3757551 -0.2785852 0.1601589 -2.027498 3.254302 -1.379562 1.753979 -1.282855 1.759207 2.456269 -0.1129139 0.7581503 -0.7254038 0.8326849 -0.7350603 2.542049 0.2417751 1.16657 -1.53525 0.9397539 -0.6076231 3.226141 -0.3330956 -2.102104 -0.5644599 -1.792323 0.1617411 -0.9072835 -0.669196 -2.109671 -0.8765724 -1.472608 -0.7420297 -1.13586 -1.145658 -2.120506 7.654727 -6.813849 1 -144
1.970516 1.164248 0.1165679 1.009997 -0.580336 -0.7858507 -0.06545597 -2.140817 3.345127 -1.547866 1.983354 -1.2102 2.060611 2.515493 -0.2182524 0.7430101 -0.9588664 0.9401787 -0.9560909 3.241903 0.1749409 1.347123 -1.958843 1.372348 -1.297461 3.654849 -0.1071754 -2.166125 -0.206308 -2.392628 0.7004349 -1.051861 -0.3912609 -2.02637 -0.5913472 -1.748682 -0.4483361 -1.111191 -0.7782374 -1.634884 7.919121 -7.88536 1 -140
1.511931 1.167776 0.1779377 1.019643 -0.651882 -1.119139 -0.2093759 -2.202596 3.196251 -1.887855 2.254366 -1.302368 2.359076 2.487244 -0.3564606 0.7405414 -1.236351 1.098045 -1.51235 4.242328 0.1033772 1.470361 -2.477995 1.804633 -2.318884 3.623718 0.1101625 -2.234295 0.1954174 -3.200208 1.093678 -1.374392 -0.09172742 -1.913443 -0.2551357 -2.128614 -0.1384156 -1.023159 -0.3529869 -1.111751 7.82605 -7.383241 1 -136
1.329794 1.079448 0.2703848 0.9282833 -0.5968872 -1.188931 -0.1686566 -2.391196 2.98626 -2.277739 2.48772 -1.671706 2.576294 2.231838 -0.5281928 0.664995 -1.521866 1.199357 -2.143466 5.322383 -0.03891344 1.387526 -2.956795 2.20324 -3.07053 3.454017 0.2204696 -2.372483 0.5028697 -3.839658 1.351893 -1.695793 0.2589726 -1.845686 0.08813506 -2.607559 0.1975789 -0.8016096 0.09713791 -0.7600729 7.595856 -5.956749 1 -132
1.668041 0.8731432 0.2507895 0.7270833 -0.4893973 -1.090233 0.06014739 -2.587182 2.725026 -2.548695 2.515073 -1.910978 2.56519 1.783498 -0.6694133 0.5450181 -1.79688 1.164771 -2.436014 5.885192 -0.2967136 1.169644 -3.220314 2.473966 -3.243762 3.20892 0.1675906 -2.528761 0.6515322 -4.071471 1.523504 -1.809525 0.635572 -1.758526 0.4222531 -2.982831 0.5345685 -0.4761785 0.5034108 -0.4792182 7.13313 -4.790943 1 -128
2.525101 0.6607406 0.1197325 0.5311078 -0.4151737 -0.9698873 0.3266304 -2.669802 2.40183 -2.681437 2.372525 -1.747656 2.391828 1.305959 -0.8133633 0.4805354 -2.113358 1.041078 -2.417304 5.746203 -0.5999386 0.9987913 -3.297232 2.568529 -3.194334 2.934745 0.009357864 -2.649149 0.6795675 -4.099836 1.639483 -1.798145 0.9408045 -1.611526 0.730994 -3.144722 0.8249201 -0.2230835 0.7956917 -0.1231858 6.397254 -3.854266 1 -124
3.194791 0.5412334 -0.159356 0.4371075 -0.3944429 -1.051002 0.5000304 -2.733091 2.069077 -2.70829 2.179528 -1.546188 2.198423 0.9425187 -0.9759383 0.5070195 -2.443424 0.9620861 -2.420894 5.286172 -0.8323093 0.9417688 -3.336633 2.553858 -3.290642 2.998863 -0.0984584 -2.679876 0.7324919 -4.145379 1.785622 -1.778601 1.189406 -1.41134 1.035346 -3.141206 1.119147 -0.09060576 1.036669 0.338037 5.705876 -3.01743 1 -120
3.013784 0.3818176 -0.4950454 0.303503 -0.3717676 -1.296802 0.6407413 -2.786689 1.741516 -2.680107 1.810604 -1.678397 1.862427 0.6811241 -1.074831 0.5386838 -2.649431 0.9506869 -2.72346 4.655383 -0.9355634 0.8840213 -3.466113 2.475094 -3.623313 3.332527 -0.0723639 -2.55824 0.8750104 -4.145063 1.992758 -1.726516 1.458785 -1.166259 1.362807 -2.958432 1.454775 0.1425507 1.33971 0.8663256 5.110283 -1.466515 1 -116
2.351029 0.1097832 -0.7272487 0.04873353 -0.3697611 -1.425009 0.7356803 -2.577847 1.348031 -2.704178 1.196118 -2.087066 1.29212 0.4117155 -1.101666 0.4213836 -2.701846 0.8879694 -3.35396 3.728519 -0.9386596 0.7233549 -3.709071 2.297594 -4.085361 3.374456 0.02873954 -2.317171 1.014902 -3.96627 2.164154 -1.608655 1.707895 -0.887899 1.663641 -2.541581 1.732593 0.6560348 1.681578 1.351611 4.189157 1.986443 1 -112
1.788098 -0.1723126 -0.9119453 -0.2232301 -0.5525617 -1.429213 0.4997429 -2.202566 0.8881321 -2.859019 0.6381882 -2.701007 0.7517123 0.09610955 -1.174939 0.1044552 -2.746965 0.7531978 -4.089556 2.748821 -0.8972337 0.5351012 -3.933824 2.09219 -4.385453 3.048579 0.1920487 -2.017788 1.143715 -3.624677 2.267244 -1.422374 1.891008 -0.5139713 1.884624 -1.979635 1.918446 1.351877 1.988994 1.771971 3.047978 6.435997 1 -108
1.166231 -0.4326328 -1.130955 -0.4735395 -1.005853 -1.423831 -0.1893444 -2.06773 0.4776971 -3.001886 0.3118476 -3.418875 0.3921461 -0.2169228 -1.351877 -0.3010884 -2.841833 0.6349739 -4.551526 2.040855 -0.8076141 0.472431 -3.908324 1.98354 -4.243536 2.642089 0.4826876 -1.636374 1.377753 -3.163509 2.296714 -1.087747 2.044025 0.03975475 2.040915 -1.352344 2.096717 2.039682 2.257372 2.292779 2.224427 9.292707 1 -104
0.5426646 -0.597638 -1.297531 -0.6200177 -1.497962 -1.352664 -0.9364576 -2.040473 0.1106171 -2.931179 0.08987284 -3.732086 0.1174763 -0.4645406 -1.515293 -0.6339396 -2.86803 0.5580145 -4.425095 1.539587 -0.6753401 0.5506534 -3.545934 1.871368 -3.703507 2.053675 0.84219 -1.197481 1.679718 -2.591671 2.080566 -0.5743589 2.108607 0.6297683 2.114545 -0.6760393 2.198716 2.562409 2.427236 2.905188 1.559669 9.334588 1 -100
0.2338021 -0.6389623 -1.350741 -0.6374554 -1.744705 -1.31718 -1.346564 -1.79506 -0.2538705 -2.733528 -0.06765854 -3.280995 -0.05928728 -0.6025565 -1.531168 -0.8483216 -2.717926 0.4860544 -3.808995 0.8578274 -0.5557838 0.5966541 -3.031421 1.59564 -3.075555 1.187672 1.142891 -0.807416 1.868544 -1.975889 1.596285 -0.0465345 2.072737 1.01204 2.103931 -0.08214135 2.145779 2.864758 2.462463 3.323438 0.7633892 7.995798 1 -96
