Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
0.9274904 1.535498 0.828629 1.304285 1.206215 0.3781441 3.154287 -0.3976072 1.433185 -1.501424 1.779567 -1.26784 1.816712 -1.076047 0.4150946 0.6182309 -1.116704 2.542917 -3.105599 1.332125 -1.674584 -0.0007683797 -2.298931 1.971925 -2.860742 1.268803 -0.8278837 -2.880953 0.1023355 -3.451107 1.3271 -3.671234 -0.9631039 -3.208112 -1.061926 -3.43959 -1.002045 -3.020137 -1.198211 -2.000423 0.8409739 17.24149 1 -168
0.4198964 1.642583 0.6044953 1.437091 1.110615 0.500116 2.837925 -0.2314877 1.5683 -1.561218 1.670237 -0.7529221 1.676126 -1.195063 0.1718495 0.5539429 -1.255228 2.396439 -2.845492 1.060177 -1.681302 -0.1630413 -2.152078 1.867987 -2.649291 1.117769 -0.8485979 -2.67137 -0.01912428 -3.304823 1.176368 -3.663281 -0.8631881 -3.113209 -1.01498 -3.43115 -0.9298694 -3.052222 -1.157647 -2.031003 0.7314466 18.04427 1 -164
0.1247322 1.608304 0.5596516 1.399661 1.107649 0.7160768 2.589143 0.2401884 1.45858 -1.41251 1.412938 -0.3826144 1.370311 -1.421004 0.04096114 0.3747614 -1.243332 2.115629 -2.598623 0.5644993 -1.66331 -0.4980267 -1.938012 1.666829 -2.133587 0.7425661 -0.947727 -2.467077 -0.255753 -2.942855 1.027757 -3.69939 -0.9262629 -3.043086 -1.063683 -3.455957 -0.9586164 -3.013115 -1.232384 -2.307843 -0.04393635 20.5285 1 -160
-0.2665938 1.374594 0.3485255 1.174269 0.9593183 0.7656741 2.411946 0.4305854 1.138589 -1.331865 1.194185 -0.5542362 1.147107 -1.709799 -0.1264111 0.1600995 -1.329068 1.845404 -2.625079 0.4634206 -1.67484 -0.7587818 -1.778742 1.518525 -1.614554 0.3656125 -1.01949 -2.30804 -0.3085106 -2.539229 1.027009 -3.677872 -0.8860044 -2.815089 -0.9656511 -3.345599 -0.8695174 -2.881894 -1.183824 -2.390503 -0.8436978 23.48001 1 -156
-0.6252943 1.033558 0.07791781 0.8658493 0.7135913 0.6825173 2.255862 0.3933367 0.764814 -1.231084 1.00614 -0.6714671 0.9952158 -1.883927 -0.3267568 0.02772079 -1.470628 1.698053 -2.463898 0.7849856 -1.608721 -0.7350115 -1.574302 1.498748 -1.269612 0.07197045 -0.9639473 -2.020606 -0.06090311 -2.279362 1.152187 -3.430721 -0.6142964 -2.352324 -0.6526002 -3.11179 -0.6055041 -2.680594 -0.9114048 -2.072659 -1.329519 22.92441 1 -152
-1.002577 0.6706541 0.0320586 0.5407927 0.5360992 0.6329973 2.027937 0.5414184 0.475041 -0.9033411 0.7058906 -0.02582112 0.7214508 -1.894511 -0.5173732 -0.029147 -1.433429 1.631357 -1.650819 0.9874436 -1.380061 -0.5467242 -1.164935 1.46569 -0.9025988 -0.3260262 -0.7753017 -1.512736 0.2850653 -2.019912 1.177314 -2.894885 -0.2803716 -1.769962 -0.3360194 -2.790546 -0.3065812 -2.381839 -0.5670564 -1.563261 -1.687732 18.23238 1 -148
-1.55431 0.3239714 0.07049826 0.2207319 0.3839655 0.5687428 1.760695 0.8133202 0.3626994 -0.4345665 0.2908069 0.9349236 0.3035358 -1.915323 -0.7412271 -0.1716129 -1.214949 1.533397 -0.6082417 0.8511622 -1.110085 -0.4753363 -0.6702065 1.329541 -0.3464058 -0.8053336 -0.533254 -0.9660799 0.4633123 -1.625062 1.07108 -2.307252 -0.01091827 -1.265016 -0.1129495 -2.492201 -0.06851504 -1.977337 -0.2917449 -1.157892 -2.062151 13.63565 1 -144
-2.01388 0.002084255 -0.1052175 -0.08699702 0.08466273 0.3610235 1.524022 0.9247785 0.3014006 -0.1038932 -0.01740199 1.062175 -0.0151836 -2.078559 -1.029006 -0.5251668 -1.063823 1.364481 -0.146384 0.7925732 -0.9527121 -0.5784488 -0.3377236 1.25877 0.2832585 -0.9461105 -0.30867 -0.5762373 0.4929231 -1.188028 1.068724 -1.943973 0.1551052 -0.8914064 0.05385887 -2.312467 0.09762911 -1.556355 -0.0878256 -0.9144639 -2.486182 12.43861 1 -140
-2.116438 -0.235695 -0.5378206 -0.3159191 -0.3827247 0.07724898 1.29095 0.7961341 0.1115718 -0.1301061 -0.07551897 0.01608994 -0.07449139 -2.267586 -1.354101 -0.9587684 -1.1612 1.170958 -0.6148219 0.9580926 -0.897846 -0.6685468 -0.3013451 1.317462 0.5508106 -0.4794518 -0.06824324 -0.3619767 0.5904369 -0.9256853 1.266182 -1.890481 0.2499682 -0.5862672 0.2093004 -2.220104 0.2515898 -1.250356 0.1112078 -0.6681541 -2.812668 14.38835 1 -136
-2.093709 -0.4114535 -0.9067258 -0.4949115 -0.8107948 -0.06193321 0.9475037 0.5180889 -0.1490926 -0.4560391 -0.1595961 -1.480041 -0.1352572 -2.268381 -1.607036 -1.234534 -1.428906 0.9441322 -1.661587 0.7804484 -0.8363767 -0.6036245 -0.46878 1.270449 0.3095986 0.0945529 0.2494522 -0.2140177 0.7796078 -0.8716702 1.407233 -2.02065 0.381817 -0.2619237 0.414257 -2.090018 0.4413822 -1.050558 0.3406386 -0.2589699 -2.815423 17.97283 1 -132
