O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
-19.24224 -8.853048 -15.97935 -21.58981 -31.74916 -17.5317 -20.04747 -14.70683 -14.008 -14.41823 -13.48485 16 1
3.009959 -8.865648 1.543832 15.05037 5.909961 18.46385 10.10014 9.01062 8.569197 10.8284 9.329317 16 1
15.68096 -16.97449 1.659874 17.95148 18.9375 20.2929 21.74475 8.36281 10.87829 6.717669 9.466299 16 1
-27.02109 -1.895049 -11.93288 -12.45282 -24.48503 -12.25615 -18.1974 0.4402606 -5.320647 1.161984 -0.9367439 16 1
-4.843571 -6.658286 -8.157452 -21.82983 -6.250485 -21.09886 -3.859451 -4.606576 -2.410838 -5.935561 -4.999751 16 1
-10.69739 5.25484 -2.477453 -4.00611 -3.382567 -14.20543 1.884843 -6.307843 -8.828101 -5.879345 -6.036514 16 1
2.857982 17.33795 7.880709 -2.134378 -1.511102 5.958116 -15.64129 -0.6100739 0.5863224 -1.516754 -0.3208986 16 1
-29.0026 46.94394 4.673868 -19.67181 -33.06319 -22.1174 -23.54158 -16.56417 -22.09282 -15.85035 -16.35865 16 1
-0.1903579 3.80834 2.991921 4.03162 -5.153836 9.083644 0.8887924 8.213778 6.567216 7.61342 7.7988 16 1
8.143473 -21.99842 -4.159024 17.28899 15.0037 5.212903 9.807693 -4.4769 -1.35232 -5.417387 -4.025794 16 1
4.928384 -21.36962 -8.129698 -8.259822 -6.320735 -12.50187 -0.6514193 -0.9115304 -1.851944 -1.130411 -1.430557 16 1
7.299516 15.16694 12.2872 19.49809 8.830111 13.45916 2.849852 10.26157 10.17879 10.00441 10.61262 16 1
2.914427 -7.990614 0.08262656 7.564139 0.1024936 5.543741 -3.34757 10.03219 9.684734 9.764565 9.911646 16 1
25.12914 -35.8387 4.331635 30.63927 26.67776 25.43352 14.03201 18.07631 18.63389 18.45516 16.41734 16 1
27.32702 -17.72687 12.40104 42.07397 32.93494 39.87036 22.46282 28.39158 29.96645 31.19714 30.36312 16 1
2.074595 -11.97476 -8.45699 -2.305708 -2.547436 0.7268129 -5.215596 -23.57385 -16.28623 -26.84175 -23.1287 16 1
28.03683 -22.36429 4.640854 3.965389 13.52878 13.81141 12.57717 22.36881 22.82207 20.66844 21.21093 16 1
-12.42955 20.89578 2.231768 -5.39467 -18.71849 -11.16009 -17.9432 -7.195699 -5.926988 -6.63336 -7.9891 16 1
-13.81019 -0.9854999 -7.186867 -5.177419 -16.98845 -2.755813 -13.90942 -6.713702 -7.647775 -6.047821 -7.286391 16 1
31.37774 -20.55215 8.002487 13.25908 16.43141 6.101516 12.04311 14.07769 19.13536 14.42909 14.36165 16 1
8.565106 13.457 10.76912 7.613147 18.86244 4.063653 5.839972 5.669389 4.53309 6.500313 5.391012 16 1
6.365028 8.101069 9.552057 24.11121 18.88286 8.066882 5.628982 2.360924 2.088285 3.544702 1.806902 16 1
-12.81565 -0.7232955 -6.932143 -15.40256 -19.65093 -9.845667 -11.38166 -2.902014 -5.934274 -3.034681 -3.142098 16 1
3.031619 -28.44091 -14.14285 -0.6737683 1.428975 3.638353 -11.11135 -16.78465 -16.62607 -18.12837 -16.43966 16 1
17.88557 -20.35299 2.498392 22.51683 22.0307 22.88801 20.98637 15.58732 16.05803 15.93332 15.91844 16 1
16.74321 14.74929 14.26249 4.500657 9.999765 5.156296 -4.498152 14.10564 14.71645 14.25672 13.26204 16 1
-11.5448 5.639118 -2.81788 -3.091793 -9.898933 -10.90013 2.605001 -7.526788 -7.375316 -7.25863 -8.297515 16 1
-40.44199 29.81423 -7.405558 -20.39119 -38.36431 -21.47192 -28.94813 -14.89938 -19.82166 -14.05749 -14.97777 16 1
30.01989 4.438009 20.83124 16.34611 29.1231 23.6588 11.73904 28.33174 29.557 29.34069 27.67398 16 1
9.701136 -24.18428 -3.125113 4.318031 9.718976 8.757342 10.30241 10.70659 9.812556 10.7738 10.33412 16 1
5.110955 9.003543 6.844392 9.677315 4.629909 0.5169958 6.336748 0.5524958 -0.8655509 -0.6609924 -1.11619 16 1
-1.595095 -26.13056 -12.13871 2.168609 6.825606 -0.8297899 3.905147 -7.972467 -7.001134 -9.045491 -7.06981 16 1
-20.46669 8.19619 -9.668316 -5.788325 -16.51461 -9.282363 -15.24685 -26.27144 -27.38847 -26.84959 -26.84065 16 1
-2.854569 -10.99535 -8.49589 -4.570993 -3.525375 -6.00427 -3.652835 -11.56455 -9.759738 -12.64688 -11.18634 16 1
17.58335 -27.08254 0.5114328 9.752529 9.792163 10.75508 12.7905 34.21003 12.00298 17.12038 28.4318 17 1
26.58703 -11.02503 9.565947 3.176528 4.816201 3.520547 5.891109 33.70475 33.35112 18.17974 38.89211 17 1
39.47266 79.36586 58.40475 9.83728 9.926382 9.101016 12.26792 71.23997 61.51736 47.39253 63.16494 17 1
-3.454458 18.21859 2.953813 -2.701953 -2.488921 -1.585078 -0.8933496 -33.44492 -35.68987 -19.30486 -19.99499 17 1
-2.704868 -43.50557 -17.9283 -19.70016 -19.07905 -18.21566 -18.8878 16.40292 8.48337 10.70856 17.08093 17 1
-43.75872 17.03947 -22.27202 -2.587954 -4.0721 -1.403677 -9.081494 -62.49187 -47.48989 -44.94043 -74.94032 17 1
19.40363 -21.7819 7.011108 1.469678 1.307348 2.063111 1.724399 48.09144 37.38634 40.09103 38.69846 17 1
18.66684 -18.18765 7.168069 10.6229 11.11427 12.27892 10.60153 55.22086 53.99017 35.43716 38.99397 17 1
-17.69258 32.85508 4.128148 -19.61454 -18.78447 -18.53005 -17.91163 -2.239043 -8.052802 -0.8275684 -12.90934 17 1
12.20787 21.03475 19.49301 -4.079653 -4.755708 -4.712598 -3.125029 44.27999 -2.063792 13.52528 35.53256 17 1
-4.569988 0.4708008 -3.414824 -12.11898 -10.67345 -12.05837 -8.931841 39.61159 51.72591 15.46297 8.905158 17 1
-2.791836 0.9707861 -2.508871 -12.15004 -10.20476 -8.667203 -9.427154 6.056968 23.44371 1.399067 -1.169001 17 1
10.29689 -71.90587 -21.59121 19.38851 17.93255 19.76044 18.64852 -2.758647 -5.416397 12.60277 -0.8936377 17 1
-11.12762 32.46957 6.811638 3.996035 3.144585 4.213301 2.886592 -18.59928 -8.946528 -12.87672 -14.96387 17 1
-2.709014 -2.905361 -1.524545 -7.141631 -6.713056 -6.20916 -7.328257 11.54878 7.887465 7.623584 2.263626 17 1
3.907426 -4.276123 -0.6102913 -2.578027 -2.841524 -2.527138 -2.679575 -7.654565 -11.78461 -7.117545 2.754993 17 1
23.75217 -4.887402 14.58552 3.223672 3.332446 2.138135 4.019751 59.43713 45.06606 32.17055 48.66479 17 1
-15.51018 47.44935 5.931344 -7.218852 -5.718247 -6.265972 -6.769009 -34.50948 -42.12128 -22.98214 -46.01352 17 1
-1.42293 -1.303892 -3.030865 -4.360435 -3.097065 -3.066821 -1.381894 -17.24404 -21.9585 -18.96687 2.009998 17 1
12.31724 -17.49874 -0.6155645 13.07604 12.73422 11.88738 12.62681 3.93415 2.554604 2.346118 3.826455 17 1
-12.37619 13.46849 -2.143197 -12.77353 -12.51288 -13.56701 -12.19521 -0.01354003 14.3805 0.9899805 -16.79186 17 1
-3.328081 -6.893804 -7.157859 18.94791 17.8914 19.9828 16.26509 -28.27927 -24.30047 -12.82303 -34.37149 17 1
0.3502173 -13.64595 -6.971148 -9.883041 -9.555742 -9.340249 -7.961337 10.18696 11.73846 9.586387 1.903506 17 1
25.26016 10.4053 15.76402 14.065 16.03368 14.41754 17.5776 8.356622 13.4517 7.213534 13.0783 17 1
-10.8007 14.85732 6.339673 -13.78897 -13.205 -13.7574 -12.70828 6.454204 -8.980088 -6.047007 16.32838 17 1
-10.96216 47.03777 11.14179 -7.461885 -8.285303 -6.871362 -7.646035 -11.03733 -14.23807 -14.78652 -7.787486 17 1
-8.507944 49.69946 13.01901 -19.46738 -18.613 -19.00806 -19.73587 -11.8855 -12.8115 -14.82773 -8.631224 17 1
-2.370142 8.197715 -0.6931685 16.50328 16.31642 16.91075 17.45163 -27.49716 -19.37686 -16.83028 -27.79356 17 1
-3.456167 -25.85731 -15.57392 -0.8324804 -0.1988281 -1.69521 -1.370737 -27.43959 -24.77205 -17.9449 -19.27201 17 1
25.36017 -3.736226 13.62615 8.625692 10.35272 10.3091 14.21862 34.96899 44.57757 19.221 33.28607 17 1
22.83438 -0.542046 12.6864 8.545429 9.664634 3.637964 10.94633 35.54309 27.51303 15.69938 15.77081 17 1
-5.218174 13.36598 1.965924 12.76848 14.09673 14.91465 12.62583 -47.13892 -77.09304 -34.45435 -13.77343 17 1
-0.4671289 -6.142212 -3.224191 3.652592 3.063989 4.0246 2.742622 -1.01999 -16.00164 -0.3231543 -11.26641 17 1
-8.498564 -47.56982 -23.76528 1.674136 1.099688 2.654805 -0.3468213 -9.785327 1.349707 2.06002 -24.99081 17 1
3.747222 -63.33567 -23.40313 5.003535 5.388393 5.384824 4.665776 11.76205 22.13006 11.00447 -3.345957 17 1
17.19152 -80.23869 -22.4541 29.48787 29.61895 30.42641 29.42157 10.68587 14.76845 15.65011 18.86814 17 1
-11.84258 -217.9465 -97.08881 2.150635 2.435303 3.736953 0.8124121 -1.485791 1.068784 -0.0905128 -29.75971 17 1
-29.33789 42.01301 -3.731744 -21.77844 -21.5006 -22.37045 -22.32667 -61.13159 -31.64254 -35.67796 -26.8104 17 1
-4.794393 0.1555126 -4.083828 -6.989722 -9.306558 -7.601011 -8.870903 -1.9702 -2.234131 -6.262193 -11.91571 17 1
18.58553 -9.596861 1.844617 -5.960616 -4.074751 -4.527017 -2.657144 10.93876 21.97065 2.496074 29.02753 17 1
25.51938 -34.67107 3.540569 3.450444 4.295596 2.764365 5.280698 42.12361 28.71155 35.51982 39.91938 17 1
