O1_amp O2_amp Oz_amp PO3_amp PO7_amp P7_amp PO9_amp PO4_amp PO8_amp P8_amp PO10_amp O1_lat O2_lat Oz_lat PO3_lat PO7_lat P7_lat PO9_lat PO4_lat PO8_lat P8_lat PO10_lat ID emotion
1.488104 -1.193213 0.7638962 0.7960624 0.6266727 -0.6570382 -0.2569903 -1.340464 -1.324038 -2.086998 -1.265652 184 180 184 184 184 184 184 180 180 180 180 16 1
-0.7290932 -4.903609 -3.244382 -1.15735 -0.6607389 -0.5727824 -0.5175134 -5.053091 -4.980795 -5.135406 -4.124074 184 168 168 184 184 184 184 168 168 168 168 17 1
0.6500633 -1.352994 -0.480234 -1.191186 -0.369416 -0.441582 0.7684965 -0.4235127 -0.1633876 -0.009308663 3.526983 184 168 168 180 176 176 168 168 168 168 184 18 1
0.5701164 -1.719754 1.193048 0.4917719 1.855045 1.531287 1.660903 -1.720162 -3.388321 -3.452496 -2.139832 168 180 168 180 168 168 168 180 180 180 180 20 1
1.273527 -1.509624 0.1173302 -0.06077995 1.961599 1.704497 2.427805 -1.408939 -1.647227 -2.227571 0.3056576 168 168 168 168 168 168 168 168 168 168 168 21 1
-0.7260765 3.98599 2.428859 -1.709999 -1.663231 -2.186253 -1.814571 2.224337 -0.2895413 2.179157 -0.2537035 184 168 184 184 184 184 184 172 184 172 184 22 1
-1.621299 5.72339 1.660351 -0.4375596 0.04182371 -0.4234266 0.0352337 -0.4156412 -0.5689327 -1.195814 0.08099326 184 168 168 180 180 180 180 184 184 172 168 23 1
2.285224 -11.42798 3.705888 2.96796 5.391958 2.260095 3.027859 -3.950792 -3.913553 -4.458576 -3.91227 180 184 168 184 180 168 184 172 172 172 176 24 1
3.809273 -11.02391 -12.02157 9.359531 9.342049 9.285394 9.457155 1.577862 1.744184 1.865806 1.625301 172 168 176 172 172 172 172 168 168 168 168 26 1
-0.03491759 -1.23705 -1.012151 3.296807 3.451199 0.6588734 -0.1147549 -2.637704 -2.200775 -2.2975 -2.707508 184 184 184 168 168 168 168 168 184 184 184 27 1
3.451142 3.472566 3.228994 3.185651 3.003658 2.886023 4.495353 3.531536 3.416647 3.182393 3.467098 180 168 168 184 180 180 176 168 168 168 168 28 1
8.352074 2.582217 5.780012 6.914464 7.211825 6.742541 5.439446 1.390631 1.385837 8.214296 1.327311 168 184 180 168 168 168 168 168 168 168 168 29 1
6.134284 4.80358 4.566599 3.749237 2.643126 -0.0241718 2.980562 4.805671 6.351273 1.091093 3.503897 180 168 180 180 184 176 180 168 168 168 176 30 1
