O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion
18.65838 3.771461 16.19622 12.2268 14.94122 6.038129 12.34962 1.236732 0.901261 -16.3257 1.301112 16 1
-9.261897 -1.106621 -7.676862 -2.747474 -14.7894 -22.78241 -16.07718 0.2205949 0.2423169 3.501847 0.6931586 16 1
12.14288 8.698129 13.40773 13.809 8.557718 -3.748909 7.244637 8.168058 8.035767 15.46214 8.279418 16 1
-22.50886 -5.218264 -30.72461 -27.34154 -10.89665 -10.31015 -9.692014 -3.046451 -2.001259 16.73619 -0.463417 16 1
12.99321 -6.112751 6.850849 5.80406 16.68854 15.20571 11.79545 -7.743466 -9.703764 -15.96525 -9.479203 16 1
7.46087 -9.780396 12.73554 7.718699 5.539621 -0.2298824 3.016191 -9.696969 -10.12156 -15.4423 -9.888554 16 1
-9.181864 -20.62331 -18.78967 3.583021 13.05619 13.96145 -0.1287761 -19.3128 -19.48713 -9.02828 -19.54892 16 1
30.84134 21.86255 39.18663 14.69609 12.53074 -3.390874 13.92595 18.06094 18.24179 6.999467 18.98279 16 1
-6.323588 -20.05393 -12.63343 -11.85716 0.199316 0.5602172 -0.3421651 -18.46659 -17.8172 -14.81693 -18.61353 16 1
13.15566 -2.565879 3.817924 6.8403 18.73381 21.17152 21.61238 -4.319675 -4.269549 -12.73248 -3.251083 16 1
10.61628 4.003066 6.370002 27.14264 18.87699 16.32476 10.71347 3.317457 2.743488 -3.499698 2.477585 16 1
-0.6309866 -14.96112 -12.29879 -13.21882 6.385607 8.615075 4.70515 -15.11067 -14.53303 -5.623964 -13.89186 16 1
-6.116949 -10.55117 -15.60753 -4.543243 -9.066412 -8.64514 -8.884398 -10.81095 -10.97402 -11.96926 -11.43012 16 1
-5.15747 -15.07607 -10.79908 -15.79274 -6.300376 -10.87872 -7.103991 -14.1725 -13.9308 -11.46444 -13.72161 16 1
-19.73318 -11.03016 -20.06628 -19.89501 -6.316749 -0.539768 -6.580789 -7.079788 -7.689414 3.857918 -7.226624 16 1
15.82401 8.702497 10.10994 5.587648 2.985145 -1.706754 3.040488 7.477804 7.575262 5.139574 8.735559 16 1
-8.014511 -0.7620958 -10.03861 -3.851808 3.867615 9.671992 6.380103 -0.4961928 -0.4685722 -2.946529 0.5459006 16 1
-16.29443 -13.76429 -9.131106 -15.62807 -17.36704 -12.52223 -21.3481 -12.52926 -12.87651 -2.369987 -13.52279 16 1
14.73723 15.75797 13.26275 11.48354 12.74003 12.1865 18.15633 15.06242 14.77791 16.523 14.71522 16 1
15.91653 7.315376 24.6678 11.2221 16.91218 6.494318 11.40208 4.435697 4.020062 -12.70986 4.027472 16 1
12.59532 6.64738 9.511332 16.05115 -8.19281 -4.918935 -0.5216203 5.437672 4.381366 -4.735266 3.859725 16 1
-5.571782 -16.15258 -20.4924 1.599751 8.882325 13.74829 5.571435 -13.37324 -13.24049 -8.172154 -12.21801 16 1
-2.396509 -2.725241 -5.039723 4.029043 6.625789 10.34896 2.730094 -2.041488 -1.425593 6.315966 -0.8351886 16 1
35.28006 20.90105 30.76281 21.83389 23.59883 5.073884 25.06617 17.77947 18.14 6.916373 18.73997 16 1
9.792764 5.625357 20.3295 -0.8864542 9.849156 3.978664 7.649282 5.131923 4.914492 0.8741412 5.560883 16 1
4.519604 3.869628 3.666006 0.5454229 -5.213377 -4.139241 -2.945767 1.781903 1.227392 -9.008926 1.367104 16 1
4.182517 5.684337 -0.9016412 8.417581 7.176389 -6.082914 -3.068405 8.122656 7.794979 14.07576 8.146608 16 1
-18.07578 -12.2945 -20.30802 -16.06228 -10.96242 -16.61873 -17.00178 -11.49431 -11.3002 6.014289 -11.36988 16 1
-15.21992 -25.65279 -16.70272 -14.21258 -18.88275 -10.44899 -16.25991 -24.5324 -24.89687 -28.82137 -26.24998 16 1
9.450231 -5.243793 11.08605 13.05569 -0.9527591 3.831152 -4.526457 -6.443862 -7.561661 -10.9596 -7.978782 16 1
7.743299 8.143956 0.8562536 8.67921 6.062552 0.6612162 1.789306 8.250061 8.3053 -3.339034 7.333771 16 1
13.2575 9.749997 21.01963 9.756742 19.17474 3.969754 15.08504 9.014899 8.820948 6.635124 8.876283 16 1
4.16843 -10.56602 -8.7078 -4.325537 18.87745 13.8166 13.09003 -8.123818 -7.837709 1.298173 -7.706386 16 1
