Row base expr
Fp1 5.92864458786204 1.91947700675201
Fp2 7.04077210710867 1.82698828616322
AF3 6.87652903513633 1.86597948986147
AF4 7.03796483559506 2.11686693236232
Fz 7.04245506982894 2.99086737910623
F3 6.32564064769787 1.85426831502834
F4 6.61468728719371 2.7509525811576
F7 6.39537033005644 1.25594974591457
F8 6.00242432839852 2.26198483313577
FC5 6.58521404602499 2.10791826581154
FC6 6.99286376964925 2.9566855697977
FT7 5.90931179009177 1.05338377015901
FT8 6.09085084239467 1.81029547094306
Cz 7.01910693974954 2.65179020528305
FC1 7.6023366659705 2.81332101464136
FC2 8.12343113526254 3.25770915099123
C3 6.92411801276528 2.26796834289511
C4 5.76843009160263 3.04874868970545
T7 4.15261558653399 0.879351361507903
T8 5.61293423992739 1.87193389123277
A1 6.57439554010813 2.2736797737214
A2 6.24481927571629 2.21041306228288
CP1 3.8959768685959 1.40600670488082
CP2 4.5282446524316 2.57486393474566
CP5 3.8946248984657 1.40827555273167
CP6 6.00609730314356 4.18803812708045
TP7 7.82148465119413 0.900206241174931
TP8 6.92117201777373 1.96170419207961
Pz 8.227565006427 2.58109380018673
P3 6.72455610715641 3.49646856085195
P4 7.8139968541938 6.55733922437036
P7 11.5560452655661 4.71826609991173
P8 11.7540462942352 7.03013688882262
PO9 14.4317935953403 3.06444182492119
PO10 14.3110463544237 4.24304069310801
PO3 10.8710315974686 4.49623084963352
PO4 11.876886870413 6.34442291291424
PO7 17.3822385555557 3.90306573673865
PO8 17.6157248371741 4.80291027085223
O1 22.2945053388499 3.30356365370281
O2 4.13399151774912 1.29555591308076
Oz 5.5163761339939 1.60010657935208
