"twent"	"fort"	"sixt"	"eigt"	"oneh"
"O2"	"P7"	"PO9"	"PO9"	"O2"
"P7"	"PO3"	"PO7"	"PO8"	"P8"
"PO9"	"P7"	"PO8"	"PO8"	"PO4"
"P8"	"Oz"	"PO8"	"O1"	"PO7"
"P8"	"O1"	"PO8"	"O2"	"PO7"
"O2"	"O2"	"P8"	"Oz"	"PO9"
"PO8"	"PO10"	"PO4"	"P7"	"PO8"
"PO7"	"O1"	"P7"	"PO4"	"P7"
"PO9"	"O2"	"O2"	"PO4"	"PO4"
"O1"	"P8"	"PO9"	"O1"	"PO8"
"PO3"	"O1"	"O1"	"P8"	"P7"
"O1"	"O2"	"P8"	"PO10"	"P8"
"P7"	"PO3"	"PO8"	"PO10"	"PO10"
"O2"	"PO8"	"P8"	"P8"	"PO4"
"PO4"	"O2"	"PO8"	"PO4"	"PO4"
"O2"	"O2"	"P7"	"PO9"	"O2"
"Oz"	"Oz"	"O2"	"O1"	"O2"
"PO7"	"Oz"	"O1"	"O1"	"PO3"
"PO10"	"Oz"	"PO3"	"PO10"	"O2"
"PO3"	"PO3"	"PO9"	"PO9"	"PO9"
"P7"	"PO3"	"O1"	"Oz"	"O1"
"PO7"	"O2"	"O2"	"Oz"	"Oz"
